,PLAYER,Pos,GP,G,A,PTS,PS,EV,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CAP HIT,exchange cap
0,Connor McDavid,C,82,30,70,100,12.8,26,3,1,6,45,24,1,251,12.0,1733,21:08,29,34,348,458,43.2,925000,395547.0
1,Sidney Crosby,C,75,44,45,89,12.3,30,14,0,5,34,11,0,255,17.3,1491,19:53,27,80,842,906,48.2,8700000,9182363.0
2,Patrick Kane,RW,82,34,55,89,10.8,27,7,0,5,39,16,0,292,11.6,1754,21:24,15,28,7,44,13.7,10500000,11216609.0
3,Nicklas Bäckström,C,82,23,63,86,9.9,15,8,0,5,36,27,0,162,14.2,1497,18:16,33,45,685,648,51.4,6700000,6922089.0
4,Nikita Kucherov,RW,74,40,45,85,12.0,23,17,0,7,30,15,0,246,16.3,1438,19:26,20,30,0,0,,4766667,4737157.0
5,Brad Marchand,LW,80,39,46,85,12.6,27,9,3,8,29,15,2,226,17.3,1555,19:26,35,51,13,23,36.1,4500000,4435787.0
6,Mark Scheifele,C,79,32,50,82,10.3,25,7,0,5,40,8,2,160,20.0,1624,20:34,34,49,635,826,43.5,6125000,6272260.0
7,Leon Draisaitl,C,82,29,48,77,9.6,19,10,0,5,31,17,0,172,16.9,1548,18:53,36,41,476,496,49.0,925000,395547.0
8,Brent Burns,D,82,29,47,76,15.3,21,8,0,6,29,17,1,320,9.1,2039,24:52,142,69,0,0,,5760000,5859760.0
9,Vladimir Tarasenko,RW,82,39,36,75,10.2,30,9,0,8,23,13,0,286,13.6,1515,18:28,31,50,5,5,50.0,7500000,7826198.0
10,Artemi Panarin,LW,82,31,43,74,9.4,22,9,0,5,35,8,0,211,14.7,1597,19:28,14,23,2,8,20.0,812500,268407.0
11,Blake Wheeler,RW,82,26,48,74,8.2,19,5,2,4,31,16,1,259,10.0,1652,20:09,51,100,43,51,45.7,5600000,5678938.0
12,Ryan Getzlaf,C,74,15,58,73,7.6,7,6,2,3,43,14,1,138,10.9,1559,21:04,88,99,509,503,50.3,8250000,8673801.0
13,Victor Hedman,D,79,16,56,72,12.0,12,4,0,5,27,29,0,166,9.6,1936,24:30,132,93,0,0,,4000000,3870719.0
14,Evgeni Malkin,C,62,33,39,72,9.9,22,11,0,6,27,12,0,191,17.3,1154,18:37,25,40,365,481,43.1,9500000,10086472.0
15,Tyler Seguin,C,82,26,46,72,7.5,15,11,0,4,28,18,0,301,8.6,1514,18:28,26,60,401,385,51.0,5750000,5848458.0
16,Erik Karlsson,D,77,17,54,71,12.9,13,4,0,5,29,23,2,218,7.8,2066,26:50,201,67,0,0,,6500000,6696061.0
18,Phil Kessel,RW,82,23,47,70,7.3,15,8,0,4,25,22,0,229,10.0,1471,17:56,15,12,5,10,33.3,8000000,8391267.0
19,Jamie Benn,LW,77,26,43,69,7.5,13,12,1,4,29,14,0,201,12.9,1492,19:22,47,89,212,200,51.5,5250000,5283390.0
20,Mikael Granlund,C,81,26,43,69,8.5,16,7,3,4,29,13,1,177,14.7,1525,18:49,50,50,16,17,48.5,3000000,2740582.0
21,Auston Matthews,C,82,40,29,69,9.7,32,8,0,8,16,13,0,279,14.3,1446,17:38,61,21,530,600,46.9,925000,395547.0
22,Alex Ovechkin,LW,82,33,36,69,8.7,16,17,0,7,27,9,0,313,10.5,1506,18:22,29,216,0,1,0.0,9538462,10129939.0
23,Joe Pavelski,C,81,29,39,68,8.7,21,7,1,7,24,15,0,233,12.4,1549,19:07,73,130,448,407,52.4,6000000,6130993.0
24,Henrik Zetterberg,C,82,17,51,68,7.6,15,2,0,0,40,11,0,195,8.7,1617,19:43,30,58,705,657,51.8,6083333,6225170.0
25,Max Pacioretty,LW,81,35,32,67,9.3,26,8,1,7,26,5,1,268,13.1,1553,19:11,35,63,27,23,54.0,4500000,4435787.0
26,Jeff Carter,C,82,32,34,66,9.0,21,10,1,9,22,12,0,250,12.8,1479,18:02,37,86,735,680,51.9,5272727,5309075.0
27,John Tavares,C,77,28,38,66,7.8,20,7,1,3,26,11,1,260,10.8,1572,20:25,20,42,824,804,50.6,5500000,5565924.0
28,Eric Staal,C,82,28,37,65,8.0,23,4,1,8,24,12,1,211,13.3,1526,18:36,39,42,577,597,49.1,3500000,3305650.0
29,Nikolaj Ehlers,LW,82,25,39,64,7.2,20,5,0,4,32,7,0,204,12.3,1434,17:29,28,43,0,4,0.0,894167,360702.0
30,Patrik Laine,RW,73,36,28,64,8.9,27,9,0,5,23,5,0,204,17.6,1308,17:55,33,80,0,3,0.0,925000,395547.0
31,Jeff Skinner,LW,79,37,26,63,8.8,30,7,0,4,18,8,0,281,13.2,1401,17:44,28,33,10,17,37.0,5725000,5820205.0
32,Cam Atkinson,RW,82,35,27,62,8.9,22,10,3,9,16,11,0,240,14.6,1483,18:05,34,33,2,1,66.7,3500000,3305650.0
33,Viktor Arvidsson,LW,80,31,30,61,8.7,22,4,5,6,23,5,2,246,12.6,1372,17:09,45,23,4,12,25.0,631667,64041.0
34,Johnny Gaudreau,LW,72,18,43,61,6.1,14,4,0,3,31,12,0,182,9.9,1331,18:29,14,9,0,0,,6750000,6978595.0
35,Mike Hoffman,LW,74,26,35,61,8.3,13,13,0,8,22,13,0,224,11.6,1302,17:36,21,41,12,9,57.1,5187500,5212756.0
36,Ryan Johansen,C,82,14,47,61,5.8,9,4,1,3,28,19,0,154,9.1,1545,18:50,28,77,803,669,54.6,4000000,3870719.0
37,Nazem Kadri,C,82,32,29,61,7.6,20,12,0,6,24,5,0,236,13.6,1360,16:35,31,124,543,587,48.1,4500000,4435787.0
38,William Nylander,C,81,22,39,61,6.8,13,9,0,2,22,17,0,205,10.7,1297,16:01,16,25,49,73,40.2,894167,360702.0
39,Evgeny Kuznetsov,C,82,19,40,59,6.7,16,3,0,4,29,11,0,170,11.2,1390,16:57,18,57,456,581,44.0,3000000,2740582.0
40,Alexander Wennberg,C,80,13,46,59,5.9,11,2,0,5,25,21,0,109,11.9,1470,18:23,56,58,609,676,47.4,925000,395547.0
41,Mats Zuccarello,RW,80,15,44,59,6.0,10,5,0,3,35,9,0,189,7.9,1506,18:50,52,85,6,7,46.2,4500000,4435787.0
42,Filip Forsberg,LW,82,31,27,58,7.2,25,3,3,9,21,6,0,234,13.2,1518,18:31,26,97,5,13,27.8,6000000,6130993.0
43,Claude Giroux,C,82,14,44,58,4.9,9,5,0,3,17,26,1,199,7.0,1568,19:07,28,68,977,771,55.9,8275000,8702054.0
44,Marcus Johansson,LW,82,24,34,58,7.5,19,5,0,5,20,14,0,129,18.6,1394,17:00,22,32,13,15,46.4,4583333,4529965.0
45,Ryan Kesler,C,82,22,36,58,6.5,14,8,0,2,24,12,0,186,11.8,1747,21:18,75,146,1029,764,57.4,6875000,7119863.0
46,Mikko Koivu,C,80,18,40,58,6.6,16,2,0,4,20,18,2,139,12.9,1529,19:07,65,32,938,761,55.2,6750000,6978595.0
47,Sean Monahan,C,82,27,31,58,6.9,18,8,1,4,22,9,0,199,13.6,1441,17:35,25,34,743,701,51.5,6375000,6554794.0
48,Jonathan Toews,C,72,21,37,58,6.3,15,6,0,5,26,11,0,199,10.6,1451,20:09,32,43,852,700,54.9,10500000,11216609.0
49,Jack Eichel,C,61,24,33,57,6.6,14,10,0,4,19,14,0,249,9.6,1215,19:55,35,26,310,486,38.9,925000,395547.0
50,Nino Niederreiter,RW,82,25,32,57,7.4,17,8,0,3,26,6,0,186,13.4,1236,15:04,20,120,0,1,0.0,2666667,2363870.0
51,Josh Bailey,RW,82,13,43,56,5.2,10,3,0,1,34,9,0,173,7.5,1506,18:22,53,37,8,7,53.3,3300000,3079623.0
52,Charlie Coyle,C,82,18,38,56,6.1,14,4,0,5,33,5,0,159,11.3,1370,16:42,63,101,114,134,46.0,3200000,2966609.0
53,J.T. Miller,LW,82,22,34,56,6.8,17,2,3,6,28,5,1,132,16.7,1342,16:22,56,101,157,200,44.0,2750000,2458047.0
54,T.J. Oshie,RW,68,33,23,56,8.7,25,7,1,4,15,6,2,143,23.1,1214,17:51,50,95,87,93,48.3,4175000,4068493.0
55,Kevin Shattenkirk,D,80,13,43,56,8.5,5,8,0,2,24,19,0,161,8.1,1595,19:56,95,88,0,0,,4250000,4153253.0
56,Tyler Bozak,C,78,18,37,55,5.8,11,7,0,1,26,11,0,145,12.4,1282,16:26,26,45,774,591,56.7,4200000,4096746.0
57,Ryan O'Reilly,C,72,20,35,55,6.0,11,8,1,3,18,16,1,189,10.6,1545,21:28,45,21,1039,752,58.0,7500000,7826198.0
58,Brayden Schenn,C,79,25,30,55,6.2,8,17,0,7,19,11,0,178,14.0,1407,17:48,42,189,232,262,47.0,5125000,5142123.0
59,Jaden Schwartz,LW,78,19,36,55,6.4,16,3,0,4,30,6,0,179,10.6,1475,18:54,43,71,67,73,47.9,5350000,5396404.0
60,Derek Stepan,C,81,17,38,55,5.9,12,4,1,2,24,14,0,209,8.1,1507,18:37,45,26,716,806,47.0,6500000,6696061.0
61,Kyle Turris,C,78,27,28,55,6.5,21,6,0,6,17,11,0,185,14.6,1521,19:30,61,21,650,575,53.1,3500000,3305650.0
62,Radim Vrbata,RW,81,20,35,55,5.3,16,4,0,4,24,11,0,233,8.6,1369,16:54,31,48,17,30,36.2,1000000,480308.0
63,Alexander Radulov,RW,76,18,36,54,6.1,12,6,0,2,26,10,0,147,12.2,1390,18:17,41,76,6,6,50.0,5750000,5848458.0
64,Wayne Simmonds,RW,82,31,23,54,6.3,13,16,2,4,14,9,0,224,13.8,1556,18:58,60,162,8,9,47.1,3975000,3842465.0
65,Mark Stone,RW,71,22,32,54,6.8,16,6,0,5,24,8,0,134,16.4,1318,18:34,53,43,10,15,40.0,3500000,3305650.0
66,Vincent Trocheck,C,82,23,31,54,5.5,21,2,0,2,20,10,1,230,10.0,1708,20:50,51,164,835,829,50.2,4750000,4718321.0
67,Mikael Backlund,C,81,22,31,53,6.2,15,7,0,7,19,9,3,197,11.2,1426,17:36,41,55,711,768,48.1,3575000,3390410.0
68,Patrice Bergeron,C,79,21,32,53,6.6,13,8,0,7,20,9,3,302,7.0,1534,19:25,47,54,1086,722,60.1,6875000,7119863.0
69,Jonathan Drouin,LW,73,21,32,53,5.5,12,9,0,6,15,17,0,183,11.5,1293,17:42,16,50,96,124,43.6,894167,360702.0
70,Taylor Hall,LW,72,20,33,53,5.9,13,7,0,4,25,8,0,238,8.4,1392,19:20,31,59,8,10,44.4,6000000,6130993.0
71,Duncan Keith,D,80,6,47,53,9.5,4,2,0,2,34,13,0,183,3.3,2049,25:37,107,24,0,0,,5538462,5609391.0
72,Chris Kreider,LW,75,28,25,53,6.8,22,6,0,4,18,7,0,186,15.1,1275,17:00,30,132,5,4,55.6,4625000,4577054.0
73,Nathan MacKinnon,C,82,16,37,53,4.8,12,2,2,4,25,12,0,251,6.4,1635,19:57,30,56,768,752,50.5,6300000,6470034.0
74,Kyle Palmieri,RW,80,26,27,53,7.1,17,8,1,3,16,11,0,192,13.5,1388,17:21,36,124,12,17,41.4,4650000,4605308.0
75,Corey Perry,RW,82,19,34,53,5.8,14,5,0,3,19,15,0,215,8.8,1453,17:43,35,81,7,13,35.0,8625000,9097602.0
76,Brandon Saad,LW,82,24,29,53,7.2,23,1,0,4,27,2,0,210,11.4,1396,17:02,26,24,4,5,44.4,6000000,6130993.0
77,Conor Sheary,LW,61,23,30,53,7.3,21,2,0,6,27,3,0,154,14.9,972,15:56,23,29,0,0,,667500,104537.0
78,Aleksander Barkov,C,61,21,31,52,6.9,18,3,0,5,20,11,0,142,14.8,1184,19:24,30,39,476,547,46.5,5900000,6017979.0
79,Dustin Byfuglien,D,80,13,39,52,8.5,12,1,0,1,24,13,2,241,5.4,2196,27:27,124,183,0,0,,7600000,7939212.0
80,Logan Couture,C,73,25,27,52,6.9,14,11,0,3,22,4,1,174,14.4,1285,17:36,65,57,297,453,39.6,6000000,6130993.0
81,Bo Horvat,C,81,20,32,52,5.7,15,3,2,1,25,7,0,158,12.7,1461,18:02,41,65,756,742,50.5,894167,360702.0
82,Anders Lee,LW,81,34,18,52,7.7,25,9,0,6,13,5,0,191,17.8,1263,15:35,34,172,7,11,38.9,3750000,3588184.0
83,Patrick Eaves,RW,79,32,19,51,6.9,19,13,0,2,14,5,0,209,15.3,1296,16:25,43,89,2,2,50.0,1000000,480308.0
84,Jordan Eberle,RW,82,20,31,51,5.7,16,4,0,0,21,10,0,208,9.6,1375,16:46,37,26,10,10,50.0,6000000,6130993.0
85,Nick Foligno,LW,79,26,25,51,5.9,15,11,0,5,15,10,0,185,14.1,1456,18:26,50,157,41,48,46.1,5500000,5565924.0
86,Torey Krug,D,81,8,43,51,7.9,2,6,0,1,24,19,0,208,3.8,1750,21:36,82,59,0,1,0.0,5250000,5283390.0
87,Jonathan Marchessault,C,75,30,21,51,6.2,22,8,0,6,11,10,0,193,15.5,1268,16:55,17,105,122,148,45.2,750000,197773.0
88,Rickard Rakell,C,71,33,18,51,7.8,28,5,0,10,11,7,0,177,18.6,1234,17:23,32,81,62,85,42.2,3853672,3705348.0
89,Justin Schultz,D,78,12,39,51,9.2,9,3,0,1,22,17,0,154,7.8,1595,20:27,116,67,0,0,,1400000,932363.0
90,Alexander Steen,LW,76,16,35,51,5.0,13,3,0,2,22,13,0,117,13.7,1467,19:18,69,33,101,146,40.9,5800000,5904965.0
91,Sam Gagner,C,81,18,32,50,6.1,10,8,0,1,22,10,0,178,10.1,1111,13:43,16,22,202,223,47.5,650000,84760.0
92,Dougie Hamilton,D,81,13,37,50,9.5,11,2,0,5,24,12,1,222,5.9,1594,19:41,94,68,0,0,,5750000,5848458.0
