,PLAYER,Pos,GP,G,A,PTS,PS,EV,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CAP HIT,exchange cap
117,Justin Williams,RW,82,19,24,43,5.5,15,4,0,1,21,3,0,239,7.9,1390,16:57,21.0,44,2.0,8.0,20.0,3825000,4234059.0
118,Jason Chimera,LW,82,15,27,42,4.4,14,1,0,0,22,4,1,167,9.0,1264,15:25,30.0,140,38.0,49.0,43.7,1750000,1571734.0
119,Andrew Cogliano,C,82,21,21,42,5.2,18,0,3,5,18,0,2,157,13.4,1262,15:24,36.0,94,11.0,16.0,40.7,2390000,2392884.0
120,Michael Frolík,RW,81,15,27,42,4.3,14,1,0,2,25,1,1,189,7.9,1351,16:40,51.0,41,43.0,25.0,63.2,2333333,2320178.0
121,Alex Goligoski,D,81,6,36,42,7.4,3,3,0,0,24,12,0,141,4.3,1969,24:19,153.0,92,0.0,1.0,0.0,4600000,5228421.0
122,Teddy Purcell,RW,81,12,30,42,3.5,9,3,0,4,16,14,0,157,7.6,1334,16:28,12.0,13,4.0,12.0,25.0,4500000,5100116.0
123,Alexander Semin,RW,65,22,20,42,5.4,15,6,1,3,14,6,0,210,10.5,1294,19:55,30.0,22,1.0,9.0,10.0,7000000,8307737.0
124,Brendan Gallagher,RW,81,19,22,41,5.0,11,8,0,0,21,1,0,211,9.0,1293,15:58,36.0,38,47.0,81.0,36.7,685000,205287.0
125,Mikael Granlund,C,63,8,33,41,3.5,6,2,0,2,23,10,0,104,7.7,1091,17:19,46.0,38,415.0,374.0,52.6,900000,481143.0
126,Evander Kane,LW,63,19,22,41,4.1,16,1,2,4,18,4,0,250,7.6,1278,20:17,36.0,173,45.0,60.0,42.9,5250000,6062402.0
127,Alex Killorn,C,82,17,24,41,4.3,14,3,0,2,19,5,0,173,9.8,1376,16:47,31.0,77,74.0,98.0,43.0,875000,449066.0
128,Mike Richards,C,82,11,30,41,3.5,6,4,1,3,21,8,1,157,7.0,1392,16:59,21.0,73,489.0,418.0,53.9,5750000,6703926.0
129,Brayden Schenn,C,82,20,21,41,4.6,16,4,0,6,16,5,0,178,11.2,1291,15:45,37.0,200,296.0,389.0,43.2,870000,442651.0
130,Brent Seabrook,D,82,7,34,41,7.9,3,3,1,0,28,6,0,149,4.7,1826,22:16,142.0,171,0.0,0.0,,5800000,6768079.0
131,Cam Atkinson,RW,79,21,19,40,4.6,16,4,1,5,14,5,0,216,9.7,1247,15:47,38.0,55,0.0,0.0,,1150000,801905.0
132,Brian Gionta,RW,81,18,22,40,4.4,16,2,0,3,16,5,1,184,9.8,1446,17:51,52.0,46,23.0,37.0,38.3,5000000,5741640.0
133,Martin Hanzal,C,65,15,25,40,3.7,10,5,0,2,17,8,0,169,8.9,1214,18:41,37.0,200,599.0,500.0,54.5,3100000,3303849.0
134,Roman Josi,D,72,13,27,40,7.6,10,3,0,2,17,10,0,168,7.7,1902,26:25,150.0,32,0.0,0.0,,4000000,4458592.0
135,Torey Krug,D,79,14,26,40,8.1,8,6,0,2,13,13,0,183,7.7,1383,17:31,77.0,50,1.0,1.0,50.0,916667,502527.0
136,Matt Read,RW,75,22,18,40,4.4,18,0,4,3,16,2,0,151,14.6,1410,18:48,54.0,72,12.0,16.0,42.9,900000,481143.0
137,Jordan Staal,C,82,15,25,40,4.0,12,2,1,2,14,8,3,165,9.1,1554,18:57,37.0,194,803.0,674.0,54.4,6000000,7024688.0
138,Steven Stamkos,C,37,25,15,40,6.3,15,9,1,5,11,4,0,124,20.2,749,20:15,16.0,50,260.0,269.0,49.1,7500000,8949261.0
139,Artem Anisimov,C,81,22,17,39,4.6,17,3,2,5,14,3,0,162,13.6,1344,16:36,54.0,31,474.0,485.0,49.4,3283333,3539074.0
140,Mikael Backlund,C,76,18,21,39,4.4,9,5,4,3,15,6,0,178,10.1,1409,18:32,62.0,64,628.0,694.0,47.5,1500000,1250972.0
141,Sean Couturier,C,82,13,26,39,3.2,12,0,1,2,19,3,4,165,7.9,1565,19:05,40.0,64,646.0,707.0,47.7,925000,513219.0
142,Matt Cullen,C,77,10,29,39,3.6,9,1,0,2,21,8,0,134,7.5,1193,15:30,22.0,18,438.0,334.0,56.7,3500000,3817068.0
143,Nick Foligno,LW,70,18,21,39,4.8,15,3,0,5,18,3,0,111,16.2,1124,16:04,42.0,210,6.0,7.0,46.2,3083333,3282464.0
144,Chris Higgins,LW,78,17,22,39,3.5,15,2,0,4,20,1,1,216,7.9,1496,19:10,45.0,98,17.0,21.0,44.7,2500000,2534020.0
145,Erik Johnson,D,80,9,30,39,6.5,7,2,0,2,18,12,0,157,5.7,1841,23:00,130.0,136,0.0,0.0,,3750000,4137830.0
146,Rick Nash,LW,65,26,13,39,6.1,20,4,2,9,8,3,2,258,10.1,1106,17:01,29.0,11,2.0,0.0,100.0,7800000,9334175.0
147,Andrew Shaw,C,80,20,19,39,4.6,15,5,0,2,15,4,0,149,13.4,1255,15:41,16.0,168,296.0,388.0,43.3,573333,62013.0
148,Josh Bailey,LW,77,8,30,38,2.7,6,2,0,1,22,8,0,98,8.2,1220,15:50,29.0,44,113.0,115.0,49.6,3300000,3560458.0
149,Tyson Barrie,D,64,13,25,38,7.6,9,4,0,5,19,6,0,101,12.9,1187,18:33,57.0,50,0.0,0.0,,715000,243779.0
150,Nick Bjugstad,C,76,16,22,38,3.5,15,0,1,4,18,3,1,185,8.6,1233,16:13,23.0,117,549.0,574.0,48.9,900000,481143.0
151,Mike Green,D,70,9,29,38,5.2,6,3,0,2,17,12,0,172,5.2,1591,22:44,107.0,62,0.0,0.0,,6083333,7131609.0
152,Jamie McGinn,LW,79,19,19,38,3.8,14,5,0,3,15,4,0,167,11.4,1247,15:47,35.0,140,1.0,1.0,50.0,1750000,1571734.0
153,Tommy Wingels,C,77,16,22,38,4.3,14,0,2,7,16,5,1,163,9.8,1241,16:07,58.0,218,20.0,36.0,35.7,775000,320762.0
154,Jay Bouwmeester,D,82,4,33,37,8.8,3,1,0,0,23,10,0,152,2.6,1972,24:03,106.0,51,3.0,1.0,75.0,6680000,7897161.0
155,Brian Campbell,D,82,7,30,37,6.3,5,2,0,2,18,10,2,116,6.0,2211,26:57,108.0,50,0.0,1.0,0.0,7142875,8491052.0
156,John Carlson,D,82,10,27,37,6.7,5,5,0,0,9,17,1,208,4.8,2010,24:31,177.0,64,0.0,1.0,0.0,3966667,4415824.0
157,Pavel Datsyuk,C,45,17,20,37,4.6,11,6,0,2,14,6,0,126,13.5,912,20:16,22.0,30,446.0,389.0,53.4,6700000,7922822.0
158,Drew Doughty,D,78,10,27,37,9.4,4,6,0,2,16,10,1,177,5.6,2006,25:43,91.0,180,0.0,0.0,,7000000,8307737.0
159,Loui Eriksson,RW,61,10,27,37,3.9,8,2,0,2,17,9,1,115,8.7,1008,16:32,13.0,12,0.0,0.0,,4250000,4779354.0
160,Sam Gagner,C,67,10,27,37,2.1,9,1,0,1,20,6,1,143,7.0,1231,18:23,34.0,33,451.0,512.0,46.8,4800000,5485031.0
161,Chris Kreider,LW,66,17,20,37,5.1,11,6,0,0,14,6,0,136,12.5,1038,15:44,18.0,146,8.0,11.0,42.1,800000,352838.0
162,Vincent Lecavalier,C,69,20,17,37,3.9,12,8,0,3,12,5,0,132,15.2,1048,15:11,19.0,77,200.0,248.0,44.6,4500000,5100116.0
163,Derek Roy,C,75,9,28,37,3.4,5,4,0,2,16,12,0,114,7.9,1022,13:37,30.0,13,219.0,247.0,47.0,4000000,4458592.0
164,Scottie Upshall,LW,76,15,22,37,3.9,13,1,1,3,17,5,0,161,9.3,1210,15:55,25.0,134,32.0,39.0,45.1,3500000,3817068.0
165,Brad Boyes,RW,78,21,15,36,4.0,18,2,1,1,14,1,0,176,11.9,1329,17:03,35.0,46,37.0,32.0,53.6,1000000,609447.0
166,Dan Boyle,D,75,12,24,36,6.0,6,6,0,1,12,12,0,154,7.8,1596,21:17,92.0,46,0.0,0.0,,6666666,7880053.0
