Rk,Player,Age,Tm,Pos,GP,G,A,PTS▼,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
361,Tom Kostopoulos,27,LAK,RW,76,8,14,22,-8,100,0.8,8,0,0,1,13,0,1,74,10.8,983,12:56,kostoto01
362,Mario Lemieux*,40,PIT,C,26,7,15,22,-16,16,1.2,4,3,0,0,3,12,0,77,9.1,504,19:22,lemiema01
363,Eric Lindros*,32,TOR,C,33,11,11,22,-3,43,2.1,7,4,0,2,7,4,0,59,18.6,574,17:24,lindrer01
364,Steve Ott,23,DAL,LW,82,5,17,22,1,178,1.0,5,0,0,1,17,0,0,89,5.6,976,11:54,ottst01
365,Wayne Primeau,29,TOT,C,71,11,11,22,-16,57,0.6,9,1,1,1,10,1,0,101,10.9,1156,16:17,primewa01
366,Jeremy Roenick,36,LAK,C,58,9,13,22,-5,36,0.9,7,2,0,1,6,5,2,111,8.1,1007,17:22,roenije01
367,Chris Simon,34,CGY,LW,72,8,14,22,0,94,1.9,6,2,0,3,12,2,0,76,10.5,751,10:26,simonch01
368,Grant Stevenson,24,SJS,C,47,10,12,22,-7,14,1.9,5,5,0,2,8,4,0,67,14.9,561,11:57,stevegr01
369,Craig Adams,28,CAR,RW,67,10,11,21,1,51,1.6,8,1,1,2,9,0,2,68,14.7,824,12:18,adamscr01
370,Radek Bonk,30,MTL,C,61,6,15,21,-3,52,0.9,4,0,2,1,9,5,1,76,7.9,925,15:10,bonkra01
371,Tim Gleason,23,LAK,D,78,2,19,21,0,77,3.3,2,0,0,0,17,0,2,72,2.8,1380,17:41,gleasti01
372,Niklas Hagman,26,TOT,RW,84,8,13,21,-10,18,0.6,7,0,1,0,10,1,2,126,6.3,1029,12:15,hagmani01
373,Duncan Keith,22,CHI,D,81,9,12,21,-11,79,4.1,7,1,1,0,11,1,0,134,6.7,1898,23:26,keithdu01
374,Mikko Koivu,22,MIN,C,64,6,15,21,-9,40,1.1,3,3,0,0,8,7,0,96,6.3,850,13:17,koivumi01
375,Brooks Laich,22,WSH,C,73,7,14,21,-9,26,0.9,6,1,0,1,12,2,0,118,5.9,819,11:13,laichbr01
376,Brad Lukowich,29,TOT,D,75,2,19,21,0,40,3.9,2,0,0,1,17,1,1,49,4.1,1443,19:14,lukowbr01
377,Rostislav Olesz,20,FLA,C,59,8,13,21,-4,24,1.0,7,0,1,3,12,1,0,105,7.6,877,14:52,oleszro01
378,Samuel Påhlsson,28,MDA,C,82,11,10,21,-1,34,0.7,8,0,3,1,8,1,1,116,9.5,1354,16:30,pahlssa01
379,Martin Škoula,26,TOT,D,78,5,16,21,6,46,5.1,2,3,0,1,6,10,0,92,5.4,1493,19:09,skoulma01
380,Henrik Tallinder,27,BUF,D,82,6,15,21,10,74,5.3,5,0,1,1,11,1,3,79,7.6,1668,20:21,tallihe01
381,Scott Thornton,35,SJS,LW,71,10,11,21,-8,84,1.1,9,1,0,2,7,4,0,122,8.2,945,13:19,thornsc01
382,Václav Varaďa,29,OTT,RW,76,5,16,21,2,50,1.2,4,1,0,0,15,1,0,114,4.4,738,9:42,varadva01
383,Pavel Vorobiev,23,CHI,RW,39,9,12,21,-2,34,1.9,7,2,0,0,5,6,1,87,10.3,558,14:18,vorobpa01
384,Stephen Weiss,22,FLA,C,41,9,12,21,-2,22,1.7,4,5,0,1,7,5,0,74,12.2,625,15:15,weissst01
385,Keith Carney,35,TOT,D,79,2,18,20,8,62,4.3,1,1,0,1,12,5,1,85,2.4,1619,20:30,carneke01
386,Mathieu Dandenault,29,MTL,D,82,5,15,20,8,83,4.8,5,0,0,1,12,2,1,101,5.0,1528,18:38,dandema01
387,Shean Donovan,31,CGY,RW,80,9,11,20,9,82,1.8,8,0,1,0,10,0,1,132,6.8,943,11:47,donovsh01
388,Sean Hill,35,FLA,D,78,2,18,20,3,80,3.4,1,1,0,0,15,3,0,110,1.8,1572,20:09,hillse01
389,Michael Holmqvist,26,CHI,C,72,10,10,20,-14,16,0.7,8,2,0,1,8,1,1,106,9.4,975,13:32,holmqmi01
390,Jordan Leopold,25,CGY,D,74,2,18,20,6,68,5.5,0,2,0,1,7,11,0,87,2.3,1652,22:20,leopojo01
391,Robert Nilsson,21,NYI,C,53,6,14,20,-6,26,1.2,5,1,0,1,8,6,0,70,8.6,629,11:52,nilssro01
392,Sandis Ozoliņš,33,TOT,D,36,6,14,20,-2,28,3.2,4,2,0,2,3,11,0,58,10.3,754,20:56,ozolisa01
393,Jay Pandolfo,31,NJD,RW,82,10,10,20,2,16,0.6,10,0,0,0,9,1,0,116,8.6,1479,18:03,pandoja01
394,Ronald Petrovický,28,ATL,RW,60,8,12,20,-8,62,1.0,6,2,0,2,11,1,0,70,11.4,713,11:53,petroro02
395,Stéphane Robidas,28,DAL,D,75,5,15,20,15,67,5.1,3,1,1,0,13,2,0,95,5.3,1274,16:59,robidst01
396,Jim Slater,23,ATL,C,71,10,10,20,1,46,1.6,9,1,0,0,9,1,0,108,9.3,717,10:06,slateji01
397,David Tanabe,25,TOT,D,75,4,16,20,-5,56,3.5,4,0,0,1,11,5,0,103,3.9,1531,20:25,tanabda01
398,Matt Bradley,27,WSH,RW,74,7,12,19,-8,72,0.5,7,0,0,1,11,0,1,87,8.0,932,12:36,bradlma01
399,Greg Johnson,34,NSH,C,68,11,8,19,5,10,1.1,7,0,4,3,8,0,0,76,14.5,1128,16:36,johnsgr02
400,Rostislav Klesla,23,CBJ,D,51,6,13,19,-4,75,3.3,4,2,0,1,4,7,2,84,7.1,1094,21:27,kleslro01
401,Alexander Perezhogin,22,MTL,RW,67,9,10,19,5,38,1.8,6,3,0,2,7,3,0,109,8.3,679,10:08,perezal01
402,Chris Phillips,27,OTT,D,69,1,18,19,19,90,4.1,1,0,0,0,11,1,6,79,1.3,1440,20:52,phillch02
403,Ruslan Salei,31,MDA,D,78,1,18,19,17,114,4.9,1,0,0,0,11,6,1,108,0.9,1756,22:31,saleiru01
404,Jason Woolley,36,DET,D,53,1,18,19,3,28,2.7,1,0,0,0,8,10,0,43,2.3,631,11:54,woollja01
405,Dave Andreychuk*,42,TBL,LW,42,6,12,18,-13,16,0.9,1,4,1,1,3,8,1,81,7.4,564,13:26,andreda01
406,Christian Bäckman,25,STL,D,52,6,12,18,-15,48,3.3,3,3,0,1,6,6,0,70,8.6,1290,24:49,backmch01
407,Matt Cooke,27,VAN,LW,45,8,10,18,-8,71,1.1,8,0,0,2,9,1,0,67,11.9,628,13:57,cookema01
408,Jim Dowd,37,TOT,C,78,5,13,18,-11,40,0.1,4,0,1,0,13,0,0,67,7.5,980,12:34,dowdji01
409,Steve Eminger,22,WSH,D,66,5,13,18,-12,81,2.1,4,1,0,0,10,2,1,50,10.0,1409,21:21,emingst01
410,Dmitri Kalinin,25,BUF,D,55,2,16,18,14,54,4.1,2,0,0,0,11,5,0,47,4.3,922,16:45,kalindm01
411,Marek Malík,30,NYR,D,74,2,16,18,28,78,5.7,2,0,0,2,13,3,0,70,2.9,1512,20:26,malikma01
412,Dominic Moore,25,NYR,C,82,9,9,18,4,28,1.0,7,2,0,1,7,2,0,139,6.5,1022,12:28,mooredo01
413,Richard Park,29,VAN,C,60,8,10,18,-2,29,1.3,7,0,1,2,10,0,0,97,8.2,660,11:00,parkri01
414,Paul Ranger,21,TBL,D,76,1,17,18,5,58,3.8,1,0,0,1,13,1,3,73,1.4,1301,17:07,rangepa01
415,Dennis Seidenberg,24,TOT,D,63,3,15,18,-13,18,2.0,1,2,0,0,7,7,1,83,3.6,1070,16:59,seidede01
416,Daniel Tjärnqvist,29,MIN,D,60,3,15,18,-11,32,3.4,0,3,0,1,8,5,2,54,5.6,1186,19:46,tjarnda01
417,Stéphane Yelle,31,CGY,C,74,4,14,18,10,48,1.0,2,1,1,1,11,3,0,93,4.3,1069,14:27,yellest01
418,Andrei Zyuzin,28,MIN,D,57,7,11,18,-12,50,3.5,3,4,0,1,7,4,0,80,8.8,1076,18:53,zyuzian01
419,Bryan Allen,25,VAN,D,77,7,10,17,4,115,4.2,6,1,0,0,10,0,0,88,8.0,1574,20:27,allenbr01
420,Evgeny Artyukhin,22,TBL,RW,72,4,13,17,-4,90,0.9,3,1,0,0,12,1,0,79,5.1,628,8:43,artyuev01
421,Brandon Bochenski,23,TOT,RW,40,8,9,17,-2,22,1.6,6,2,0,0,8,1,0,62,12.9,423,10:35,bochebr01
422,Rob DiMaio,37,TBL,RW,61,4,13,17,-7,30,0.6,2,2,0,1,11,1,1,72,5.6,713,11:41,dimairo01
423,Ron Hainsey,24,CBJ,D,55,2,15,17,13,43,3.9,1,1,0,0,11,4,0,81,2.5,978,17:47,hainsro01
424,Derian Hatcher,33,PHI,D,77,4,13,17,2,93,3.2,2,1,1,0,8,3,2,98,4.1,1809,23:30,hatchde01
425,Toni Lydman,28,BUF,D,75,1,16,17,9,82,4.3,1,0,0,0,13,3,0,68,1.5,1623,21:38,lydmato01
426,Radek Martínek,29,NYI,D,74,1,16,17,-9,32,2.5,1,0,0,0,8,8,0,79,1.3,1351,18:16,martira01
427,Marcus Nilson,27,CGY,LW,70,6,11,17,13,32,1.3,4,2,0,2,9,2,0,83,7.2,1038,14:50,nilsoma01
428,Jarkko Ruutu,30,VAN,RW,82,10,7,17,1,142,1.0,8,2,0,2,7,0,0,85,11.8,960,11:42,ruutuja01
429,Jason Smith,32,EDM,D,76,4,13,17,1,84,4.0,4,0,0,0,11,0,2,79,5.1,1493,19:39,smithja01
430,Anton Volchenkov,23,OTT,D,75,4,13,17,21,53,4.3,4,0,0,0,12,0,1,82,4.9,1354,18:03,volchan01
431,Eric Weinrich,39,TOT,D,75,1,16,17,-23,52,2.5,0,1,0,0,7,9,0,68,1.5,1612,21:29,weinrer01
432,Colin White,28,NJD,D,73,3,14,17,-2,91,4.2,2,1,0,1,8,6,0,60,5.0,1591,21:48,whiteco01
433,Eric Boguniecki,30,TOT,RW,47,6,10,16,-3,33,1.1,4,2,0,0,7,3,0,48,12.5,522,11:06,boguner01
434,Brent Burns,20,MIN,RW,72,4,12,16,-7,32,0.3,3,1,0,1,8,3,1,73,5.5,1016,14:07,burnsbr01
435,Mark Cullen,27,CHI,C,29,7,9,16,7,2,1.8,7,0,0,0,8,1,0,45,15.6,384,13:15,cullema02
436,Tie Domi,36,TOR,RW,77,5,11,16,-10,109,0.3,4,1,0,0,11,0,0,67,7.5,749,9:43,domiti01
437,Johan Franzén,26,DET,C,80,12,4,16,4,36,1.0,10,0,2,2,4,0,0,119,10.1,996,12:27,franzjo01
438,Martin Havlát,24,OTT,LW,18,9,7,16,6,4,2.1,6,2,1,1,3,3,1,57,15.8,327,18:11,havlama01
439,Marcel Hossa,24,NYR,LW,64,10,6,16,-6,28,1.1,7,3,0,0,5,1,0,105,9.5,688,10:45,hossama02
440,Lukáš Krajíček,22,FLA,D,67,2,14,16,1,50,2.6,0,2,0,0,6,7,1,89,2.2,1240,18:30,krajilu01
441,Trevor Linden,35,VAN,C,82,7,9,16,3,15,0.7,5,1,1,0,8,0,1,55,12.7,929,11:20,lindetr01
442,Steve McCarthy,24,TOT,D,67,9,7,16,3,51,3.5,7,2,0,0,4,3,0,66,13.6,945,14:06,mccarst01
443,Jay McKee,28,BUF,D,75,5,11,16,0,57,3.6,4,0,1,0,10,0,1,50,10.0,1354,18:03,mckeeja01
444,Janne Niinimaa,30,TOT,D,63,3,13,16,-12,86,2.3,1,1,1,1,8,5,0,49,6.1,1246,19:46,niinija01
445,Mike Ricci,34,PHX,C,78,10,6,16,-22,69,0.0,4,5,1,1,4,1,1,50,20.0,998,12:48,riccimi01
446,Jiří Šlégr,34,BOS,D,32,5,11,16,-2,56,2.4,1,4,0,0,4,7,0,59,8.5,524,16:22,slegrji01
447,Ryan Suter,21,NSH,D,71,1,15,16,7,66,3.5,1,0,0,0,13,2,0,84,1.2,1232,17:21,suterry01
448,Stéphane Veilleux,24,MIN,C,71,7,9,16,-13,63,0.5,7,0,0,1,7,2,0,87,8.0,920,12:58,veillst01
449,Scott Walker,32,NSH,RW,33,5,11,16,2,36,1.1,4,1,0,0,8,3,0,57,8.8,574,17:23,walkesc01
450,Dmitry Afanasenkov,25,TBL,LW,68,9,6,15,-7,16,1.0,8,1,0,0,3,3,0,78,11.5,662,9:44,afanadm01
451,Curtis Brown,29,CHI,C,71,5,10,15,-9,38,-0.1,4,0,1,0,6,3,1,84,6.0,969,13:39,browncu01
452,Daniel Cleary,27,DET,LW,77,3,12,15,5,40,0.4,3,0,0,1,10,0,2,106,2.8,808,10:30,clearda01
453,Ken Klee,34,TOT,D,74,3,12,15,-4,80,3.0,2,1,0,1,8,3,1,70,4.3,1393,18:49,kleeke01
454,Steve Konowalchuk,33,COL,LW,21,6,9,15,5,14,1.6,3,1,2,0,6,2,1,39,15.4,348,16:33,konowst01
455,Brad Larsen,28,ATL,LW,62,7,8,15,-3,21,0.7,4,0,3,1,8,0,0,48,14.6,681,10:59,larsebr01
456,Andreas Lilja,30,DET,D,82,2,13,15,18,98,4.3,2,0,0,1,11,1,1,78,2.6,1559,19:01,liljaan01
457,Josef Melichar,27,PIT,D,72,3,12,15,-2,66,2.4,2,0,1,0,11,0,1,53,5.7,1256,17:26,melicjo01
458,Mark Mowers,31,DET,RW,46,4,11,15,13,16,1.6,4,0,0,0,11,0,0,65,6.2,382,8:18,mowerma01
459,Cory Sarich,27,TBL,D,82,1,14,15,-2,79,3.2,1,0,0,0,12,1,1,88,1.1,1523,18:34,saricco01
460,Niklas Sundström,30,MTL,RW,55,6,9,15,-6,30,0.5,6,0,0,2,8,0,1,54,11.1,755,13:44,sundsni01
461,Trevor Daley,22,DAL,D,81,3,11,14,-2,87,3.4,3,0,0,1,5,5,1,91,3.3,1512,18:40,daleytr01
462,Kevin Dallman,24,TOT,D,67,4,10,14,-14,29,2.5,1,3,0,0,5,5,0,131,3.1,1273,19:00,dallmke01
463,Shaone Morrisonn,23,WSH,D,80,1,13,14,7,91,2.8,1,0,0,0,10,0,3,56,1.8,1658,20:44,morrish01
464,Branko Radivojevič,25,PHI,RW,64,8,6,14,-6,44,0.3,7,1,0,1,4,2,0,84,9.5,817,12:46,radivbr01
465,Brian Savage,34,PHI,LW,66,9,5,14,-18,28,-0.1,4,4,1,1,4,1,0,102,8.8,879,13:19,savagbr01
466,Nick Schultz,23,MIN,D,79,2,12,14,2,43,4.3,2,0,0,0,11,0,1,45,4.4,1419,17:58,schulni01
467,Kārlis Skrastiņš,31,COL,D,82,3,11,14,-7,65,2.6,1,0,2,0,11,0,0,58,5.2,1789,21:49,skraska01
468,Jerred Smithson,26,NSH,C,66,5,9,14,9,54,0.8,5,0,0,1,8,0,1,50,10.0,781,11:50,smithje01
469,Dick Tärnström,31,TOT,D,55,6,8,14,-15,76,1.6,2,4,0,0,5,3,0,60,10.0,931,16:56,tarnsdi01
470,Brendan Witt,30,TOT,D,75,1,13,14,0,209,2.4,1,0,0,0,10,0,3,75,1.3,1555,20:44,wittbr01
471,Mathieu Biron,25,WSH,D,52,4,9,13,-11,50,1.2,1,3,0,0,3,6,0,61,6.6,636,12:14,bironma02
472,Erik Christensen,22,PIT,C,33,6,7,13,-3,34,0.8,4,2,0,0,4,3,0,85,7.1,471,14:17,chriser01
473,Mike Commodore,26,CAR,D,72,3,10,13,12,138,3.1,3,0,0,2,8,1,1,72,4.2,1116,15:30,commomi01
474,Nathan Dempsey,31,LAK,D,53,2,11,13,0,48,2.2,2,0,0,0,7,4,0,58,3.4,1015,19:09,dempsna01
475,Matt Ellison,22,TOT,RW,31,3,10,13,-2,19,0.8,2,1,0,0,6,4,0,49,6.1,416,13:25,ellisma02
476,Dan Fritsche,20,CBJ,RW,59,6,7,13,-14,22,0.3,6,0,0,0,7,0,0,93,6.5,607,10:17,fritsda01
477,Dan Hinote,29,COL,C,73,5,8,13,-5,48,0.1,4,0,1,2,7,0,1,70,7.1,780,10:41,hinotda01
478,Darcy Hordichuk,25,NSH,LW,74,7,6,13,9,163,1.5,7,0,0,1,5,1,0,52,13.5,455,6:09,hordida01
479,Chad Larose,23,CAR,RW,49,1,12,13,7,35,0.7,1,0,0,1,9,3,0,62,1.6,518,10:35,larosch01
480,Darren McCarty,33,CGY,RW,67,7,6,13,-1,117,0.8,6,1,0,0,5,1,0,67,10.4,784,11:43,mccarda02
481,Brad Richardson,20,COL,C,41,3,10,13,0,12,0.7,2,1,0,0,10,0,0,51,5.9,440,10:44,richabr02
482,Tim Taylor,36,TBL,C,82,7,6,13,-12,22,-0.2,7,0,0,0,6,0,0,109,6.4,1021,12:27,tayloti01
483,Nick Boynton,27,BOS,D,54,5,7,12,-7,93,2.2,3,1,1,0,6,0,1,89,5.6,1115,20:39,boyntni01
484,Sean Brown,29,TOT,D,47,1,11,12,-17,35,1.0,1,0,0,0,8,3,0,49,2.0,709,15:05,brownse01
485,Alexandre Burrows,24,VAN,LW,43,7,5,12,5,61,1.3,6,0,1,1,5,0,0,49,14.3,447,10:24,burroal01
486,Andrew Cassels,36,WSH,C,31,4,8,12,-3,14,0.7,2,2,0,0,4,4,0,29,13.8,410,13:13,cassean01
487,Pierre Dagenais,27,MTL,RW,32,5,7,12,-5,16,0.9,3,2,0,1,3,4,0,74,6.8,317,9:55,dagenpi01
488,Vernon Fiddler,25,NSH,C,40,8,4,12,-2,42,0.9,5,3,0,2,3,1,0,46,17.4,553,13:49,fiddlve01
489,Mike Glumac,25,STL,C,33,7,5,12,-8,33,1.0,2,5,0,0,4,1,0,55,12.7,410,12:25,glumami01
490,Mark Hartigan,28,CBJ,C,33,9,3,12,-1,22,1.4,6,3,0,1,2,1,0,54,16.7,384,11:39,hartima01
491,Alexander Khavanov,34,TOR,D,64,6,6,12,-11,60,2.0,3,2,1,0,4,2,0,44,13.6,1096,17:08,khavaal01
492,Joel Kwiatkowski,28,FLA,D,73,4,8,12,3,86,2.5,3,1,0,1,5,2,1,87,4.6,1193,16:21,kwiatjo01
493,Josh Langfeld,28,TOT,RW,57,2,10,12,-2,26,0.2,1,0,1,0,10,0,0,85,2.4,628,11:01,langfjo01
494,Georges Laraque,29,EDM,RW,72,2,10,12,-5,73,0.4,2,0,0,0,10,0,0,50,4.0,474,6:35,laraqge01
495,Brett Lebda,24,DET,D,46,3,9,12,9,20,2.6,2,1,0,1,9,0,0,50,6.0,581,12:38,lebdabr01
496,Taylor Pyatt,24,BUF,LW,41,6,6,12,-1,33,0.9,6,0,0,1,4,2,0,62,9.7,461,11:14,pyattta01
497,Kyle Wanvig,25,MIN,RW,51,4,8,12,-8,64,0.5,3,1,0,0,8,0,0,55,7.3,543,10:39,wanviky01
498,Chris Chelios*,44,DET,D,81,4,7,11,22,108,4.4,2,1,1,0,4,1,2,83,4.8,1497,18:29,chelich01
499,Jeff Friesen,29,TOT,LW,51,4,7,11,-15,32,-0.4,4,0,0,1,5,2,0,75,5.3,682,13:23,friesje01
500,Denis Gauthier,29,TOT,D,62,2,9,11,2,98,2.4,2,0,0,0,9,0,0,56,3.6,1024,16:31,gauthde01
501,Andrew Hutchinson,25,CAR,D,36,3,8,11,-2,18,1.5,1,2,0,0,2,6,0,33,9.1,373,10:22,hutchan01
502,Milan Jurčina,22,BOS,D,51,6,5,11,3,54,2.7,4,2,0,0,5,0,0,64,9.4,840,16:28,jurcimi01
503,Jon Klemm,36,DAL,D,76,4,7,11,-3,60,2.8,3,1,0,1,4,1,2,57,7.0,1287,16:56,klemmjo01
504,Andrew Ladd,20,CAR,LW,29,6,5,11,0,4,1.1,3,3,0,0,4,1,0,43,14.0,324,11:10,laddan01
505,Kirk Maltby,33,DET,RW,82,5,6,11,-9,80,-0.9,4,0,1,0,5,0,1,115,4.3,1126,13:44,maltbki01
506,Danny Markov,29,NSH,D,58,0,11,11,9,62,3.0,0,0,0,0,8,1,2,59,0.0,1134,19:33,markoda01
507,Richard Matvichuk,32,NJD,D,62,1,10,11,2,40,3.0,1,0,0,0,10,0,0,43,2.3,1130,18:13,matviri01
508,Sean O'Donnell,34,TOT,D,78,2,9,11,6,147,3.1,2,0,0,0,8,1,0,33,6.1,1291,16:33,odonnse01
509,Mark Streit,28,MTL,D,48,2,9,11,-6,28,1.6,0,2,0,0,3,6,0,52,3.8,700,14:36,streima01
510,Mattias Weinhandl,25,TOT,RW,68,4,7,11,-4,24,0.3,4,0,0,0,6,1,0,57,7.0,624,9:10,weinhma01
511,Anton Babchuk,21,TOT,D,39,5,5,10,-7,22,1.4,2,3,0,0,1,4,0,56,8.9,577,14:48,babchan01
512,Blair Betts,25,NYR,C,66,8,2,10,-10,24,-0.1,7,0,1,0,2,0,0,94,8.5,853,12:55,bettsbl01
513,Mariusz Czerkawski,33,TOT,RW,35,8,2,10,-6,10,0.7,7,1,0,0,0,2,0,72,11.1,449,12:49,czerkma01
514,Garnet Exelby,24,ATL,D,75,1,9,10,11,75,2.5,1,0,0,0,8,0,1,44,2.3,1176,15:41,exelbga01
515,Tom Fitzgerald,37,BOS,RW,71,4,6,10,-10,40,-0.2,4,0,0,0,5,0,1,50,8.0,671,9:27,fitzgto01
516,Hal Gill,30,BOS,D,80,1,9,10,-4,124,2.2,1,0,0,0,9,0,0,68,1.5,1489,18:37,gillha01
517,Barret Jackman,24,STL,D,63,4,6,10,-6,156,2.8,4,0,0,2,5,1,0,56,7.1,1182,18:46,jackmba01
518,Willie Mitchell,28,TOT,D,80,2,8,10,19,113,5.5,2,0,0,0,8,0,0,58,3.4,1668,20:51,mitchwi01
519,Erik Rasmussen,28,NJD,C,67,5,5,10,-4,32,0.6,4,1,0,0,5,0,0,45,11.1,473,7:04,rasmuer01
520,Luke Richardson,36,TOT,D,65,1,9,10,-19,71,0.8,1,0,0,0,8,1,0,40,2.5,1066,16:24,richalu01
521,Jani Rita,24,TOT,LW,51,6,4,10,-6,10,0.5,6,0,0,0,4,0,0,49,12.2,445,8:43,ritaja01
522,Mark Rycroft,27,STL,LW,80,6,4,10,-14,46,-0.2,5,0,1,2,4,0,0,77,7.8,836,10:27,rycroma01
523,Christoph Schubert,23,OTT,D,56,4,6,10,4,48,2.0,3,0,1,0,5,1,0,72,5.6,622,11:06,schubch01
524,Jody Shelley,29,CBJ,LW,80,3,7,10,-4,163,0.3,3,0,0,1,6,1,0,39,7.7,478,5:58,shelljo01
525,Jordin Tootoo,22,NSH,RW,34,4,6,10,9,55,1.2,4,0,0,0,6,0,0,61,6.6,315,9:15,tootojo01
526,J.P. Vigier,29,ATL,RW,41,4,6,10,-4,40,0.1,2,1,1,0,4,1,1,53,7.5,589,14:21,vigiejp01
527,Shea Weber,20,NSH,D,28,2,8,10,8,42,2.3,0,2,0,1,4,4,0,46,4.3,476,17:00,webersh01
528,Glen Wesley,37,CAR,D,64,2,8,10,10,46,2.5,2,0,0,0,8,0,0,28,7.1,990,15:28,weslegl01
529,Alexei Zhamnov,35,BOS,C,24,1,9,10,-4,30,0.2,1,0,0,1,5,4,0,37,2.7,389,16:12,zhamnal01
530,Sean Bergenheim,21,NYI,LW,28,4,5,9,-11,20,0.2,4,0,0,1,5,0,0,63,6.3,372,13:17,bergese01
531,Joël Bouchard,32,NYI,D,25,1,8,9,5,23,1.9,1,0,0,0,6,2,0,45,2.2,548,21:56,bouchjo01
532,Eric Boulton,29,ATL,LW,51,4,5,9,-4,87,0.6,4,0,0,0,5,0,0,28,14.3,250,4:54,boulter01
533,Donald Brashear,34,PHI,LW,76,4,5,9,-2,166,-0.1,4,0,0,0,5,0,0,73,5.5,653,8:36,brashdo01
534,Eric Brewer,26,STL,D,32,6,3,9,-17,45,1.4,5,1,0,1,1,2,0,64,9.4,751,23:28,breweer01
535,Gregory Campbell,22,FLA,C,64,3,6,9,-11,40,-0.3,3,0,0,0,6,0,0,59,5.1,553,8:38,campbgr01
536,Jeff Cowan,29,LAK,RW,46,8,1,9,-8,73,0.6,8,0,0,0,1,0,0,53,15.1,388,8:26,cowanje01
537,Rory Fitzpatrick,31,BUF,D,56,4,5,9,-18,50,1.0,2,2,0,1,2,3,0,45,8.9,916,16:22,fitzpro02
538,Ryan Johnson,29,STL,C,65,3,6,9,-21,33,-0.7,1,1,1,0,5,0,1,57,5.3,741,11:24,johnsry01
539,Konstantin Koltsov,24,PIT,LW,60,3,6,9,-10,20,-0.7,2,0,1,0,4,1,1,72,4.2,795,13:15,koltsko01
540,Niklas Kronwall,25,DET,D,27,1,8,9,11,28,2.3,0,1,0,0,7,1,0,28,3.6,554,20:31,kronwni01
541,Ivan Majeský,29,WSH,D,57,1,8,9,-2,66,1.3,0,0,1,0,7,0,1,35,2.9,987,17:19,majesiv01
542,Vladimir Malakhov,37,NJD,D,29,4,5,9,-9,26,1.5,1,3,0,0,3,2,0,43,9.3,601,20:44,malakvl01
543,Brooks Orpik,25,PIT,D,64,2,7,9,-3,124,1.6,2,0,0,0,6,1,0,32,6.3,1206,18:50,orpikbr01
544,Vladimír Országh,28,STL,RW,16,4,5,9,-2,14,0.8,3,1,0,0,5,0,0,23,17.4,270,16:52,orszavl01
545,Nolan Pratt,30,TBL,D,82,0,9,9,7,60,3.2,0,0,0,0,9,0,0,26,0.0,1475,17:59,prattno01
546,Igor Ulanov,36,EDM,D,37,3,6,9,-11,29,1.1,2,1,0,0,2,2,2,29,10.3,609,16:27,ulanoig01
547,Josef Vašíček,25,CAR,C,23,4,5,9,3,8,0.7,4,0,0,0,4,1,0,41,9.8,354,15:23,vasicjo01
548,Mike Weaver,27,LAK,D,53,0,9,9,-3,14,1.2,0,0,0,0,9,0,0,21,0.0,798,15:03,weavemi01
549,Aki Berg,28,TOR,D,75,0,8,8,-5,56,1.6,0,0,0,0,7,0,1,42,0.0,1197,15:58,bergak01
550,Martin Cibák,25,TBL,C,65,2,6,8,-9,22,-0.1,2,0,0,0,6,0,0,50,4.0,429,6:36,cibakma01
551,Cory Cross,35,TOT,D,56,3,5,8,-3,59,1.6,2,0,1,0,5,0,0,32,9.4,717,12:48,crossco01
552,Joe DiPenta,26,MDA,D,72,2,6,8,8,46,2.5,2,0,0,0,6,0,0,27,7.4,973,13:31,dipenjo01
553,Ben Eager,22,PHI,LW,25,3,5,8,0,18,0.7,3,0,0,0,5,0,0,21,14.3,185,7:24,eagerbe01
554,Jiří Fischer,25,DET,D,22,3,5,8,8,33,2.1,2,0,1,1,3,2,0,36,8.3,456,20:43,fischji01
555,Jeff Hamilton,28,NYI,C,13,2,6,8,0,8,0.7,1,1,0,0,2,4,0,29,6.9,137,10:33,hamilje01
556,Jeff Hoggan,27,STL,LW,52,2,6,8,-16,34,-0.3,2,0,0,0,6,0,0,60,3.3,457,8:47,hoggaje01
557,Aaron Johnson,22,CBJ,D,26,2,6,8,9,23,2.1,1,1,0,1,5,1,0,28,7.1,369,14:12,johnsaa01
558,Randy Jones,24,PHI,D,28,0,8,8,-6,16,0.6,0,0,0,0,4,3,1,21,0.0,419,14:58,jonesra01
559,Patrick Leahy,26,BOS,LW,43,4,4,8,-2,19,0.4,4,0,0,0,4,0,0,46,8.7,391,9:06,leahypa01
560,Cody McCormick,22,COL,C,45,4,4,8,1,29,0.6,4,0,0,1,4,0,0,43,9.3,347,7:42,mccorco01
561,Shawn McEachern,36,BOS,LW,28,2,6,8,-12,22,-0.2,1,1,0,0,6,0,0,40,5.0,402,14:20,mceacsh01
562,Aaron Miller,34,LAK,D,56,0,8,8,-6,27,1.1,0,0,0,0,6,1,1,32,0.0,1033,18:26,milleaa01
563,Wyatt Smith,28,NYI,C,42,0,8,8,-7,26,-0.3,0,0,0,0,7,1,0,37,0.0,472,11:14,smithwy01
564,Jeremy Stevenson,31,TOT,LW,51,5,3,8,-3,95,0.5,5,0,0,0,3,0,0,48,10.4,369,7:14,steveje01
