Rk,Player,Age,Tm,Pos,GP,G,A,PTS▼,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
199,Radim Vrbata,24,TOT,RW,61,15,24,39,4,22,3.8,9,6,0,0,13,10,1,185,8.1,909,14:54,vrbatra01
200,Patrice Brisebois,35,COL,D,80,10,28,38,1,55,6.2,6,4,0,2,15,12,1,107,9.3,1785,22:19,brisepa01
201,Dan Hamhuis,23,NSH,D,82,7,31,38,11,70,7.2,2,4,1,1,18,12,1,135,5.2,1850,22:34,hamhuda01
202,Chris Higgins,22,MTL,C,80,23,15,38,-1,26,4.0,13,7,3,3,10,5,0,148,15.5,1153,14:25,higgich01
203,Pavel Kubina,28,TBL,D,76,5,33,38,-12,96,5.3,1,4,0,3,9,22,2,155,3.2,1686,22:11,kubinpa01
204,Jaroslav Modrý,34,ATL,D,79,7,31,38,-9,76,4.6,2,5,0,2,9,22,0,143,4.9,1626,20:35,modryja01
205,Jeff O'Neill,29,TOR,RW,74,19,19,38,-19,64,3.2,5,14,0,6,12,7,0,169,11.2,936,12:39,oneilje01
206,Matt Pettinger,25,WSH,LW,71,20,18,38,-2,39,3.6,11,4,5,2,11,6,1,134,14.9,1099,15:29,pettima01
207,Alexei Ponikarovsky,25,TOR,LW,81,21,17,38,15,68,4.3,15,2,4,3,14,2,1,157,13.4,1142,14:06,ponikal01
208,R.J. Umberger,23,PHI,C,73,20,18,38,9,18,4.2,15,5,0,2,14,4,0,138,14.5,966,13:14,umberrj01
209,Ryan Whitney,22,PIT,D,68,6,32,38,-7,85,4.8,4,2,0,1,17,14,1,113,5.3,1620,23:50,whitnry01
210,Éric Bélanger,28,LAK,C,65,17,20,37,-5,62,2.9,12,5,0,1,17,2,1,119,14.3,1141,17:33,belaner01
211,Sergei Brylin,32,NJD,LW,82,15,22,37,-4,46,2.9,11,4,0,3,13,9,0,126,11.9,1290,15:44,brylise01
212,Paul Martin,24,NJD,D,80,5,32,37,1,32,7.0,2,3,0,0,15,17,0,97,5.2,1889,23:37,martipa01
213,Dean McAmmond,32,STL,LW,78,15,22,37,-25,32,2.3,11,4,0,0,12,10,0,116,12.9,1251,16:02,mcammde01
214,Fernando Pisani,29,EDM,C,80,18,19,37,5,42,3.7,13,4,1,2,14,5,0,131,13.7,1108,13:51,pisanfe01
215,Mike Van Ryn,26,FLA,D,80,8,29,37,15,90,6.7,5,3,0,2,16,13,0,154,5.2,1808,22:36,vanrymi01
216,Wes Walz,35,MIN,C,82,19,18,37,7,61,4.0,17,1,1,0,14,1,3,127,15.0,1304,15:54,walzwe01
217,Stu Barnes,35,DAL,C,78,15,21,36,9,44,3.1,14,0,1,2,18,3,0,123,12.2,1285,16:29,barnest01
218,François Beauchemin,25,TOT,D,72,8,28,36,2,52,6.0,4,4,0,3,18,10,0,137,5.8,1668,23:10,beaucfr01
219,Brett Clark,29,COL,D,80,9,27,36,3,56,5.9,5,4,0,1,16,10,1,148,6.1,1572,19:39,clarkbr01
220,John Madden,32,NJD,C,82,16,20,36,-7,36,2.3,15,0,1,0,19,1,0,194,8.2,1557,18:59,maddejo01
221,Steve Rucchin,34,NYR,C,72,13,23,36,6,10,3.0,8,4,1,0,11,12,0,111,11.7,1151,16:00,rucchst01
222,Keith Tkachuk,33,STL,LW,41,15,21,36,-15,46,3.2,5,10,0,1,15,6,0,133,11.3,798,19:27,tkachke01
223,Marc-André Bergeron,25,EDM,D,75,15,20,35,3,38,7.1,7,8,0,1,11,8,1,144,10.4,1592,21:14,bergema02
224,Greg de Vries,33,ATL,D,82,7,28,35,1,76,5.2,4,3,0,2,15,12,1,111,6.3,1805,22:01,devrigr01
225,Trent Hunter,25,NYI,RW,82,16,19,35,-9,34,2.0,11,5,0,3,13,6,0,221,7.2,1462,17:50,huntetr01
226,Niko Kapanen,27,DAL,C,81,14,21,35,-10,36,2.4,7,5,2,4,13,8,0,97,14.4,1152,14:13,kapanni01
227,Juraj Kolník,25,FLA,RW,77,15,20,35,1,40,2.8,10,4,1,3,19,1,0,145,10.3,1102,14:19,kolniju01
228,Milan Michálek,21,SJS,RW,81,17,18,35,1,45,2.9,13,4,0,2,11,7,0,159,10.7,1277,15:46,michami01
229,Brian Pothier,28,OTT,D,77,5,30,35,29,59,6.8,2,3,0,0,16,14,0,133,3.8,1273,16:32,pothibr01
230,Shawn Bates,30,NYI,C,66,15,19,34,-11,60,2.4,13,1,1,4,17,2,0,95,15.8,1135,17:12,batessh01
231,Nolan Baumgartner,29,VAN,D,70,5,29,34,11,30,5.8,0,4,1,1,11,18,0,73,6.8,1154,16:29,baumgno01
232,Rene Bourque,24,CHI,RW,77,16,18,34,3,56,2.9,12,4,0,2,13,5,0,180,8.9,1181,15:20,bourqre01
233,Chris Campoli,21,NYI,D,80,9,25,34,-16,46,4.5,7,2,0,2,14,11,0,123,7.3,1483,18:32,campoch01
234,Sami Kapanen,32,PHI,RW,58,12,22,34,-9,12,2.2,5,3,4,2,14,8,0,123,9.8,1048,18:04,kapansa01
235,Antti Laaksonen,32,COL,LW,81,16,18,34,-2,40,2.4,14,0,2,4,17,0,1,141,11.3,1297,16:00,laaksan01
236,Todd Marchant,32,TOT,C,79,9,25,34,2,66,1.9,9,0,0,0,19,5,1,132,6.8,1363,17:15,marchto01
237,Scott Mellanby,39,ATL,RW,71,12,22,34,5,55,2.8,9,3,0,3,15,7,0,100,12.0,952,13:25,mellasc01
238,Marty Reasoner,28,TOT,C,77,11,23,34,-14,28,2.1,5,6,0,1,16,7,0,102,10.8,1027,13:20,reasoma01
239,Mike Richards,20,PHI,C,79,11,23,34,6,65,2.3,7,1,3,1,16,5,2,168,6.5,1215,15:23,richami02
240,Craig Rivet,31,MTL,D,82,7,27,34,-5,109,5.8,2,5,0,1,16,10,1,122,5.7,1840,22:27,rivetcr01
241,Steve Yzerman*,40,DET,C,61,14,20,34,8,18,3.6,10,4,0,3,13,7,0,86,16.3,779,12:47,yzermst01
242,Ben Clymer,27,WSH,RW,77,16,17,33,-7,72,2.5,13,3,0,3,11,6,0,149,10.7,1091,14:10,clymebe01
243,Bobby Holík,35,ATL,C,64,15,18,33,-6,79,2.3,10,5,0,0,5,12,1,151,9.9,1121,17:31,holikbo01
244,Jan Hrdina,29,CBJ,C,75,10,23,33,-8,78,1.7,5,4,1,0,14,8,1,78,12.8,1272,16:58,hrdinja01
245,Ed Jovanovski,29,VAN,D,44,8,25,33,-8,58,4.5,2,6,0,2,12,13,0,87,9.2,1075,24:26,jovaned01
246,Chris Neil,26,OTT,RW,79,16,17,33,9,204,3.3,8,8,0,0,12,5,0,126,12.7,972,12:18,neilch01
247,Mattias Öhlund,29,VAN,D,78,13,20,33,-6,92,6.1,4,8,1,2,11,7,2,183,7.1,2002,25:40,ohlunma01
248,Sami Salo,31,VAN,D,59,10,23,33,9,38,6.3,1,9,0,2,11,11,1,140,7.1,1445,24:30,salosa01
249,Dave Scatchard,29,TOT,C,63,15,18,33,-13,112,2.5,10,5,0,3,7,11,0,121,12.4,964,15:18,scatcda01
250,Antoine Vermette,23,OTT,C,82,21,12,33,17,44,4.0,14,1,6,4,10,1,1,123,17.1,1031,12:35,vermean01
251,Bryan Berard,28,CBJ,D,44,12,20,32,-29,32,3.3,1,11,0,2,9,11,0,126,9.5,997,22:40,berarbr01
252,Kris Draper,34,DET,RW,80,10,22,32,3,58,1.6,9,0,1,1,19,2,1,153,6.5,1422,17:46,drapekr01
253,Niclas Hävelid,32,ATL,D,82,4,28,32,9,48,5.3,2,2,0,0,19,9,0,84,4.8,1985,24:13,havelni01
254,Oleg Kvasha,27,TOT,LW,64,13,19,32,3,38,2.9,12,1,0,1,14,3,2,136,9.6,910,14:13,kvashol01
255,Brian Leetch*,37,BOS,D,61,5,27,32,-10,36,4.3,1,4,0,0,14,13,0,130,3.8,1435,23:31,leetcbr01
256,Michel Ouellet,23,PIT,LW,50,16,16,32,-13,16,2.8,5,11,0,0,8,7,1,87,18.4,701,14:02,ouellmi01
257,Zach Parise,21,NJD,C,81,14,18,32,-1,28,2.7,12,2,0,5,9,9,0,133,10.5,1064,13:08,parisza01
258,Brent Seabrook,20,CHI,D,69,5,27,32,5,60,5.5,4,1,0,2,12,15,0,114,4.4,1382,20:02,seabrbr01
259,Jon Sim,28,TOT,RW,72,17,15,32,-7,54,2.9,9,8,0,5,13,2,0,172,9.9,840,11:40,simjo01
260,Nik Antropov,25,TOR,RW,57,12,19,31,13,56,3.1,9,2,1,0,17,1,1,113,10.6,887,15:34,antroni01
261,Andrew Ference,26,CGY,D,82,4,27,31,-12,85,5.4,2,2,0,0,10,17,0,111,3.6,1652,20:08,ferenan01
262,Chuck Kobasew,23,CGY,RW,77,20,11,31,-10,64,3.3,10,10,0,4,9,2,0,143,14.0,944,12:16,kobasch01
263,Martin Lapointe,32,CHI,RW,82,14,17,31,-30,106,1.1,8,6,0,3,13,4,0,135,10.4,1211,14:46,lapoima01
264,Manny Malhotra,25,CBJ,C,58,10,21,31,1,41,2.4,8,1,1,0,18,3,0,102,9.8,949,16:21,malhoma01
265,Antti Miettinen,25,DAL,LW,79,11,20,31,0,46,2.5,7,4,0,1,13,7,0,107,10.3,956,12:06,miettan01
266,Patrick Sharp,24,TOT,C,72,14,17,31,5,46,2.8,12,1,1,5,13,4,0,144,9.7,986,13:41,sharppa01
267,Jason Chimera,26,CBJ,LW,80,17,13,30,-10,95,2.5,15,1,1,5,13,0,0,127,13.4,1014,12:41,chimeja01
268,Marc Chouinard,28,MIN,C,74,14,16,30,1,34,2.7,6,6,2,3,10,6,0,112,12.5,1220,16:29,chouima01
269,Ric Jackman,27,TOT,D,64,7,23,30,-20,52,2.8,4,3,0,1,12,10,1,120,5.8,1110,17:21,jackmri01
270,Chris Kelly,25,OTT,C,82,10,20,30,21,76,2.8,9,1,0,2,13,1,6,112,8.9,1011,12:20,kellych01
271,Jason Pominville,23,BUF,RW,57,18,12,30,-4,22,3.2,6,10,2,2,7,5,0,124,14.5,805,14:07,pominja01
272,Michal Rozsíval,27,NYR,D,82,5,25,30,35,90,8.1,2,3,0,3,16,8,1,115,4.3,1841,22:27,rozsimi01
273,Brian Sutherby,23,WSH,C,76,14,16,30,-17,73,1.7,12,0,2,0,16,0,0,85,16.5,1044,13:44,suthebr01
274,Richard Zedník,30,MTL,RW,67,16,14,30,-2,48,2.6,10,6,0,4,8,6,0,161,9.9,1057,15:46,zedniri01
275,Patrick Eaves,21,OTT,RW,58,20,9,29,7,22,3.7,14,5,1,4,8,1,0,100,20.0,724,12:29,eavespa01
276,Adam Hall,25,NSH,RW,75,14,15,29,0,40,2.0,4,10,0,5,7,6,2,122,11.5,1258,16:47,hallad01
277,Jamie Lundmark,25,TOT,C,53,10,19,29,-1,62,2.7,8,2,0,1,9,10,0,78,12.8,659,12:26,lundmja01
278,Tomáš Plekanec,23,MTL,LW,67,9,20,29,4,32,2.3,8,1,0,0,12,5,3,99,9.1,888,13:15,plekato01
279,Alexei Zhitnik,33,NYI,D,59,5,24,29,4,88,5.1,2,3,0,0,7,17,0,99,5.1,1446,24:30,zhitnal01
280,P.J. Axelsson,30,BOS,LW,59,10,18,28,-3,4,1.8,7,1,2,1,16,1,1,113,8.8,1039,17:36,axelspj01
281,Matthew Barnaby,32,CHI,LW,82,8,20,28,-11,178,1.2,8,0,0,1,19,0,1,85,9.4,1101,13:26,barnama01
282,Dustin Brown,21,LAK,RW,79,14,14,28,-10,80,1.6,8,6,0,2,11,3,0,159,8.8,1104,13:59,browndu01
283,Ryan Craig,24,TBL,C,48,15,13,28,-4,6,2.8,9,6,0,0,9,4,0,81,18.5,737,15:21,craigry01
284,Alexandre Daigle,30,MIN,RW,46,5,23,28,-6,12,2.2,3,2,0,1,12,11,0,59,8.5,598,13:00,daiglal02
285,Radek Dvořák,28,EDM,RW,64,8,20,28,-2,26,1.7,6,2,0,2,19,0,1,131,6.1,1060,16:34,dvorara01
286,Kurtis Foster,24,MIN,D,58,10,18,28,-3,60,5.6,4,6,0,2,6,12,0,124,8.1,1115,19:13,fosteku01
287,Jamie Heward,34,WSH,D,71,7,21,28,-5,54,3.9,3,4,0,2,7,12,2,140,5.0,1552,21:52,hewarja01
288,Chad Kilger,29,TOR,C,79,17,11,28,-6,63,2.4,15,1,1,2,10,0,1,103,16.5,980,12:25,kilgech01
289,Trevor Letowski,28,CBJ,RW,81,10,18,28,-2,36,1.3,8,1,1,1,14,1,3,135,7.4,1339,16:32,letowtr01
290,Brent Sopel,29,TOT,D,68,2,26,28,-13,70,3.5,0,2,0,0,13,13,0,133,1.5,1586,23:20,sopelbr01
291,Steve Staios,32,EDM,D,82,8,20,28,10,84,6.4,7,1,0,1,14,6,0,140,5.7,1712,20:53,staiost01
292,Jason Ward,27,NYR,RW,81,10,18,28,-4,44,1.7,8,0,2,1,16,1,1,125,8.0,1069,13:12,wardja01
293,Duvie Westcott,28,CBJ,D,78,6,22,28,1,133,5.3,4,1,1,0,9,13,0,113,5.3,1761,22:34,westcdu01
294,Steve Bernier,20,SJS,RW,39,14,13,27,4,35,3.2,11,2,1,1,9,4,0,75,18.7,551,14:08,bernist01
295,Bret Hedican,35,CAR,D,74,5,22,27,11,58,4.9,2,2,1,1,15,5,2,73,6.8,1503,20:19,hedicbr01
296,Jonathan Hedström,28,MDA,RW,79,13,14,27,2,48,1.7,9,2,2,5,12,1,1,99,13.1,1286,16:17,hedstjo01
297,Andy Hilbert,24,TOT,C,47,12,15,27,4,38,2.8,9,3,0,2,10,4,1,101,11.9,614,13:04,hilbean01
298,Jay McClement,22,STL,C,67,6,21,27,-23,30,1.0,5,1,0,2,12,9,0,76,7.9,934,13:56,mccleja01
299,Freddy Meyer,25,PHI,D,57,6,21,27,10,33,4.6,4,2,0,0,7,14,0,68,8.8,1023,17:56,meyerfr01
300,Ethan Moreau,30,EDM,LW,74,11,16,27,6,87,2.0,5,2,4,4,11,2,3,151,7.3,1183,15:59,moreaet01
301,Derek Morris,27,PHX,D,53,6,21,27,-7,54,3.9,1,4,1,2,6,14,1,91,6.6,1106,20:52,morride01
302,Mattias Norström,34,LAK,D,77,4,23,27,-3,58,4.0,1,2,1,1,14,8,1,83,4.8,1625,21:07,norstma01
303,Matt Stajan,22,TOR,C,80,15,12,27,5,50,2.6,8,3,4,5,7,1,4,83,18.1,931,11:38,stajama01
304,Lee Stempniak,22,STL,RW,57,14,13,27,-10,22,2.4,9,5,0,2,11,2,0,100,14.0,819,14:22,stemple01
305,Dallas Drake,36,STL,LW,62,2,24,26,-13,59,0.7,1,1,0,1,18,4,2,88,2.3,1049,16:55,drakeda01
306,Pascal Dupuis,26,MIN,RW,67,10,16,26,-10,40,1.6,6,4,0,2,9,6,1,151,6.6,1105,16:30,dupuipa01
307,Roman Hamrlík,31,CGY,D,51,7,19,26,8,56,5.8,5,1,1,0,4,15,0,89,7.9,1114,21:51,hamrlro01
308,Mike Leclerc,29,TOT,LW,50,10,16,26,0,37,2.4,6,4,0,0,13,3,0,65,15.4,668,13:21,leclemi01
