Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
1,Connor McDavid,26,EDM,C,82,64,89,153,22,36,18.2,39,21,4,11,36,50,3,352,18.2,1836,22:23,40,89,525,486,51.9,mcdavco01
2,Leon Draisaitl,27,EDM,C,80,52,76,128,7,24,14.2,19,32,1,11,45,30,1,247,21.1,1739,21:44,40,66,807,663,54.9,draisle01
3,Nikita Kucherov,29,TBL,RW,82,30,83,113,-2,36,10.7,22,8,0,4,41,42,0,271,11.1,1651,20:08,28,61,2,0,100.0,kucheni01
4,David Pastrňák,26,BOS,RW,82,61,52,113,34,38,15.1,43,18,0,13,33,19,0,407,15.0,1604,19:34,33,91,8,11,42.1,pastrda01
5,Nathan MacKinnon,27,COL,C,71,42,69,111,29,30,13.1,30,12,0,9,47,22,0,366,11.5,1585,22:19,40,53,519,649,44.4,mackina01
6,Jason Robertson,23,DAL,LW,82,46,63,109,37,20,13.9,33,13,0,7,35,28,0,313,14.7,1545,18:50,19,57,0,1,0.0,roberja01
7,Matthew Tkachuk,25,FLA,LW,79,40,69,109,29,123,12.3,26,14,0,6,46,22,1,322,12.4,1614,20:26,31,68,13,16,44.8,tkachma01
8,Mikko Rantanen,26,COL,RW,82,55,50,105,15,82,12.8,42,13,0,9,26,24,0,306,18.0,1822,22:13,41,77,222,231,49.0,rantami01
9,Ryan Nugent-Hopkins,29,EDM,C,82,37,67,104,12,35,10.9,21,15,1,3,26,38,3,201,18.4,1624,19:48,26,48,308,374,45.2,nugenry01
10,Elias Pettersson,24,VAN,C,80,39,63,102,16,14,10.9,28,6,5,6,40,19,4,257,15.2,1644,20:33,89,74,442,555,44.3,petteel01
11,Erik Karlsson,32,SJS,D,82,25,76,101,-26,36,12.4,20,5,0,4,54,22,0,209,12.0,2100,25:37,90,33,0,1,0.0,karlser01
12,Jack Hughes,21,NJD,C,78,43,56,99,10,6,11.3,34,9,0,6,34,22,0,336,12.8,1557,19:58,30,12,164,300,35.3,hugheja03
13,Mitch Marner,25,TOR,RW,80,30,69,99,18,28,10.2,17,9,4,4,41,27,1,196,15.3,1702,21:17,45,53,0,4,0.0,marnemi01
14,Brayden Point,26,TBL,C,82,51,44,95,2,7,11.2,31,20,0,9,34,10,0,235,21.7,1613,19:40,37,37,417,405,50.7,pointbr01
15,Tage Thompson,25,BUF,C,78,47,47,94,4,39,11.1,26,20,1,7,33,14,0,295,15.9,1450,18:35,26,55,350,463,43.1,thompta01
16,Sidney Crosby,35,PIT,C,82,33,60,93,8,52,9.6,24,9,0,9,42,18,0,255,12.9,1652,20:09,47,71,978,868,53.0,crosbsi01
17,Artemi Panarin,31,NYR,LW,82,29,63,92,4,36,9.1,20,9,0,4,36,27,0,204,14.2,1608,19:36,11,26,6,13,31.6,panarar01
18,Mika Zibanejad,29,NYR,C,82,39,52,91,25,20,10.6,18,20,1,5,32,19,1,251,15.5,1637,19:58,48,71,692,706,49.5,zibanmi01
19,Tim Stützle,21,OTT,LW,78,39,51,90,-3,54,10.0,26,10,3,3,33,18,0,228,17.1,1659,21:16,49,114,202,284,41.6,stuetti02
20,William Nylander,26,TOR,C,82,40,47,87,10,28,10.0,31,9,0,5,28,19,0,293,13.7,1520,18:33,26,18,25,34,42.4,nylanwi01
21,Clayton Keller,24,ARI,C,82,37,49,86,-2,49,8.7,30,6,1,4,35,14,0,223,16.6,1702,20:45,34,18,22,41,34.9,kellecl01
22,Auston Matthews,25,TOR,C,74,40,45,85,31,20,10.6,27,13,0,8,30,15,0,327,12.2,1501,20:17,92,78,550,499,52.4,matthau01
23,Steven Stamkos,32,TBL,C,81,34,50,84,-5,46,8.4,20,14,0,6,29,21,0,240,14.2,1541,19:01,51,92,501,430,53.8,stamkst01
