Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
1,Daniel Sedin*,30,VAN,LW,82,41,63,104,30,32,14.3,23,18,0,10,39,24,0,266,15.4,1521,18:33,12,13,4,13,23.5,sedinda01
2,Martin St. Louis*,35,TBL,RW,82,31,68,99,0,12,11.3,27,4,0,7,31,37,0,254,12.2,1720,20:59,64,37,50,81,38.2,stlouma01
3,Corey Perry,25,ANA,RW,82,50,48,98,9,104,13.3,32,14,4,11,30,17,1,290,17.2,1830,22:19,41,64,9,13,40.9,perryco01
4,Henrik Sedin*,30,VAN,C,82,19,75,94,26,40,10.5,11,8,0,4,48,27,0,157,12.1,1579,19:16,21,15,721,666,52.0,sedinhe01
5,Steven Stamkos,20,TBL,C,82,45,46,91,3,74,12.2,28,17,0,8,27,19,0,272,16.5,1656,20:12,37,84,431,496,46.5,stamkst01
6,Jarome Iginla*,33,CGY,RW,82,43,43,86,0,40,11.0,29,14,0,6,27,16,0,289,14.9,1717,20:56,28,103,227,193,54.0,iginlja01
7,Alex Ovechkin,25,WSH,LW,79,32,53,85,24,41,11.1,25,7,0,11,36,17,0,367,8.7,1688,21:22,23,239,6,12,33.3,ovechal01
8,Teemu Selänne*,40,ANA,RW,73,31,49,80,6,49,10.0,15,16,0,5,31,18,0,213,14.6,1310,17:56,20,15,97,121,44.5,selante01
9,Henrik Zetterberg,30,DET,C,80,24,56,80,-1,40,8.2,14,10,0,3,35,20,1,306,7.8,1567,19:35,19,38,516,468,52.4,zettehe01
10,Brad Richards,30,DAL,C,72,28,49,77,1,24,9.0,21,7,0,3,27,22,0,272,10.3,1564,21:43,22,20,501,489,50.6,richabr01
11,Ryan Getzlaf,25,ANA,C,67,19,57,76,14,35,8.4,12,7,0,4,37,20,0,117,16.2,1464,21:51,57,189,542,641,45.8,getzlry01
12,Claude Giroux,23,PHI,RW,82,25,51,76,20,47,8.8,14,8,3,5,36,11,4,169,14.8,1591,19:24,44,117,548,547,50.0,giroucl01
