,PLAYER,Pos,GP,G,A,PTS,PS,EV,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CAP HIT,exchange cap
41,Ryan Strome,C,70,18,41,59,5.9,15,3,0,3,26,14,1,154,11.7,1371,19:35,32,45,496,548,47.5,3100000,2429447.0
42,Nikolaj Ehlers,LW,71,25,33,58,6.8,21,3,1,5,31,2,0,203,12.3,1173,16:31,28,36,0,2,0.0,6000000,5365030.0
43,Johnny Gaudreau,LW,70,18,40,58,5.4,12,6,0,2,28,12,0,209,8.6,1315,18:47,11,1,1,3,25.0,6750000,6124233.0
44,Brayden Schenn,C,71,25,33,58,6.4,15,10,0,4,22,11,0,138,18.1,1311,18:28,21,119,350,364,49.0,5125000,4479294.0
45,Jaden Schwartz,C,71,22,35,57,6.0,13,9,0,4,24,11,0,162,13.6,1291,18:11,28,60,9,11,45.0,5350000,4707055.0
46,Patrice Bergeron,C,61,31,25,56,7.9,19,11,1,5,16,9,0,203,15.3,1143,18:44,46,46,758,553,57.8,6875000,6250766.0
47,Bryan Rust,RW,55,27,29,56,7.1,18,8,1,4,19,9,1,151,17.9,1087,19:46,35,71,2,8,20.0,3500000,2834355.0
48,Victor Hedman,D,66,11,44,55,9.5,7,4,0,3,26,18,0,155,7.1,1588,24:04,98,73,0,0,,7875000,7263036.0
49,Nicklas Bäckström,C,61,12,42,54,4.6,10,2,0,0,26,16,0,132,9.1,1160,19:01,45,30,516,532,49.2,6700000,6073619.0
50,Kevin Fiala,LW,64,23,31,54,6.0,14,9,0,4,22,9,0,175,13.1,986,15:24,18,25,2,7,22.2,3000000,2328220.0
51,Elias Lindholm,C,70,29,25,54,6.1,21,8,0,7,14,11,0,169,17.2,1381,19:43,41,93,395,406,49.3,4850000,4200920.0
52,Brock Nelson,C,68,26,28,54,6.3,22,4,0,5,25,3,0,175,14.9,1282,18:52,44,49,615,573,51.8,6000000,5365030.0
53,Reilly Smith,RW,71,27,27,54,6.8,22,3,2,6,23,2,2,169,16.0,1272,17:55,30,55,3,9,25.0,5000000,4352760.0
54,Claude Giroux,C,69,21,32,53,5.5,13,7,1,6,18,13,1,197,10.7,1310,18:59,16,45,663,460,59.0,8275000,7667944.0
55,Bo Horvat,C,69,22,31,53,4.6,10,12,0,2,27,4,0,178,12.4,1362,19:44,66,55,850,633,57.3,5500000,4858895.0
56,Quinn Hughes,D,68,8,45,53,6.5,5,3,0,2,23,22,0,126,6.3,1488,21:53,46,7,0,0,,916667,219325.0
57,Dylan Larkin,C,71,19,34,53,4.5,14,5,0,0,25,9,0,223,8.5,1509,21:15,45,52,715,647,52.5,6100000,5466257.0
58,Taylor Hall,LW,65,16,36,52,4.6,12,4,0,1,22,14,0,232,6.9,1246,19:10,29,47,20,31,39.2,6000000,5365030.0
59,Evgeny Kuznetsov,C,63,19,33,52,5.1,13,6,0,0,27,6,0,129,14.7,1124,17:51,16,35,348,455,43.3,7800000,7187116.0
60,Alex Pietrangelo,D,70,16,36,52,9.1,10,6,0,3,19,16,1,225,7.1,1693,24:11,89,47,0,0,,6500000,5871165.0
61,Jakub Vrána,LW,69,25,27,52,6.1,24,1,0,6,16,11,0,187,13.4,1027,14:53,16,29,6,5,54.5,3350000,2682515.0
62,Cale Makar,D,57,12,38,50,7.7,8,4,0,4,23,15,0,121,9.9,1198,21:01,47,45,0,0,,880833,183051.0
63,Sam Reinhart,C,69,22,28,50,4.5,17,5,0,2,21,7,0,144,15.3,1423,20:38,27,36,40,72,35.7,3650000,2986196.0
64,Tyler Seguin,C,69,17,33,50,4.9,14,3,0,6,21,12,0,245,6.9,1321,19:09,31,90,538,387,58.2,9850000,9262269.0
65,Pierre-Luc Dubois,LW,70,18,31,49,5.0,17,1,0,4,22,9,0,158,11.4,1255,17:56,50,85,359,446,44.6,894166,196548.0
66,Alex Killorn,C,68,26,23,49,6.0,18,8,0,7,18,5,0,130,20.0,1219,17:56,15,59,5,14,26.3,4450000,3796012.0
67,Torey Krug,D,61,9,40,49,6.7,7,2,0,4,14,26,0,144,6.3,1250,20:29,48,36,0,0,,5250000,4605828.0
68,Timo Meier,RW,70,22,27,49,4.6,20,2,0,2,20,7,0,199,11.1,1210,17:17,38,155,12,25,32.4,6000000,5365030.0
69,T.J. Oshie,C,69,26,23,49,5.5,16,10,0,4,21,2,0,133,19.5,1262,18:18,58,90,119,119,50.0,5750000,5111963.0
70,Tyler Bertuzzi,LW,71,21,27,48,4.3,18,3,0,1,16,11,0,129,16.3,1371,19:19,30,71,4,2,66.7,1400000,708588.0
71,Filip Forsberg,C,63,21,27,48,4.8,14,7,0,2,20,7,0,198,10.6,1093,17:21,27,82,1,2,33.3,6000000,5365030.0
72,Sean Monahan,C,70,22,26,48,4.6,14,8,0,5,18,8,0,166,13.3,1267,18:06,22,65,549,495,52.6,6375000,5744631.0
73,Ryan Suter,D,69,8,40,48,6.4,6,2,0,2,24,16,0,111,7.2,1700,24:38,93,48,0,0,,7538462,6922369.0
74,Sidney Crosby,C,41,16,31,47,4.7,12,4,0,4,18,13,0,109,14.7,831,20:16,17,28,494,394,55.6,8700000,8098159.0
75,Phillip Danault,LW,71,13,34,47,4.7,12,1,0,1,31,3,0,131,9.9,1338,18:51,37,119,728,608,54.5,3083333,2412576.0
76,Evander Kane,LW,64,26,21,47,5.1,10,14,2,6,17,4,0,216,12.0,1250,19:32,25,135,106,95,52.7,7000000,6377300.0
77,Jonathan Marchessault,C,66,22,25,47,5.4,16,6,0,3,19,6,0,235,9.4,1141,17:17,12,99,58,78,42.6,5000000,4352760.0
78,Eric Staal,C,66,19,28,47,4.4,14,5,0,5,19,9,0,113,16.8,1131,17:08,22,24,495,504,49.5,3250000,2581288.0
79,Pavel Buchnevich,LW,68,16,30,46,4.1,12,4,0,1,25,5,0,148,10.8,1151,16:56,22,80,4,19,17.4,3250000,2581288.0
80,William Karlsson,C,63,15,31,46,4.6,11,2,2,1,22,6,3,138,10.9,1189,18:52,38,40,491,455,51.9,5900000,5263803.0
81,Zach Parise,LW,69,25,21,46,4.7,12,12,1,4,15,6,0,155,16.1,1187,17:12,38,27,41,36,53.2,7538462,6922369.0
82,Shea Theodore,D,71,13,33,46,8.1,11,1,1,4,18,15,0,219,5.9,1579,22:14,69,20,0,0,,5200000,4555214.0
83,Mikael Backlund,C,70,16,29,45,4.4,10,3,3,3,22,7,0,157,10.2,1256,17:57,11,44,368,410,47.3,5350000,4707055.0
84,Brock Boeser,RW,57,16,29,45,4.4,11,5,0,3,20,9,0,169,9.5,1059,18:34,14,28,11,19,36.7,5875000,5238496.0
85,André Burakovsky,LW,58,20,25,45,5.4,18,2,0,6,16,9,0,103,19.4,882,15:12,34,26,5,9,35.7,3250000,2581288.0
86,Brent Burns,D,70,12,33,45,6.7,7,5,0,1,20,12,1,225,5.3,1779,25:25,115,72,0,0,,8000000,7389570.0
87,Alex DeBrincat,RW,70,18,27,45,3.9,8,10,0,4,21,6,0,207,8.7,1225,17:30,19,58,7,13,35.0,778333,79294.0
88,Chris Kreider,LW,63,24,21,45,5.4,15,9,0,5,17,4,0,156,15.4,1087,17:15,42,116,53,70,43.1,4625000,3973159.0
89,Kyle Palmieri,RW,65,25,20,45,5.3,14,11,0,3,13,7,0,155,16.1,1112,17:07,36,74,12,25,32.4,4650000,3998466.0
90,Tanner Pearson,LW,69,21,24,45,4.5,16,3,2,3,16,7,1,164,12.8,1139,16:31,40,96,3,14,17.6,3750000,3087423.0
91,Neal Pionk,D,71,6,39,45,7.3,3,3,0,1,17,22,0,177,3.4,1660,23:23,78,165,0,0,,3000000,2328220.0
92,Nick Schmaltz,C,70,11,34,45,4.3,9,2,0,2,23,11,0,95,11.6,1087,15:32,35,12,160,216,42.6,5850000,5213190.0
93,Keith Yandle,D,69,5,40,45,5.6,3,2,0,0,21,19,0,129,3.9,1359,19:42,51,18,0,1,0.0,6350000,5719325.0
94,Anthony Cirelli,C,68,16,28,44,4.7,14,1,1,3,23,4,1,113,14.2,1255,18:28,47,89,434,480,47.5,728333,28680.0
95,Max Domi,LW,71,17,27,44,4.2,16,1,0,3,17,10,0,179,9.5,1214,17:06,13,32,385,403,48.9,3150000,2480061.0
96,Nikita Gusev,LW,66,13,31,44,3.8,8,5,0,2,21,10,0,158,8.2,970,14:42,7,12,1,2,33.3,4500000,3846625.0
97,Clayton Keller,C,70,17,27,44,4.4,15,2,0,2,14,13,0,184,9.2,1141,16:18,13,20,8,13,38.1,885833,188113.0
98,Gabriel Landeskog,LW,54,21,23,44,4.6,15,6,0,4,14,9,0,145,14.5,1082,20:02,35,86,274,212,56.4,5571429,4931201.0
99,Kris Letang,D,61,15,29,44,7.4,9,6,0,2,20,9,0,177,8.5,1569,25:44,91,101,0,0,,7250000,6630368.0
100,Brady Tkachuk,LW,71,21,23,44,3.9,19,2,0,3,17,6,0,259,8.1,1344,18:56,43,303,144,168,46.2,925000,227760.0
101,Tyler Toffoli,C,68,24,20,44,5.1,19,5,0,4,15,5,0,203,11.8,1146,16:51,16,48,4,10,28.6,4600000,3947852.0
102,Tom Wilson,RW,68,21,23,44,4.2,15,5,1,5,20,2,1,154,13.6,1242,18:16,58,253,18,39,31.6,5166667,4521472.0
103,Josh Bailey,C,68,14,29,43,3.5,11,2,1,2,22,7,0,94,14.9,1149,16:54,48,20,128,129,49.8,5000000,4352760.0
104,Connor Brown,RW,71,16,27,43,3.4,13,3,0,1,24,1,2,173,9.2,1428,20:07,35,39,29,39,42.6,2100000,1417177.0
105,Brendan Gallagher,RW,59,22,21,43,5.5,21,1,0,1,17,4,0,226,9.7,998,16:55,29,53,12,17,41.4,3750000,3087423.0
106,Jake Guentzel,C,39,20,23,43,5.5,14,6,0,4,19,4,0,127,15.7,805,20:38,19,46,22,24,47.8,6000000,5365030.0
107,Adam Henrique,C,71,26,17,43,5.2,21,5,0,1,13,4,0,169,15.4,1198,16:52,32,75,512,419,55.0,5825000,5187883.0
108,Alex Iafallo,C,70,17,26,43,4.2,11,6,0,3,23,3,0,142,12.0,1325,18:56,47,49,11,12,47.8,2425000,1746165.0
109,Anders Lee,LW,68,20,23,43,4.7,18,2,0,6,18,5,0,195,10.3,1244,18:18,50,102,90,109,45.2,7000000,6377300.0
110,Matt Duchene,C,66,13,29,42,3.5,8,5,0,1,23,6,0,136,9.6,1114,16:53,22,40,390,305,56.1,8000000,7389570.0
111,Adam Fox,D,70,8,34,42,7.4,7,1,0,4,22,12,0,125,6.4,1323,18:54,92,35,0,0,,925000,227760.0
112,Ryan Getzlaf,C,69,13,29,42,3.1,10,3,0,5,23,6,0,143,9.1,1292,18:44,69,125,530,504,51.3,8250000,7642638.0
113,Gustav Nyquist,RW,70,15,27,42,4.2,11,3,1,3,21,6,0,151,9.9,1262,18:02,26,37,17,16,51.5,5500000,4858895.0
114,Victor Olofsson,RW,54,20,22,42,4.7,9,11,0,4,16,6,0,127,15.7,993,18:23,16,10,1,1,50.0,767500,68328.0
115,Jean-Gabriel Pageau,C,67,26,16,42,5.0,18,5,3,5,8,5,3,151,17.2,1284,19:09,53,128,615,534,53.5,3100000,2429447.0
116,Rickard Rakell,RW,65,15,27,42,3.9,12,3,0,2,18,6,3,186,8.1,1180,18:10,29,81,10,3,76.9,3789444,3127351.0
117,Robert Thomas,C,66,10,32,42,4.1,9,1,0,2,26,6,0,87,11.5,961,14:34,13,13,136,181,42.9,894166,196548.0
118,Aaron Ekblad,D,67,5,36,41,6.2,5,0,0,1,29,6,1,147,3.4,1539,22:59,84,34,0,0,,7500000,6883435.0
119,Kevin Hayes,RW,69,23,18,41,4.1,15,4,4,5,15,3,0,175,13.1,1223,17:44,22,88,415,411,50.2,7142857,6521910.0
120,Mikko Rantanen,RW,42,19,22,41,4.6,11,8,0,5,16,6,0,107,17.8,796,18:57,23,28,44,31,58.7,9250000,8654907.0
121,Nick Suzuki,C,71,13,28,41,3.2,7,6,0,1,20,8,0,138,9.4,1135,15:59,32,64,305,354,46.3,863333,165337.0
122,Jason Zucker,LW,60,20,21,41,4.3,13,7,0,4,16,5,0,111,18.0,980,16:20,23,53,12,29,29.3,5500000,4858895.0
123,Rasmus Dahlin,D,59,4,36,40,5.1,2,2,0,1,19,17,0,90,4.4,1138,19:18,51,72,0,0,,925000,227760.0
124,Anthony Duclair,LW,66,23,17,40,4.5,16,5,2,2,14,3,0,184,12.5,1073,16:16,39,53,3,3,50.0,1650000,961656.0
125,Jordan Eberle,RW,58,16,24,40,4.1,12,4,0,1,17,7,0,136,11.8,1033,17:49,39,37,3,6,33.3,5500000,4858895.0
126,Dougie Hamilton,D,47,14,26,40,8.6,12,2,0,3,15,10,1,170,8.2,1094,23:17,63,52,0,0,,5750000,5111963.0
127,Erik Karlsson,D,56,6,34,40,5.5,4,1,1,0,22,12,0,120,5.0,1373,24:31,74,26,0,0,,11500000,10932515.0
128,Jeff Petry,D,71,11,29,40,6.0,7,3,1,3,20,9,0,158,7.0,1679,23:39,79,177,0,0,,5500000,4858895.0
129,Tyson Barrie,D,70,5,34,39,4.5,4,1,0,0,23,11,0,169,3.0,1531,21:53,76,47,0,0,,5500000,4858895.0
130,Anthony Beauvillier,LW,68,18,21,39,3.5,14,3,1,3,17,4,0,132,13.6,1174,17:16,36,86,9,4,69.2,2100000,1417177.0
131,Jamie Benn,LW,69,19,20,39,4.2,11,8,0,4,14,6,0,163,11.7,1134,16:26,57,167,244,193,55.8,9500000,8907975.0
132,Thomas Chabot,D,71,6,33,39,4.6,6,0,0,0,22,11,0,186,3.2,1846,26:00,85,79,0,0,,863333,165337.0
133,Logan Couture,C,52,16,23,39,4.2,16,0,0,3,12,9,2,126,12.7,963,18:32,45,54,195,248,44.0,8000000,7389570.0
134,Lars Eller,C,69,16,23,39,3.6,13,2,1,1,18,4,1,151,10.6,1174,17:01,44,59,536,497,51.9,3500000,2834355.0
135,Conor Garland,RW,68,22,17,39,4.9,18,4,0,5,11,6,0,158,13.9,962,14:09,20,26,4,7,36.4,775000,75920.0
136,Jakob Silfverberg,LW,66,21,18,39,4.4,15,4,2,1,15,3,0,155,13.5,1167,17:41,41,28,8,33,19.5,5250000,4605828.0
137,Christian Dvorak,C,70,18,20,38,4.3,12,6,0,2,16,4,0,134,13.4,1169,16:42,36,39,523,426,55.1,4450000,3796012.0
138,Ryan Ellis,D,49,8,30,38,6.5,6,2,0,3,23,7,0,114,7.0,1152,23:30,96,48,0,0,,6250000,5618098.0
139,Phil Kessel,RW,70,14,24,38,2.8,5,9,0,2,16,8,0,153,9.2,1200,17:09,20,11,2,7,22.2,8000000,7389570.0
140,Anthony Mantha,RW,43,16,22,38,4.1,10,6,0,3,19,3,0,137,11.7,812,18:54,25,49,16,22,42.1,3300000,2631901.0
141,Paul Stastny,C,71,17,21,38,3.8,12,5,0,3,15,5,1,136,12.5,1216,17:08,32,63,624,515,54.8,6500000,5871165.0
142,Dylan Strome,C,58,12,26,38,3.5,10,2,0,2,20,6,0,97,12.4,925,15:56,29,23,277,304,47.7,863333,165337.0
143,Vincent Trocheck,C,62,11,27,38,2.7,9,1,1,2,21,6,0,141,7.8,1037,16:44,37,101,434,398,52.2,4750000,4099693.0
144,Charlie Coyle,C,70,16,21,37,3.8,13,1,2,3,17,4,0,145,11.0,1175,16:47,34,83,326,373,46.6,3200000,2530674.0
145,Tyler Ennis,C,70,16,21,37,3.5,11,5,0,1,16,5,0,159,10.1,1030,14:43,26,96,7,8,46.7,800000,101226.0
146,Zach Hyman,C,51,21,16,37,4.5,17,3,1,1,13,3,0,106,19.8,974,19:06,23,52,70,90,43.8,2250000,1569018.0
147,Chris Tierney,C,71,11,26,37,2.6,6,1,4,2,24,1,1,102,10.8,1220,17:11,37,44,521,497,51.2,2937500,2264953.0
148,Mats Zuccarello,LW,65,15,22,37,3.1,12,3,0,2,18,4,0,96,15.6,1036,15:56,36,13,9,5,64.3,6000000,5365030.0
149,Oliver Bjorkstrand,RW,49,21,15,36,4.9,18,3,0,5,12,3,0,162,13.0,879,17:56,16,43,6,13,31.6,2500000,1822085.0
150,Nico Hischier,C,58,14,22,36,2.9,11,2,1,1,13,8,1,123,11.4,1048,18:04,37,48,507,473,51.7,925000,227760.0
151,Ryan Johansen,C,68,14,22,36,2.8,10,3,1,2,16,6,0,101,13.9,1160,17:03,34,39,549,483,53.2,8000000,7389570.0
152,Nazem Kadri,C,51,19,17,36,4.2,15,4,0,1,10,7,0,133,14.3,889,17:26,9,61,407,310,56.8,4500000,3846625.0
153,Kasperi Kapanen,RW,69,13,23,36,2.9,11,0,2,2,20,3,0,121,10.7,1090,15:47,17,73,2,13,13.3,3200000,2530674.0
154,Ivan Provorov,D,69,13,23,36,7.1,6,7,0,3,13,9,1,150,8.7,1714,24:51,111,84,0,0,,6750000,6124233.0
155,Jaccob Slavin,D,68,6,30,36,7.9,6,0,0,3,26,3,1,145,4.1,1592,23:24,107,43,0,0,,5300000,4656441.0
156,Jake Virtanen,RW,69,18,18,36,3.7,12,6,0,6,15,3,0,150,12.0,903,13:05,28,102,5,13,27.8,1250000,556748.0
157,Shea Weber,D,65,15,21,36,7.3,12,3,0,2,16,5,0,185,8.1,1561,24:00,114,112,0,0,,7857143,7244960.0
158,Nick Bonino,C,67,18,17,35,4.1,17,1,0,3,17,0,0,104,17.3,1107,16:31,89,17,488,440,52.6,4100000,3441717.0
159,Dustin Brown,RW,66,17,18,35,3.5,16,1,0,1,14,4,0,169,10.1,1215,18:24,15,143,7,9,43.8,5875000,5238496.0
160,Jake DeBrusk,LW,65,19,16,35,3.8,12,7,0,5,13,3,0,161,11.8,1043,16:03,15,35,9,17,34.6,863333,165337.0
161,Drew Doughty,D,67,7,28,35,5.4,2,5,0,2,18,9,1,141,5.0,1730,25:49,87,106,0,0,,11000000,10426380.0
162,Miro Heiskanen,D,68,8,27,35,7.8,8,0,0,0,20,7,0,163,4.9,1616,23:46,84,40,0,0,,894166,196548.0
163,Jared McCann,C,66,14,21,35,3.5,12,2,0,4,17,4,0,150,9.3,1006,15:15,27,89,265,306,46.4,1250000,556748.0
164,Ryan Pulock,D,68,10,25,35,6.8,7,3,0,3,20,5,0,163,6.1,1524,22:24,139,110,0,0,,2000000,1315950.0
165,Carl Söderberg,C,70,17,18,35,4.0,11,6,0,1,13,5,0,135,12.6,1113,15:54,41,77,245,296,45.3,4750000,4099693.0
166,Samuel Girard,D,70,4,30,34,4.6,3,1,0,1,18,12,0,96,4.2,1492,21:19,92,46,0,0,,728333,28680.0
167,Calle Järnkrok,C,64,15,19,34,3.3,11,2,2,1,12,7,0,136,11.0,1020,15:56,27,28,33,37,47.1,2000000,1315950.0
168,Zack Kassian,RW,59,15,19,34,3.6,15,0,0,1,19,0,0,99,15.2,924,15:40,8,157,1,2,33.3,1950000,1265337.0
169,Oscar Klefbom,D,62,5,29,34,4.4,3,2,0,0,13,16,0,159,3.1,1576,25:25,180,45,0,0,,4167000,3509539.0
170,Alexander Radulov,RW,60,15,19,34,3.9,8,7,0,3,16,3,0,132,11.4,1005,16:45,42,48,4,10,28.6,6250000,5618098.0
171,Mikhail Sergachev,D,70,10,24,34,6.3,4,5,1,0,16,8,0,118,8.5,1426,20:22,99,106,0,0,,894166,196548.0
172,Kevin Shattenkirk,D,70,8,26,34,6.6,7,1,0,0,20,6,0,131,6.1,1323,18:54,66,62,0,0,,1750000,1062883.0
173,Frank Vatrano,LW,69,16,18,34,2.8,12,2,2,4,18,0,0,162,9.9,1036,15:01,43,102,12,28,30.0,2533333,1855827.0
174,Brett Connolly,RW,69,19,14,33,3.3,15,4,0,3,12,2,0,117,16.2,1000,14:30,17,56,6,11,35.3,3500000,2834355.0
175,Joonas Donskoi,RW,65,16,17,33,3.1,12,4,0,2,16,1,0,111,14.4,1056,16:15,38,25,9,12,42.9,3900000,3239263.0
176,Alexander Edler,D,59,5,28,33,5.8,4,1,0,1,22,6,0,118,4.2,1334,22:37,162,108,0,0,,6000000,5365030.0
177,Mattias Ekholm,D,68,8,25,33,4.9,7,0,1,2,19,5,1,154,5.2,1589,23:22,100,49,0,0,,3750000,3087423.0
178,Adam Gaudette,C,59,12,21,33,3.0,8,4,0,1,13,8,0,75,16.0,731,12:23,20,29,187,267,41.2,916667,219325.0
179,Roope Hintz,LW,60,19,14,33,4.2,14,3,2,5,3,11,0,120,15.8,885,14:45,28,73,172,173,49.9,811667,113037.0
180,Kevin Labanc,RW,70,14,19,33,1.9,11,3,0,3,13,6,0,176,8.0,1125,16:04,24,46,2,10,16.7,1000000,303680.0
181,Matt Niskanen,D,68,8,25,33,6.4,3,4,1,0,16,9,0,126,6.3,1490,21:54,84,124,0,0,,5750000,5111963.0
182,Darnell Nurse,D,71,5,28,33,5.5,5,0,0,1,23,5,0,170,2.9,1665,23:27,141,172,0,0,,3200000,2530674.0
183,Rasmus Ristolainen,D,69,6,27,33,5.4,4,2,0,0,19,7,1,128,4.7,1573,22:48,82,203,0,0,,5400000,4757668.0
184,Brandon Saad,LW,58,21,12,33,3.9,18,1,2,5,12,0,0,140,15.0,971,16:45,19,36,23,35,39.7,6000000,5365030.0
185,Derick Brassard,C,66,10,22,32,2.7,7,3,0,1,15,7,0,110,9.1,904,13:42,24,115,197,160,55.2,1200000,506134.0
186,Jesper Bratt,W,60,16,16,32,3.4,15,1,0,2,11,5,0,101,15.8,839,13:59,22,29,3,10,23.1,749167,49770.0
187,Blake Coleman,C,66,21,11,32,3.7,17,1,3,2,8,2,1,200,10.5,1103,16:43,46,191,47,102,31.5,1800000,1113496.0
188,Robby Fabbri,C,61,15,17,32,2.2,9,6,0,3,14,3,0,111,13.5,985,16:09,14,75,27,40,40.3,900000,202453.0
