,PLAYER,Pos,GP,G,A,PTS,PS,EV,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CAP HIT,exchange cap
0,Leon Draisaitl,C,71,43,67,110,12.8,27,16,0,10,39,28,0,218,19.7,1605,22:37,19,27,662,608,52.1,8500000,7895705.0
1,Connor McDavid,C,64,34,63,97,10.9,23,11,0,6,31,32,0,212,16.0,1399,21:52,18,37,320,350,47.8,12500000,11944785.0
2,Artemi Panarin,LW,69,32,63,95,11.4,25,7,0,4,46,17,0,209,15.3,1422,20:36,18,25,1,1,50.0,11642857,11077125.0
3,Nathan MacKinnon,C,69,35,58,93,10.8,23,12,0,4,39,19,0,318,11.0,1464,21:13,31,51,363,478,43.2,6300000,5668711.0
4,Brad Marchand,LW,70,28,59,87,10.4,22,5,1,5,34,23,2,185,15.1,1362,19:27,19,55,22,29,43.1,6125000,5491564.0
5,Nikita Kucherov,RW,68,33,52,85,10.5,29,4,0,6,31,21,0,210,15.7,1283,18:52,19,37,0,1,0.0,9500000,8907975.0
6,Patrick Kane,RW,70,33,51,84,9.6,25,8,0,2,36,15,0,275,12.0,1494,21:20,19,24,1,3,25.0,10500000,9920245.0
7,Auston Matthews,C,70,47,33,80,10.8,35,12,0,5,20,13,0,290,16.2,1468,20:58,60,40,506,415,54.9,11634000,11068159.0
8,Jack Eichel,C,68,36,42,78,9.5,24,11,1,9,26,16,0,227,15.9,1503,22:06,42,40,615,696,46.9,10000000,9414110.0
9,Jonathan Huberdeau,LW,69,23,55,78,8.0,18,5,0,3,31,24,0,152,15.1,1295,18:46,26,51,24,37,39.3,5900000,5263803.0
10,John Carlson,D,69,15,60,75,10.7,13,2,0,6,36,24,0,189,7.9,1700,24:38,108,55,0,1,0.0,8000000,7389570.0
11,Mika Zibanejad,C,57,41,34,75,9.7,23,15,3,6,20,12,2,208,19.7,1233,21:38,49,51,592,612,49.2,5350000,4707055.0
12,Evgeni Malkin,C,55,25,49,74,8.5,18,7,0,5,32,17,0,171,14.6,1074,19:31,22,38,441,435,50.3,9500000,8907975.0
13,Kyle Connor,LW,71,38,35,73,8.7,28,9,1,7,26,8,1,239,15.9,1497,21:05,17,18,2,11,15.4,7142857,6521910.0
14,Mark Scheifele,C,71,29,44,73,7.6,19,10,0,6,34,10,0,170,17.1,1548,21:48,49,34,605,685,46.9,6125000,5491564.0
15,J.T. Miller,C,69,27,45,72,7.9,18,9,0,3,27,16,2,165,16.4,1387,20:06,38,123,425,293,59.2,5250000,4605828.0
16,Alex Ovechkin,LW,68,48,19,67,8.7,35,13,0,3,14,5,0,311,15.4,1405,20:40,30,184,1,0,100.0,9538462,8946909.0
17,Sebastian Aho,F,68,38,28,66,8.6,26,8,4,5,18,9,1,206,18.4,1321,19:25,20,55,409,480,46.0,8454000,7849141.0
19,Max Pacioretty,LW,71,32,34,66,8.6,24,8,0,5,23,11,0,307,10.4,1272,17:55,35,90,51,45,53.1,7000000,6377300.0
20,Elias Pettersson,C,68,27,39,66,7.7,19,8,0,5,23,16,0,162,16.7,1260,18:32,42,63,59,82,41.8,925000,227760.0
21,Steven Stamkos,C,57,29,37,66,8.1,19,10,0,6,28,9,0,176,16.5,1050,18:25,38,69,365,307,54.3,8500000,7895705.0
22,Roman Josi,D,69,16,49,65,10.9,12,4,0,1,30,19,0,260,6.2,1779,25:47,108,52,0,0,,4000000,3340490.0
23,Blake Wheeler,RW,71,22,43,65,6.4,17,4,1,2,24,18,1,180,12.2,1372,19:19,51,102,325,327,49.8,8250000,7642638.0
24,Brayden Point,C,66,25,39,64,7.7,17,8,0,4,34,5,0,141,17.7,1248,18:54,30,24,397,380,51.1,6750000,6124233.0
25,Patrik Laine,RW,68,28,35,63,7.1,20,8,0,1,27,8,0,226,12.4,1320,19:25,35,97,10,17,37.0,6750000,6124233.0
26,Mark Stone,RW,65,21,42,63,7.1,15,6,0,3,30,11,1,168,12.5,1262,19:25,51,56,16,30,34.8,9500000,8907975.0
27,Teuvo Teräväinen,F,68,15,48,63,6.4,10,4,1,1,28,17,3,182,8.2,1305,19:12,30,18,26,27,49.1,5400000,4757668.0
28,Aleksander Barkov,C,66,20,42,62,5.9,13,7,0,2,28,13,1,172,11.6,1321,20:01,35,21,653,550,54.3,5900000,5263803.0
29,Travis Konecny,C,66,24,37,61,6.7,19,5,0,3,19,18,0,141,17.0,1109,16:48,30,63,24,25,49.0,5500000,4858895.0
30,Ryan Nugent-Hopkins,C,65,22,39,61,6.4,15,7,0,4,22,17,0,172,12.8,1330,20:28,44,33,205,199,50.7,6000000,5365030.0
31,Ryan O'Reilly,C,71,12,49,61,5.4,9,2,1,3,33,16,0,118,10.2,1461,20:34,42,16,880,676,56.6,7500000,6883435.0
32,Andrei Svechnikov,RW,68,24,37,61,6.9,18,6,0,5,23,14,0,183,13.1,1138,16:44,27,116,0,1,0.0,925000,227760.0
33,Matthew Tkachuk,LW,69,23,38,61,6.5,18,5,0,4,24,14,0,188,12.2,1263,18:18,22,122,0,4,0.0,7000000,6377300.0
34,Mathew Barzal,C,68,19,41,60,6.0,15,4,0,2,33,8,0,171,11.1,1363,20:03,43,22,228,320,41.6,863333,165337.0
35,David Perron,LW,71,25,35,60,6.6,16,9,0,9,17,18,0,166,15.1,1300,18:19,19,67,3,5,37.5,4000000,3340490.0
36,John Tavares,C,63,26,34,60,6.1,19,7,0,4,20,14,0,197,13.2,1232,19:33,31,32,617,499,55.3,11000000,10426380.0
37,Jonathan Toews,C,70,18,42,60,5.4,16,1,1,3,35,7,0,172,10.5,1384,19:47,35,56,856,638,57.3,10500000,9920245.0
38,Sean Couturier,C,69,22,37,59,6.6,18,4,0,4,28,9,0,185,11.9,1368,19:50,26,60,543,367,59.7,4333333,3677913.0
39,Mike Hoffman,C,69,29,30,59,6.6,18,11,0,3,20,10,0,214,13.6,1162,16:50,22,33,7,8,46.7,5187500,4542561.0
40,William Nylander,C,68,31,28,59,6.7,22,9,0,7,20,8,0,197,15.7,1238,18:13,14,9,106,106,50.0,6962366,6339204.0
