,PLAYER,Pos,GP,G,A,PTS,PS,EV,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CAP HIT,exchange cap
0,Jamie Benn,LW,82,35,52,87,10.7,23,10,2,6,37,13,2,253,13.8,1636,19:57,50.0,120,298.0,278.0,51.7,5250000,5649456.0
1,John Tavares,C,82,38,48,86,11.2,25,13,0,8,29,18,1,278,13.7,1695,20:40,37.0,48,753.0,689.0,52.2,5500000,5948369.0
2,Sidney Crosby,C,77,28,56,84,10.3,18,10,0,3,35,21,0,237,11.8,1538,19:58,29.0,66,797.0,789.0,50.3,8700000,9774456.0
3,Alex Ovechkin,LW,81,53,28,81,12.6,28,25,0,11,19,9,0,395,13.4,1646,20:20,32.0,259,2.0,3.0,40.0,9538462,10776965.0
4,Nicklas Bäckström,C,82,18,60,78,8.1,15,3,0,3,30,30,0,153,11.8,1683,20:32,52.0,91,862.0,747.0,53.6,6700000,7383152.0
5,Tyler Seguin,C,71,37,40,77,10.2,24,13,0,5,24,16,0,280,13.2,1388,19:33,26.0,63,275.0,236.0,53.8,5750000,6247282.0
6,Nick Foligno,LW,79,31,42,73,9.7,20,11,0,3,27,15,0,182,17.0,1488,18:50,52.0,193,125.0,138.0,47.5,3083333,3058876.0
7,Claude Giroux,C,81,25,48,73,7.9,11,14,0,4,25,23,0,279,9.0,1666,20:34,28.0,110,1063.0,807.0,56.8,8275000,9266304.0
8,Vladimir Tarasenko,RW,77,37,36,73,11.2,29,8,0,6,26,10,0,264,14.0,1357,17:37,18.0,32,0.0,3.0,0.0,900000,448369.0
9,Tyler Johnson,C,77,29,43,72,10.3,21,8,0,6,34,9,0,203,14.3,1327,17:14,35.0,63,508.0,569.0,47.2,3333333,3357789.0
10,Steven Stamkos,C,82,43,29,72,10.1,30,13,0,6,17,12,0,268,16.0,1588,19:22,33.0,87,438.0,466.0,48.5,7500000,8339673.0
11,Ryan Johansen,C,82,26,45,71,7.8,17,7,2,0,26,19,0,202,12.9,1599,19:30,33.0,84,850.0,787.0,51.9,4000000,4154891.0
12,Ryan Getzlaf,C,77,25,45,70,8.6,22,3,0,6,33,10,2,191,13.1,1548,20:06,95.0,100,632.0,612.0,50.8,8250000,9236413.0
13,Evgeni Malkin,C,69,28,42,70,8.8,19,9,0,4,25,17,0,212,13.2,1309,18:58,18.0,24,322.0,427.0,43.0,9500000,10730978.0
14,Joe Pavelski,C,82,37,33,70,9.7,18,19,0,5,21,12,0,261,14.2,1650,20:08,82.0,92,604.0,508.0,54.3,6000000,6546195.0
15,Rick Nash,LW,79,42,27,69,11.4,32,6,4,8,20,6,1,304,13.8,1379,17:27,33.0,45,2.0,2.0,50.0,7800000,8698369.0
16,Logan Couture,C,82,27,40,67,7.6,19,6,2,4,22,18,0,263,10.3,1564,19:04,64.0,82,451.0,511.0,46.9,6000000,6546195.0
17,Max Pacioretty,LW,80,37,30,67,10.9,27,7,3,10,24,4,2,302,12.3,1552,19:24,38.0,106,2.0,7.0,22.2,4500000,4752717.0
18,Erik Karlsson,D,82,21,45,66,11.9,15,6,0,3,21,24,0,292,7.2,2235,27:15,89.0,93,0.0,0.0,,6500000,7144021.0
20,Jonathan Toews,C,81,28,38,66,9.4,20,6,2,7,26,11,1,192,14.6,1585,19:34,16.0,56,947.0,728.0,56.5,6300000,6904891.0
21,Henrik Zetterberg,C,77,17,49,66,6.7,13,4,0,3,25,24,0,227,7.5,1472,19:07,26.0,55,541.0,522.0,50.9,6083333,6645832.0
22,Pavel Datsyuk,C,63,26,39,65,8.8,18,8,0,5,23,16,0,165,15.8,1200,19:03,28.0,51,601.0,517.0,53.8,7500000,8339673.0
23,Nikita Kucherov,RW,82,29,36,65,9.9,27,2,0,2,23,13,0,191,15.2,1226,14:57,28.0,65,0.0,2.0,0.0,711667,223188.0
24,Joe Thornton,C,78,16,49,65,6.5,12,4,0,0,31,18,0,131,12.2,1437,18:25,24.0,39,535.0,405.0,56.9,6750000,7442934.0
25,Johnny Gaudreau,LW,80,24,40,64,7.8,16,8,0,4,27,13,0,167,14.4,1417,17:43,27.0,14,3.0,5.0,37.5,925000,478260.0
26,Patrick Kane,RW,61,27,37,64,8.8,21,6,0,5,21,16,0,186,14.5,1211,19:51,14.0,22,3.0,4.0,42.9,6300000,6904891.0
27,Alexander Steen,LW,74,24,40,64,7.7,16,8,0,5,24,16,0,223,10.8,1479,19:59,37.0,32,222.0,210.0,51.4,5800000,6307065.0
28,Mark Stone,RW,80,26,38,64,8.7,20,5,1,6,30,8,0,157,16.6,1362,17:01,53.0,49,7.0,11.0,38.9,603333,93659.0
29,Kyle Turris,C,82,24,40,64,7.4,19,4,1,6,28,12,0,215,11.2,1576,19:13,40.0,48,737.0,730.0,50.2,3500000,3557065.0
30,Jordan Eberle,RW,81,24,39,63,6.8,18,6,0,2,24,15,0,183,13.1,1542,19:03,36.0,62,1.0,5.0,16.7,6000000,6546195.0
31,Filip Forsberg,C,82,26,37,63,8.3,20,6,0,6,24,13,0,237,11.0,1421,17:20,28.0,108,3.0,4.0,42.9,894167,441395.0
32,Jaden Schwartz,LW,75,28,35,63,8.4,20,8,0,4,25,8,2,184,15.2,1368,18:15,46.0,53,69.0,77.0,47.3,2350000,2182065.0
33,Radim Vrbata,RW,79,31,32,63,8.6,19,12,0,7,21,11,0,267,11.6,1312,16:37,25.0,44,5.0,4.0,55.6,5000000,5350543.0
34,Jeff Carter,C,82,28,34,62,8.0,17,10,1,5,28,5,1,218,12.8,1474,17:58,32.0,74,602.0,577.0,51.1,5272727,5676630.0
35,Andrew Ladd,LW,81,24,38,62,7.4,15,9,0,6,27,10,1,224,10.7,1626,20:04,38.0,212,7.0,13.0,35.0,4400000,4633152.0
36,Sean Monahan,C,81,31,31,62,7.9,20,10,1,8,21,9,1,191,16.2,1589,19:37,42.0,39,902.0,917.0,49.6,925000,478260.0
37,Zach Parise,LW,74,33,29,62,9.4,22,11,0,3,24,5,0,259,12.7,1420,19:11,56.0,86,2.0,10.0,16.7,7538462,8385661.0
38,Mike Ribeiro,C,82,15,47,62,6.5,14,1,0,3,36,11,0,96,15.6,1537,18:45,19.0,42,582.0,766.0,43.2,1050000,627717.0
39,Jason Spezza,C,82,17,45,62,5.9,13,4,0,1,23,22,0,204,8.3,1412,17:13,26.0,16,682.0,580.0,54.0,7000000,7741847.0
40,Phil Kessel,RW,82,25,36,61,5.9,17,8,0,4,19,17,0,280,8.9,1541,18:48,13.0,18,2.0,3.0,40.0,8000000,8937500.0
41,Blake Wheeler,RW,79,26,35,61,8.4,20,2,4,6,24,10,1,244,10.7,1553,19:40,54.0,128,22.0,26.0,45.8,5600000,6067934.0
