Rk,Player,Age,Tm,Pos,GP,G,A,P,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
423,Andy Sutton,31,ATL,D,55,2,14,16,6,76,3.1,1,0,1,0,13,1,0,51,3.9,1070,19:28,suttoan01
424,Patrick Thoresen,23,EDM,LW,68,4,12,16,-1,52,0.9,3,0,1,2,10,2,0,73,5.5,777,11:25,thorepa01
425,Scottie Upshall,23,TOT,RW,32,8,8,16,3,26,1.7,6,1,1,4,6,2,0,87,9.2,472,14:45,upshasc01
426,Aaron Ward,34,TOT,D,80,4,12,16,-11,75,3.2,4,0,0,0,12,0,0,62,6.5,1614,20:11,wardaa01
427,Nils Ekman,30,PIT,RW,34,6,9,15,-14,24,0.7,4,2,0,0,5,4,0,69,8.7,469,13:49,ekmanni01
428,Andrew Ference,27,TOT,D,80,3,12,15,5,97,3.5,2,1,0,0,6,4,2,80,3.8,1580,19:45,ferenan01
429,Mark Giordano,23,CGY,D,48,7,8,15,7,36,3.2,4,3,0,2,6,2,0,49,14.3,645,13:27,giordma01
430,Marcus Nilson,28,CGY,LW,63,5,10,15,7,27,0.7,5,0,0,1,10,0,0,69,7.2,826,13:07,nilsoma01
431,Michael Peca,32,TOR,C,35,4,11,15,2,60,0.8,4,0,0,2,10,0,1,42,9.5,609,17:25,pecami01
432,Alexander Perezhogin,23,MTL,RW,61,6,9,15,11,48,1.4,5,1,0,1,9,0,0,103,5.8,723,11:51,perezal01
433,Toby Petersen,28,EDM,C,64,6,9,15,-18,4,0.2,4,0,2,1,8,1,0,92,6.5,875,13:40,peterto01
434,Cory Sarich,28,TBL,D,82,0,15,15,-6,70,2.5,0,0,0,0,14,0,1,64,0.0,1485,18:07,saricco01
435,Martin Škoula,27,MIN,D,81,0,15,15,9,36,4.9,0,0,0,0,14,1,0,91,0.0,1639,20:14,skoulma01
436,Daniel Tjärnqvist,30,EDM,D,37,3,12,15,3,30,3.5,1,2,0,0,7,4,1,33,9.1,840,22:42,tjarnda01
437,Craig Adams,29,CAR,RW,82,7,7,14,-9,54,0.4,6,0,1,1,6,0,1,71,9.9,826,10:04,adamscr01
438,Anton Babchuk,22,CAR,D,52,2,12,14,-6,30,2.0,2,0,0,2,8,3,1,63,3.2,906,17:26,babchan01
439,Peter Bondra,38,CHI,RW,37,5,9,14,2,26,1.3,3,2,0,3,8,1,0,46,10.9,445,12:01,bondrpe01
440,Francis Bouillon,31,MTL,D,62,3,11,14,-10,52,2.3,2,1,0,1,9,1,1,56,5.4,1135,18:19,bouilfr01
441,Chris Campoli,22,NYI,D,51,1,13,14,-3,23,1.8,1,0,0,0,9,4,0,41,2.4,756,14:50,campoch01
442,Todd Fedoruk,27,TOT,LW,58,3,11,14,-9,120,0.5,3,0,0,0,11,0,0,30,10.0,509,8:47,fedorto01
443,Andrew Hutchinson,26,CAR,D,41,3,11,14,0,30,2.2,1,2,0,0,5,6,0,45,6.7,501,12:13,hutchan01
444,Lasse Kukkonen,25,TOT,D,74,5,9,14,4,38,3.7,4,1,0,2,7,1,1,54,9.3,1266,17:06,kukkola01
445,Byron Ritchie,29,CGY,C,64,8,6,14,3,68,1.1,7,0,1,0,5,0,1,46,17.4,625,9:46,ritchby01
446,Henrik Tallinder,28,BUF,D,47,4,10,14,19,34,3.3,4,0,0,0,10,0,0,34,11.8,993,21:07,tallihe01
447,Petr Tenkrát,29,BOS,RW,64,9,5,14,-16,34,0.4,7,2,0,1,4,1,0,82,11.0,801,12:31,tenkrpe01
448,Bill Thomas,23,PHX,RW,24,8,6,14,-6,2,1.4,4,4,0,1,3,3,0,60,13.3,324,13:29,thomabi01
449,Fedor Tyutin,23,NYR,D,66,2,12,14,-8,44,2.7,0,1,1,0,10,1,1,75,2.7,1322,20:02,tyutife01
450,Brendan Witt,31,NYI,D,81,1,13,14,14,131,3.7,1,0,0,0,13,0,0,75,1.3,1753,21:39,wittbr01
451,Blair Betts,26,NYR,C,82,9,4,13,-4,24,0.1,7,1,1,0,4,0,0,120,7.5,1151,14:02,bettsbl01
452,Matt Bradley,28,WSH,RW,57,4,9,13,-5,47,0.3,4,0,0,0,8,0,1,77,5.2,679,11:55,bradlma01
453,Donald Brashear,35,WSH,LW,77,4,9,13,1,156,0.6,4,0,0,0,8,1,0,47,8.5,614,7:58,brashdo01
454,Stanislav Chistov,23,TOT,RW,61,5,8,13,-8,36,0.7,4,1,0,1,8,0,0,49,10.2,519,8:30,chistst01
455,Marcel Goc,23,SJS,C,78,5,8,13,-2,24,0.3,4,0,1,0,8,0,0,96,5.2,937,12:01,gocma01
456,Michael Holmqvist,27,CHI,C,63,6,7,13,-5,31,0.3,5,1,0,0,7,0,0,80,7.5,868,13:47,holmqmi01
457,Brad Larsen,29,ATL,LW,72,7,6,13,-11,39,0.0,5,0,2,0,5,0,1,61,11.5,891,12:22,larsebr01
458,Jamie Lundmark,26,TOT,C,68,7,6,13,-12,56,0.0,7,0,0,0,4,2,0,81,8.6,801,11:47,lundmja01
459,Shaone Morrisonn,24,WSH,D,78,3,10,13,3,106,2.9,3,0,0,0,9,0,1,46,6.5,1634,20:57,morrish01
460,Scott Nichol,32,NSH,C,59,7,6,13,7,79,0.9,5,1,1,2,5,1,0,58,12.1,740,12:32,nichosc01
461,Štefan Ružička,21,PHI,RW,40,3,10,13,-6,18,0.5,2,1,0,0,7,3,0,75,4.0,509,12:44,ruzicst01
462,Mark Smith,29,SJS,C,41,3,10,13,-4,42,0.8,1,2,0,0,8,2,0,38,7.9,427,10:25,smithma01
463,Scott Thornton,36,LAK,LW,58,7,6,13,-15,85,0.1,6,0,1,0,4,1,1,65,10.8,719,12:24,thornsc01
464,Mathias Tjärnqvist,27,TOT,LW,44,6,7,13,-5,6,0.8,5,0,1,0,7,0,0,44,13.6,552,12:33,tjarnma01
465,J.P. Vigier,30,ATL,RW,72,5,8,13,0,27,0.4,5,0,0,0,7,0,1,83,6.0,792,11:00,vigiejp01
466,Vitaly Vishnevski,26,TOT,D,67,3,10,13,-4,41,2.2,3,0,0,0,9,0,1,47,6.4,1154,17:13,vishnvi01
467,Glen Wesley,38,CAR,D,68,1,12,13,11,56,3.3,0,0,1,1,10,1,1,51,2.0,1060,15:35,weslegl01
468,Kevyn Adams,32,TOT,C,68,3,9,12,-20,25,-0.6,2,0,1,0,7,1,1,87,3.4,742,10:55,adamske01
469,Jeff Cowan,30,TOT,LW,63,7,5,12,3,125,1.2,6,0,1,0,5,0,0,74,9.5,507,8:02,cowanje01
470,Trevor Daley,23,DAL,D,74,4,8,12,2,63,4.4,4,0,0,1,6,2,0,68,5.9,1434,19:23,daleytr01
471,Dallas Drake,37,STL,RW,60,6,6,12,-14,38,-0.1,4,0,2,2,5,0,1,74,8.1,773,12:53,drakeda01
472,Adam Foote,35,CBJ,D,59,3,9,12,-17,71,2.2,1,2,0,0,4,5,0,78,3.8,1459,24:44,footead01
473,Jeff Friesen,30,CGY,LW,72,6,6,12,-2,34,0.0,5,0,1,0,4,1,1,55,10.9,877,12:11,friesje01
474,Mike Green,21,WSH,D,70,2,10,12,-10,36,1.3,2,0,0,0,4,6,0,68,2.9,1084,15:29,greenmi03
475,Shane Hnidy,31,ATL,D,72,5,7,12,15,63,3.8,4,0,1,1,7,0,0,86,5.8,1126,15:38,hnidysh01
476,Ric Jackman,28,TOT,D,31,2,10,12,0,20,1.9,1,1,0,1,5,5,0,36,5.6,425,13:42,jackmri01
477,Milan Jurčina,23,TOT,D,70,4,8,12,0,44,2.6,4,0,0,1,7,1,0,71,5.6,1122,16:02,jurcimi01
478,Maxim Lapierre,21,MTL,C,46,6,6,12,-7,24,0.7,5,0,1,2,6,0,0,82,7.3,525,11:25,lapiema01
479,Brad Lukowich,30,NJD,D,75,4,8,12,1,36,4.5,3,0,1,2,7,1,0,50,8.0,1517,20:13,lukowbr01
480,Josef Melichar,28,PIT,D,70,1,11,12,1,44,2.5,1,0,0,0,9,1,1,57,1.8,1317,18:49,melicjo01
481,Petr Nedvěd,35,TOT,C,40,2,10,12,-25,28,-0.5,1,1,0,0,6,4,0,39,5.1,592,14:47,nedvepe01
482,Ryan Potulny,22,PHI,C,35,7,5,12,1,22,1.3,7,0,0,2,4,1,0,56,12.5,385,11:00,potulry01
483,Mark Rycroft,28,COL,RW,66,6,6,12,3,31,0.8,6,0,0,2,6,0,0,74,8.1,622,9:25,rycroma01
484,Nick Schultz,24,MIN,D,82,2,10,12,0,42,4.2,2,0,0,1,10,0,0,69,2.9,1657,20:13,schulni01
485,Jerred Smithson,27,NSH,C,64,5,7,12,-8,42,0.0,3,1,1,2,7,0,0,47,10.6,707,11:03,smithje01
486,Todd Bertuzzi,31,TOT,RW,15,3,8,11,-1,19,1.0,2,1,0,0,4,4,0,23,13.0,240,16:00,bertuto01
487,Nick Boynton,28,PHX,D,59,2,9,11,-13,138,1.3,1,1,0,0,9,0,0,53,3.8,991,16:48,boyntni01
488,Patrice Brisebois,36,COL,D,33,1,10,11,-5,22,1.3,0,1,0,0,6,4,0,36,2.8,640,19:23,brisepa01
489,Chris Chelios*,45,DET,D,71,0,11,11,11,34,3.3,0,0,0,0,10,0,1,72,0.0,1287,18:08,chelich01
490,Braydon Coburn,21,TOT,D,49,3,8,11,-1,46,2.1,2,1,0,0,5,3,0,54,5.6,758,15:29,coburbr01
491,Ben Eager,23,PHI,LW,63,6,5,11,-13,233,0.3,6,0,0,0,5,0,0,48,12.5,519,8:14,eagerbe01
492,Ben Guite,28,COL,RW,39,3,8,11,-4,16,0.4,2,0,1,1,7,0,1,63,4.8,479,12:17,guitebe01
493,Doug Janik,26,TBL,D,75,2,9,11,-11,53,1.5,2,0,0,0,9,0,0,49,4.1,1085,14:28,janikdo01
494,Ryan Johnson,30,STL,C,59,7,4,11,-7,47,0.2,5,0,2,0,4,0,0,50,14.0,729,12:21,johnsry01
495,Andrei Kostitsyn,21,MTL,LW,22,1,10,11,3,6,0.9,1,0,0,0,9,1,0,38,2.6,292,13:17,kostian01
496,Adam Mair,27,BUF,C,82,2,9,11,-1,128,-0.2,2,0,0,0,9,0,0,73,2.7,619,7:33,mairad01
497,Kirk Maltby,34,DET,LW,82,6,5,11,-9,50,-0.5,6,0,0,0,5,0,0,113,5.3,1081,13:11,maltbki01
498,Willie Mitchell,29,VAN,D,62,1,10,11,1,45,3.4,1,0,0,0,9,0,1,54,1.9,1377,22:13,mitchwi01
499,Mattias Norström,35,TOT,D,76,2,9,11,-18,48,1.7,2,0,0,0,8,0,1,60,3.3,1562,20:33,norstma01
500,Johnny Oduya,25,NJD,D,76,2,9,11,-5,61,3.5,2,0,0,0,7,2,0,55,3.6,1407,18:31,oduyajo01
501,Jed Ortmeyer,28,NYR,RW,41,2,9,11,7,22,0.7,1,0,1,0,8,0,1,67,3.0,516,12:35,ortmeje01
502,Daniel Paille,22,BUF,LW,29,3,8,11,5,18,0.8,3,0,0,0,7,0,1,45,6.7,371,12:47,paillda01
503,Marc Pouliot,21,EDM,C,46,4,7,11,-2,18,0.6,4,0,0,0,6,1,0,73,5.5,600,13:03,poulima01
504,Rob Scuderi,28,PIT,D,78,1,10,11,3,28,2.6,1,0,0,0,9,0,1,31,3.2,1467,18:49,scudero01
505,Ryan Shannon,23,ANA,RW,53,2,9,11,-2,10,0.3,2,0,0,0,9,0,0,77,2.6,564,10:39,shannry01
506,Kārlis Skrastiņš,32,COL,D,68,0,11,11,0,30,2.1,0,0,0,0,11,0,0,65,0.0,1443,21:14,skraska01
507,Jason Smith,33,EDM,D,82,2,9,11,-13,103,3.3,2,0,0,1,9,0,0,61,3.3,1733,21:08,smithja01
508,Patrik Štefan,26,DAL,C,41,5,6,11,5,10,1.1,4,0,1,1,6,0,0,41,12.2,501,12:13,stefapa01
509,Andrew Alberts,25,BOS,D,76,0,10,10,-15,124,1.5,0,0,0,0,9,1,0,41,0.0,1495,19:40,alberan01
510,Shawn Bates,31,NYI,C,48,4,6,10,13,34,0.7,3,0,1,0,6,0,0,50,8.0,601,12:32,batessh01
511,Steve Bégin,28,MTL,LW,52,5,5,10,-6,46,0.3,5,0,0,0,3,0,2,64,7.8,619,11:55,beginst01
512,David Booth,22,FLA,LW,48,3,7,10,0,12,0.4,3,0,0,1,7,0,0,86,3.5,459,9:34,boothda01
513,Kevin Dallman,25,LAK,D,53,1,9,10,-13,12,0.8,1,0,0,0,6,3,0,76,1.3,678,12:48,dallmke01
514,Garnet Exelby,25,ATL,D,58,2,8,10,2,56,2.2,1,0,1,0,8,0,0,57,3.5,1044,18:00,exelbga01
515,Patrick Fischer,31,PHX,C,27,4,6,10,0,24,0.9,4,0,0,1,6,0,0,32,12.5,293,10:51,fischpa01
516,Matt Greene,23,EDM,D,78,1,9,10,-22,109,1.7,1,0,0,0,7,1,1,52,1.9,1373,17:36,greenma01
517,Bret Hedican,36,CAR,D,50,0,10,10,-8,36,1.4,0,0,0,0,6,4,0,44,0.0,998,19:58,hedicbr01
518,Dan Hinote,30,STL,RW,41,5,5,10,-8,23,0.2,5,0,0,1,3,0,2,37,13.5,536,13:04,hinotda01
519,Aaron Johnson,23,CBJ,D,61,3,7,10,-9,38,1.7,3,0,0,0,6,1,0,52,5.8,776,12:44,johnsaa01
520,Jakub Klepiš,22,WSH,C,41,3,7,10,-2,28,0.5,3,0,0,0,4,3,0,38,7.9,408,9:58,klepija01
521,Joel Kwiatkowski,29,TOT,D,42,5,5,10,-6,20,1.3,4,1,0,2,3,2,0,46,10.9,412,9:49,kwiatjo01
522,Erik Rasmussen,29,NJD,C,71,3,7,10,-3,25,0.3,3,0,0,0,7,0,0,80,3.8,672,9:28,rasmuer01
523,Ladislav Šmíd,20,EDM,D,77,3,7,10,-16,37,2.6,3,0,0,0,6,1,0,53,5.7,1481,19:14,smidla01
524,Niclas Wallin,31,CAR,D,67,2,8,10,-2,48,2.3,2,0,0,0,8,0,0,76,2.6,1242,18:33,wallini01
525,Rhett Warrener,31,CGY,D,62,4,6,10,6,67,2.5,2,1,1,1,5,0,1,31,12.9,1062,17:08,warrerh01
526,Duvie Westcott,29,CBJ,D,23,4,6,10,-13,18,1.1,2,2,0,1,2,4,0,34,11.8,509,22:09,westcdu01
527,James Wisniewski,22,CHI,D,50,2,8,10,3,39,2.6,2,0,0,0,7,1,0,55,3.6,950,19:00,wisnija01
528,Alexandre Burrows,25,VAN,LW,81,3,6,9,-7,93,-0.5,3,0,0,1,5,1,0,70,4.3,927,11:26,burroal01
529,Gregory Campbell,23,FLA,C,79,6,3,9,-10,66,-0.5,5,0,1,0,3,0,0,103,5.8,835,10:34,campbgr01
530,Derian Hatcher,34,PHI,D,82,3,6,9,-24,67,1.5,0,3,0,1,5,1,0,81,3.7,1941,23:40,hatchde01
531,Jan Hejda,28,EDM,D,39,1,8,9,-6,20,1.9,1,0,0,1,8,0,0,33,3.0,795,20:23,hejdaja01
532,Andreas Karlsson,31,TBL,C,53,3,6,9,-4,12,0.3,3,0,0,1,5,1,0,25,12.0,446,8:25,karlsan01
533,Steve Montador,27,FLA,D,72,1,8,9,1,119,1.7,1,0,0,0,7,1,0,88,1.1,946,13:08,montast01
534,Geoff Platt,21,CBJ,C,26,4,5,9,1,10,1.0,4,0,0,0,4,1,0,40,10.0,262,10:04,plattge01
535,Mike Rupp,27,NJD,RW,76,6,3,9,-10,92,0.4,6,0,0,1,2,1,0,60,10.0,490,6:27,ruppmi01
536,Jeff Tambellini,22,NYI,LW,23,2,7,9,6,6,1.0,2,0,0,0,7,0,0,20,10.0,166,7:14,tambeje01
537,Nick Tarnasky,22,TBL,C,77,5,4,9,-6,80,0.3,5,0,0,1,4,0,0,41,12.2,500,6:30,tarnani01
538,Shawn Thornton,29,ANA,LW,48,2,7,9,3,88,0.5,2,0,0,0,6,1,0,60,3.3,405,8:26,thornsh01
539,Jordin Tootoo,23,NSH,RW,65,3,6,9,-11,116,-0.3,3,0,0,0,6,0,0,77,3.9,546,8:24,tootojo01
540,Mike Weaver,28,LAK,D,39,3,6,9,-4,16,1.5,2,1,0,1,6,0,0,22,13.6,598,15:20,weavemi01
541,Brad Winchester,25,EDM,LW,59,4,5,9,-10,86,0.2,4,0,0,0,5,0,0,66,6.1,476,8:04,winchbr01
542,Cam Barker,20,CHI,D,35,1,7,8,-12,44,0.7,0,1,0,0,2,5,0,38,2.6,676,19:19,barkeca01
543,Mathieu Dandenault,30,MTL,D,68,2,6,8,-8,40,1.7,2,0,0,0,6,0,0,54,3.7,1096,16:07,dandema01
544,Joe DiPenta,27,ANA,D,76,2,6,8,1,48,2.2,2,0,0,1,6,0,0,33,6.1,924,12:09,dipenjo01
545,Jim Dowd,38,NJD,C,66,4,4,8,-5,20,0.3,3,0,1,1,3,0,1,44,9.1,547,8:17,dowdji01
546,Tomáš Fleischmann,22,WSH,C,29,4,4,8,-6,8,0.4,3,1,0,1,4,0,0,52,7.7,337,11:38,fleisto01
547,Denis Hamel,29,TOT,LW,53,5,3,8,0,10,0.7,5,0,0,0,3,0,0,42,11.9,322,6:05,hamelde01
548,Michal Handzuš,29,CHI,C,8,3,5,8,4,6,1.0,2,1,0,0,2,3,0,9,33.3,168,20:59,handzmi01
549,Raitis Ivanāns,28,LAK,LW,66,4,4,8,-12,140,-0.1,4,0,0,0,4,0,0,37,10.8,461,6:59,ivanara01
550,František Kaberle,33,CAR,D,27,2,6,8,8,20,2.1,1,1,0,1,4,2,0,33,6.1,419,15:32,kaberfr01
551,Trevor Letowski,29,CAR,RW,61,2,6,8,-8,18,-0.3,2,0,0,0,4,1,1,69,2.9,591,9:41,letowtr01
552,Freddy Meyer,26,TOT,D,60,2,6,8,-4,38,1.6,1,1,0,0,3,3,0,41,4.9,1048,17:28,meyerfr01
553,Aaron Miller,35,LAK,D,82,0,8,8,-14,60,1.4,0,0,0,0,7,0,1,56,0.0,1607,19:36,milleaa01
554,Joe Nieuwendyk*,40,FLA,C,15,5,3,8,-4,4,0.8,3,2,0,2,1,2,0,30,16.7,201,13:24,nieuwjo01
555,Lawrence Nycholat,27,TOT,D,19,2,6,8,-3,12,1.1,2,0,0,0,4,2,0,25,8.0,382,20:07,nychola01
556,Thomas Pöck,25,NYR,D,44,4,4,8,-4,16,1.8,4,0,0,0,2,2,0,76,5.3,714,16:14,pockth01
557,Nolan Pratt,31,TBL,D,81,1,7,8,0,44,2.2,1,0,0,0,6,0,1,30,3.3,1279,15:47,prattno01
558,Dave Scatchard,30,PHX,C,46,3,5,8,-18,72,-0.7,3,0,0,1,4,0,1,77,3.9,622,13:31,scatcda01
559,Dennis Seidenberg,25,TOT,D,52,2,6,8,-16,18,0.6,2,0,0,0,6,0,0,83,2.4,841,16:10,seidede01
560,Ossi Väänänen,26,COL,D,74,2,6,8,6,69,2.2,2,0,0,1,6,0,0,32,6.3,1060,14:20,vaanaos01
561,Colin White,29,NJD,D,69,0,8,8,-8,69,3.0,0,0,0,0,8,0,0,47,0.0,1550,22:28,whiteco01
562,Jason York,36,BOS,D,49,1,7,8,-14,32,0.6,1,0,0,0,6,0,1,27,3.7,641,13:04,yorkja01
563,Greg Zanon,26,NSH,D,66,3,5,8,16,32,3.3,3,0,0,0,5,0,0,43,7.0,1144,17:20,zanongr01
564,Matthew Barnaby,33,DAL,RW,39,1,6,7,5,127,0.6,1,0,0,0,6,0,0,22,4.5,317,8:07,barnama01
565,Brendan Bell,23,TOT,D,45,1,6,7,-11,27,0.4,0,1,0,0,5,1,0,47,2.1,616,13:41,bellbr02
566,Eric Boulton,30,ATL,LW,45,3,4,7,2,49,0.6,3,0,0,0,4,0,0,42,7.1,282,6:16,boulter01
567,Daniel Carcillo,22,PHX,LW,18,4,3,7,-7,74,0.4,1,3,0,0,3,0,0,32,12.5,269,14:56,carcida01
568,Jassen Cullimore,34,CHI,D,65,1,6,7,-6,64,1.5,1,0,0,0,6,0,0,17,5.9,1058,16:17,cullija01
569,John Erskine,26,WSH,D,29,1,6,7,-13,69,0.1,1,0,0,0,4,1,1,14,7.1,523,18:03,erskijo01
570,Rory Fitzpatrick,32,VAN,D,58,1,6,7,12,46,3.0,1,0,0,1,4,0,2,41,2.4,817,14:06,fitzpro02
571,Josh Green,29,VAN,C,57,2,5,7,0,25,-0.1,2,0,0,2,4,0,1,74,2.7,650,11:25,greenjo01
572,Matt Jones,23,PHX,D,45,1,6,7,-12,39,0.6,1,0,0,0,5,0,1,20,5.0,737,16:23,jonesma01
573,John LeClair,37,PIT,LW,21,2,5,7,-2,12,0.4,1,1,0,0,5,0,0,27,7.4,249,11:51,leclajo01
574,Clarke MacArthur,21,BUF,LW,19,3,4,7,4,4,0.8,3,0,0,0,4,0,0,16,18.8,169,8:54,macarcl01
575,Bryan Muir,33,WSH,D,26,3,4,7,3,42,1.5,3,0,0,1,2,2,0,28,10.7,380,14:37,muirbr01
576,Bryce Salvador,30,STL,D,64,2,5,7,-5,55,1.5,2,0,0,0,5,0,0,40,5.0,1263,19:44,salvabr01
577,Pierre Turgeon,37,COL,C,17,4,3,7,-1,10,0.8,3,1,0,0,1,2,0,31,12.9,173,10:10,turgepi01
578,Jim Vandermeer,26,CHI,D,46,1,6,7,-3,53,1.5,1,0,0,0,5,1,0,50,2.0,820,17:50,vandeji01
579,Jeff Woywitka,23,STL,D,34,1,6,7,4,12,1.5,1,0,0,0,6,0,0,28,3.6,502,14:45,woywije01
580,Ryan Callahan,21,NYR,RW,14,4,2,6,5,9,1.0,4,0,0,1,2,0,0,40,10.0,147,10:31,callary01
581,Bruno Gervais,22,NYI,D,51,0,6,6,-10,28,0.3,0,0,0,0,3,3,0,47,0.0,784,15:23,gervabr01
582,Tom Gilbert,24,EDM,D,12,1,5,6,-1,0,1.1,1,0,0,0,4,1,0,13,7.7,241,20:05,gilbeto01
583,Dan Girardi,22,NYR,D,34,0,6,6,7,8,1.9,0,0,0,0,5,0,1,33,0.0,538,15:50,girarda01
584,Tim Gleason,24,CAR,D,57,2,4,6,-10,57,1.1,1,1,0,0,2,1,1,72,2.8,1076,18:53,gleasti01
585,Andy Greene,24,NJD,D,23,1,5,6,-1,6,1.2,0,1,0,0,4,1,0,23,4.3,328,14:15,greenan01
586,Jarkko Immonen,24,NYR,C,14,1,5,6,-2,4,0.4,1,0,0,1,3,2,0,14,7.1,145,10:22,immonja01
587,Jason Krog,31,TOT,C,23,3,3,6,5,10,0.6,3,0,0,1,3,0,0,22,13.6,285,12:24,krogja01
588,Joel Lundqvist,24,DAL,C,36,3,3,6,-5,14,0.2,3,0,0,0,3,0,0,36,8.3,408,11:20,lundqjo01
589,Brooks Orpik,26,PIT,D,70,0,6,6,4,82,1.9,0,0,0,0,4,2,0,59,0.0,1163,16:37,orpikbr01
590,Ronald Petrovický,29,PIT,RW,31,3,3,6,4,28,0.6,3,0,0,1,3,0,0,27,11.1,259,8:20,petroro02
591,Tommi Santala,27,VAN,C,30,1,5,6,0,24,0.4,1,0,0,0,5,0,0,20,5.0,221,7:22,santato01
592,Kurt Sauer,26,COL,D,48,0,6,6,-3,24,1.0,0,0,0,0,5,0,1,29,0.0,880,18:20,sauerku01
593,Wyatt Smith,29,MIN,C,61,3,3,6,-8,16,-0.3,2,1,0,0,3,0,0,44,6.8,580,9:31,smithwy01
594,Jeff Taffe,25,PHX,LW,17,4,2,6,-7,2,0.3,3,1,0,0,0,2,0,34,11.8,241,14:12,taffeje01
595,Tim Taylor,37,TBL,C,71,1,5,6,-5,16,-0.5,1,0,0,1,5,0,0,59,1.7,562,7:55,tayloti01
596,Andrei Zyuzin,29,CGY,D,49,1,5,6,-2,30,0.9,1,0,0,0,5,0,0,36,2.8,677,13:49,zyuzian01
597,Ramzi Abid,26,NSH,LW,13,1,4,5,-3,13,0.2,1,0,0,0,4,0,0,12,8.3,141,10:51,abidra01
598,Krys Barch,26,DAL,RW,26,3,2,5,2,107,0.7,3,0,0,2,2,0,0,12,25.0,147,5:38,barchkr01
599,Jeff Finger,27,COL,D,22,1,4,5,10,11,1.6,1,0,0,0,4,0,0,16,6.3,304,13:48,fingeje01
600,Brad Isbister,29,NYR,LW,19,1,4,5,5,14,0.4,0,1,0,0,4,0,0,36,2.8,259,13:36,isbisbr01
601,Petr Kalus,19,BOS,RW,9,4,1,5,0,6,0.8,3,1,0,0,1,0,0,8,50.0,101,11:16,kaluspe01
602,Jordan Leopold,26,COL,D,15,2,3,5,-4,14,0.6,0,1,1,0,3,0,0,19,10.5,297,19:47,leopojo01
603,Andreas Lilja,31,DET,D,57,0,5,5,6,54,1.9,0,0,0,0,5,0,0,37,0.0,878,15:25,liljaan01
604,Craig MacDonald,29,CHI,C,25,3,2,5,-2,14,0.3,2,0,1,0,2,0,0,30,10.0,280,11:12,macdocr01
605,Alain Nasreddine,31,PIT,D,44,1,4,5,12,18,2.1,1,0,0,0,4,0,0,29,3.4,694,15:47,nasreal01
606,Michael Ryan,26,BUF,C,19,3,2,5,-8,2,-0.1,2,0,1,0,2,0,0,34,8.8,260,13:40,ryanmi01
607,Alexei Semenov,25,FLA,D,23,0,5,5,9,28,1.4,0,0,0,0,4,1,0,23,0.0,285,12:22,semenal01
608,Karl Stewart,23,TOT,LW,47,2,3,5,-5,47,-0.2,1,0,1,0,3,0,0,21,9.5,407,8:40,stewaka01
609,Chris Thorburn,23,PIT,C,39,3,2,5,1,69,0.3,3,0,0,1,2,0,0,40,7.5,308,7:54,thorbch01
610,Ole-Kristian Tollefsen,22,CBJ,D,70,2,3,5,2,123,2.3,1,1,0,0,3,0,0,39,5.1,996,14:14,tolleol01
611,Matt Walker,26,STL,D,48,0,5,5,7,72,1.6,0,0,0,0,5,0,0,34,0.0,732,15:15,walkema01
612,Dustin Boyd,20,CGY,C,13,2,2,4,5,4,0.6,2,0,0,1,2,0,0,8,25.0,132,10:09,boyddu01
613,Marc Chouinard,29,VAN,C,42,2,2,4,-2,10,-0.1,1,1,0,0,2,0,0,15,13.3,396,9:26,chouima01
614,David Clarkson,22,NJD,RW,7,3,1,4,-1,6,0.5,1,2,0,1,1,0,0,18,16.7,119,17:02,clarkda03
615,Denis Gauthier,30,PHI,D,43,0,4,4,-11,45,0.3,0,0,0,0,2,0,2,23,0.0,716,16:39,gauthde01
616,Alexandre Giroux,25,WSH,C,9,2,2,4,-4,2,0.3,2,0,0,0,1,1,0,11,18.2,92,10:11,giroual01
617,Josh Gorges,22,TOT,D,54,1,3,4,-4,26,1.5,1,0,0,0,1,2,0,40,2.5,924,17:06,gorgejo01
618,Darcy Hordichuk,26,NSH,LW,53,1,3,4,-2,90,-0.1,1,0,0,0,3,0,0,22,4.5,255,4:48,hordida01
619,Darius Kasparaitis,34,NYR,D,24,2,2,4,-1,30,1.0,2,0,0,0,2,0,0,9,22.2,357,14:52,kaspada01
620,Antti Laaksonen,33,COL,LW,41,3,1,4,-3,16,-0.2,2,0,1,0,1,0,0,43,7.0,438,10:41,laaksan01
621,Brad May,35,TOT,LW,24,0,4,4,-1,21,-0.1,0,0,0,0,4,0,0,22,0.0,236,9:50,maybr01
622,Marc Methot,21,CBJ,D,20,0,4,4,5,12,1.2,0,0,0,0,4,0,0,11,0.0,293,14:38,methoma01
623,Kris Newbury,24,TOR,C,15,2,2,4,4,26,0.5,2,0,0,0,2,0,0,30,6.7,115,7:42,newbukr01
624,Steve Ott,24,DAL,C,19,0,4,4,-4,35,0.0,0,0,0,0,3,1,0,17,0.0,175,9:11,ottst01
625,Konstantin Pushkarev,21,LAK,RW,16,2,2,4,-2,8,0.3,2,0,0,0,2,0,0,10,20.0,147,9:10,pushkko01
626,Jamie Rivers,31,STL,D,31,1,3,4,-7,36,0.3,0,1,0,0,2,0,1,17,5.9,440,14:11,riverja01
627,Peter Sejna,27,STL,LW,22,3,1,4,2,4,0.4,3,0,0,0,1,0,0,34,8.8,220,10:00,sejnape01
