Rk,Player,Age,Tm,Pos,GP,G,A,P,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
302,Bryan Allen,26,FLA,D,82,4,21,25,7,112,4.6,4,0,0,0,18,2,1,99,4.0,1771,21:36,allenbr01
303,Stu Barnes,36,DAL,C,82,13,12,25,-2,40,2.0,12,1,0,2,11,0,1,118,11.0,1320,16:06,barnest01
304,Brent Burns,21,MIN,D,77,7,18,25,16,26,6.6,4,3,0,3,13,4,1,108,6.5,1216,15:48,burnsbr01
305,Jeff Halpern,30,DAL,C,76,8,17,25,-7,78,1.3,7,1,0,4,14,3,0,106,7.5,1277,16:48,halpeje01
306,Sean Hill,36,NYI,D,81,1,24,25,6,110,4.3,1,0,0,0,12,12,0,88,1.1,1826,22:33,hillse01
307,Jiří Hudler,23,DET,C,76,15,10,25,16,36,3.4,12,3,0,4,8,2,0,107,14.0,763,10:02,hudleji01
308,Sami Kapanen,33,PHI,RW,77,11,14,25,-21,22,0.6,8,1,2,1,11,1,2,129,8.5,1307,16:58,kapansa01
309,Juraj Kolník,26,FLA,RW,64,11,14,25,2,18,2.3,11,0,0,1,12,2,0,113,9.7,774,12:05,kolniju01
310,Trevor Linden,36,VAN,C,80,12,13,25,-6,34,2.0,7,5,0,1,11,2,0,92,13.0,987,12:20,lindetr01
311,Manny Malhotra,26,CBJ,C,82,9,16,25,-8,76,1.2,7,2,0,3,16,0,0,109,8.3,1214,14:48,malhoma01
312,Antti Miettinen,26,DAL,RW,74,11,14,25,-5,38,2.0,5,6,0,1,12,2,0,141,7.8,1060,14:20,miettan01
313,Derek Morris,28,PHX,D,82,6,19,25,-18,115,3.4,4,2,0,1,9,10,0,129,4.7,1680,20:29,morride01
314,Christoph Schubert,24,OTT,D,80,8,17,25,30,56,6.0,7,1,0,1,16,1,0,97,8.2,898,11:13,schubch01
315,Dennis Wideman,23,TOT,D,75,6,19,25,-10,71,3.7,2,4,0,1,8,11,0,122,4.9,1458,19:26,widemde01
316,Brandon Bochenski,24,TOT,RW,41,13,11,24,1,16,2.9,10,3,0,2,9,2,0,92,14.1,564,13:46,bochebr01
317,Greg de Vries,34,ATL,D,82,3,21,24,-3,66,3.9,3,0,0,0,12,9,0,102,2.9,1824,22:14,devrigr01
318,Scott Hannan,28,SJS,D,79,4,20,24,1,38,5.6,3,0,1,1,15,5,0,79,5.1,1803,22:49,hannasc01
319,Jamie Heward,35,TOT,D,71,6,18,24,2,47,4.2,3,3,0,1,10,7,1,75,8.0,1226,17:16,hewarja01
320,Martin Lapointe,33,CHI,RW,82,13,11,24,-14,98,1.3,7,5,1,2,10,1,0,102,12.7,1147,13:59,lapoima01
321,Georges Laraque,30,TOT,RW,73,5,19,24,4,70,1.9,4,1,0,0,17,2,0,44,11.4,705,9:39,laraqge01
322,Nathan Paetsch,23,BUF,D,63,2,22,24,10,50,3.4,2,0,0,0,13,9,0,62,3.2,961,15:15,paetsna01
323,Branko Radivojevič,26,MIN,RW,82,11,13,24,-9,21,1.7,7,4,0,3,9,4,0,116,9.5,1064,12:59,radivbr01
324,Craig Rivet,32,TOT,D,71,7,17,24,1,69,5.2,5,2,0,0,7,9,1,89,7.9,1537,21:39,rivetcr01
325,Brent Seabrook,21,CHI,D,81,4,20,24,-6,104,4.3,4,0,0,0,14,4,2,144,2.8,1683,20:46,seabrbr01
