,PLAYER,Pos,GP,G,A,PTS,PS,EV,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CAP HIT,exchange cap
0,Steven Stamkos,C,48,29,28,57,7.1,19,10,0,2,20,8,0,157,18.5,1057,22:01,17,63,406,413,49.6,7500000,9590625.0
1,Sidney Crosby,C,36,15,41,56,7.5,12,3,0,1,27,14,0,124,12.1,760,21:06,18,21,453,381,54.3,8700000,11240625.0
2,Alex Ovechkin,RW,48,32,24,56,8.0,16,16,0,4,13,11,0,220,14.5,1002,20:53,18,120,0,1,0.0,9538462,12393510.0
3,Patrick Kane,RW,47,23,32,55,7.6,15,8,0,3,23,9,0,138,16.7,943,20:03,9,11,2,8,20.0,6300000,7940625.0
4,Eric Staal,C,48,18,35,53,6.4,14,3,1,4,29,6,0,152,11.8,1008,21:00,24,35,527,487,52.0,8250000,10621875.0
5,Phil Kessel,RW,48,20,32,52,6.2,14,6,0,4,17,15,0,161,12.4,951,19:49,23,16,5,3,62.5,5400000,6703125.0
6,Chris Kunitz,LW,48,22,30,52,7.8,13,9,0,5,23,7,0,113,19.5,865,18:01,13,104,4,5,44.4,3725000,4400000.0
7,Taylor Hall,LW,45,16,34,50,6.1,12,4,0,4,24,10,0,154,10.4,838,18:37,20,24,29,24,54.7,900000,515625.0
8,Pavel Datsyuk,C,47,15,34,49,6.5,7,8,0,6,23,8,3,107,14.0,949,20:11,30,31,488,399,55.0,6700000,8490625.0
9,Ryan Getzlaf,C,44,15,34,49,6.1,8,4,3,3,23,11,0,99,15.2,889,20:12,42,89,355,384,48.0,5325000,6600000.0
10,Mike Ribeiro,C,48,13,36,49,5.1,7,6,0,1,15,21,0,63,20.6,856,17:50,29,55,226,279,44.8,5000000,6153125.0
11,Nicklas Bäckström,C,48,8,40,48,4.8,5,3,0,1,25,15,0,82,9.8,955,19:54,35,31,432,408,51.4,6700000,8490625.0
12,Claude Giroux,RW,48,13,35,48,5.0,6,6,1,2,20,15,0,137,9.5,1016,21:10,29,57,644,538,54.5,3750000,4434375.0
13,Jonathan Toews,C,47,23,25,48,7.6,19,2,2,5,20,4,1,143,16.1,909,19:21,16,24,559,374,59.9,6300000,7940625.0
14,Henrik Zetterberg,C,46,11,37,48,5.2,5,4,2,5,18,19,0,173,6.4,944,20:31,10,20,263,281,48.3,6083333,7642707.0
15,John Tavares,C,48,28,19,47,6.6,19,9,0,5,12,7,0,162,17.3,997,20:46,22,33,459,471,49.4,5500000,6840625.0
16,Andrew Ladd,LW,48,18,28,46,5.9,15,3,0,4,25,3,0,121,14.9,945,19:41,26,98,29,25,53.7,4400000,5328125.0
17,Nazem Kadri,C,48,18,26,44,6.2,13,5,0,1,23,3,0,107,16.8,771,16:03,22,62,250,315,44.2,870000,474375.0
18,Matt Moulson,LW,47,15,29,44,4.9,7,8,0,0,22,7,0,154,9.7,900,19:09,28,24,1,0,100.0,3133333,3586457.0
19,Alexander Semin,LW,44,13,31,44,5.4,9,4,0,1,25,5,1,150,8.7,921,20:57,21,14,5,16,23.8,7000000,8903125.0
20,Derek Stepan,C,48,18,26,44,6.5,13,4,1,6,17,6,3,108,16.7,1004,20:55,28,52,448,529,45.9,820833,406770.0
21,Matt Duchene,C,47,17,26,43,4.5,15,2,0,3,18,7,1,132,12.9,983,20:55,47,48,488,405,54.6,3500000,4090625.0
22,Rick Nash,LW,44,21,21,42,6.4,17,3,1,3,15,6,0,176,11.9,879,19:58,25,46,5,7,41.7,7800000,10003125.0
23,Thomas Vanek,LW,38,20,21,41,5.5,10,9,1,2,16,5,0,119,16.8,699,18:24,4,13,8,4,66.7,7142857,9099553.0
24,Blake Wheeler,RW,48,19,22,41,5.0,17,2,0,2,17,5,0,129,14.7,902,18:48,39,90,4,14,22.2,2550000,2784375.0
25,Joe Thornton,C,48,7,33,40,4.4,5,2,0,1,14,19,0,85,8.2,882,18:23,21,23,410,291,58.5,7000000,8903125.0
26,Max Pacioretty,LW,44,15,24,39,4.9,11,4,0,0,16,8,0,163,9.2,726,16:31,16,59,2,5,28.6,1625000,1512500.0
27,Pascal Dupuis,LW,48,20,18,38,6.1,17,2,1,2,17,1,0,140,14.3,840,17:30,36,83,27,30,47.4,1500000,1340625.0
28,Sam Gagner,C,48,14,24,38,4.0,10,4,0,1,11,11,2,113,12.4,932,19:25,22,35,325,416,43.9,3200000,3678125.0
29,Kris Letang,D,35,5,33,38,6.3,4,1,0,1,21,12,0,95,5.3,897,25:38,59,45,0,0,,3500000,4090625.0
