Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
1,Martin St. Louis*,37,TBL,RW,48,17,43,60,0,14,6.3,14,3,0,2,26,17,0,112,15.2,1055,21:59,32,23,12,16,42.9,stlouma01
2,Steven Stamkos,22,TBL,C,48,29,28,57,-4,32,7.1,19,10,0,2,20,8,0,157,18.5,1057,22:01,17,63,406,413,49.6,stamkst01
3,Sidney Crosby,25,PIT,C,36,15,41,56,26,16,7.5,12,3,0,1,27,14,0,124,12.1,760,21:06,18,21,453,381,54.3,crosbsi01
4,Alex Ovechkin,27,WSH,RW,48,32,24,56,2,36,8.0,16,16,0,4,13,11,0,220,14.5,1002,20:53,18,120,0,1,0.0,ovechal01
5,Patrick Kane,24,CHI,RW,47,23,32,55,11,8,7.6,15,8,0,3,23,9,0,138,16.7,943,20:03,9,11,2,8,20.0,kanepa01
6,Eric Staal,28,CAR,C,48,18,35,53,5,54,6.4,14,3,1,4,29,6,0,152,11.8,1008,21:00,24,35,527,487,52.0,staaler01
7,Phil Kessel,25,TOR,RW,48,20,32,52,-3,18,6.2,14,6,0,4,17,15,0,161,12.4,951,19:49,23,16,5,3,62.5,kesseph01
8,Chris Kunitz,33,PIT,LW,48,22,30,52,30,39,7.8,13,9,0,5,23,7,0,113,19.5,865,18:01,13,104,4,5,44.4,kunitch01
9,Taylor Hall,21,EDM,LW,45,16,34,50,5,33,6.1,12,4,0,4,24,10,0,154,10.4,838,18:37,20,24,29,24,54.7,hallta02
10,Pavel Datsyuk,34,DET,C,47,15,34,49,21,14,6.5,7,8,0,6,23,8,3,107,14.0,949,20:11,30,31,488,399,55.0,datsypa01
11,Ryan Getzlaf,27,ANA,C,44,15,34,49,14,41,6.1,8,4,3,3,23,11,0,99,15.2,889,20:12,42,89,355,384,48.0,getzlry01
12,Mike Ribeiro,32,WSH,C,48,13,36,49,-4,53,5.1,7,6,0,1,15,21,0,63,20.6,856,17:50,29,55,226,279,44.8,ribeimi01
13,Nicklas Bäckström,25,WSH,C,48,8,40,48,8,20,4.8,5,3,0,1,25,15,0,82,9.8,955,19:54,35,31,432,408,51.4,backsni02
14,Claude Giroux,25,PHI,RW,48,13,35,48,-7,22,5.0,6,6,1,2,20,15,0,137,9.5,1016,21:10,29,57,644,538,54.5,giroucl01
15,Jonathan Toews,24,CHI,C,47,23,25,48,28,27,7.6,19,2,2,5,20,4,1,143,16.1,909,19:21,16,24,559,374,59.9,toewsjo01
16,Henrik Zetterberg,32,DET,C,46,11,37,48,2,18,5.2,5,4,2,5,18,19,0,173,6.4,944,20:31,10,20,263,281,48.3,zettehe01
17,John Tavares,22,NYI,C,48,28,19,47,-2,18,6.6,19,9,0,5,12,7,0,162,17.3,997,20:46,22,33,459,471,49.4,tavarjo01
18,Andrew Ladd,27,WPG,LW,48,18,28,46,10,22,5.9,15,3,0,4,25,3,0,121,14.9,945,19:41,26,98,29,25,53.7,laddan01
19,Jakub Voráček,23,PHI,RW,48,22,24,46,-7,35,6.1,14,8,0,3,15,9,0,129,17.1,827,17:14,12,20,2,3,40.0,voracja01
20,Henrik Sedin*,32,VAN,C,48,11,34,45,19,24,5.6,9,1,1,1,22,12,0,70,15.7,929,19:21,9,22,440,451,49.4,sedinhe01
21,Nazem Kadri,22,TOR,C,48,18,26,44,15,23,6.2,13,5,0,1,23,3,0,107,16.8,771,16:03,22,62,250,315,44.2,kadrina01
22,Matt Moulson,29,NYI,LW,47,15,29,44,-3,4,4.9,7,8,0,0,22,7,0,154,9.7,900,19:09,28,24,1,0,100.0,moulsma01
23,Alexander Semin,28,CAR,LW,44,13,31,44,14,46,5.4,9,4,0,1,25,5,1,150,8.7,921,20:57,21,14,5,16,23.8,seminal01
24,Derek Stepan,22,NYR,C,48,18,26,44,25,12,6.5,13,4,1,6,17,6,3,108,16.7,1004,20:55,28,52,448,529,45.9,stepade01
25,Matt Duchene,22,COL,C,47,17,26,43,-12,12,4.5,15,2,0,3,18,7,1,132,12.9,983,20:55,47,48,488,405,54.6,duchema01
26,P.A. Parenteau,29,COL,LW,48,18,25,43,-11,38,4.8,12,6,0,1,18,7,0,105,17.1,919,19:09,14,50,1,12,7.7,parenpi01
27,Anže Kopitar,25,LAK,C,47,10,32,42,14,16,4.8,10,0,0,1,16,16,0,98,10.2,963,20:29,25,70,473,415,53.3,kopitan01
28,Rick Nash,28,NYR,LW,44,21,21,42,16,26,6.4,17,3,1,3,15,6,0,176,11.9,879,19:58,25,46,5,7,41.7,nashri01
29,Thomas Vanek,29,BUF,LW,38,20,21,41,-1,20,5.5,10,9,1,2,16,5,0,119,16.8,699,18:24,4,13,8,4,66.7,vanekth01
30,Blake Wheeler,26,WPG,RW,48,19,22,41,-3,28,5.0,17,2,0,2,17,5,0,129,14.7,902,18:48,39,90,4,14,22.2,wheelbl01
31,Daniel Sedin*,32,VAN,LW,47,12,28,40,12,18,4.9,9,3,0,3,19,9,0,138,8.7,894,19:01,7,15,3,4,42.9,sedinda01
32,Joe Thornton,33,SJS,C,48,7,33,40,6,26,4.4,5,2,0,1,14,19,0,85,8.2,882,18:23,21,23,410,291,58.5,thornjo01
33,Max Pacioretty,24,MTL,LW,44,15,24,39,8,28,4.9,11,4,0,0,16,8,0,163,9.2,726,16:31,16,59,2,5,28.6,pacioma01
34,Pascal Dupuis,33,PIT,LW,48,20,18,38,31,26,6.1,17,2,1,2,17,1,0,140,14.3,840,17:30,36,83,27,30,47.4,dupuipa01
35,Sam Gagner,23,EDM,C,48,14,24,38,-6,23,4.0,10,4,0,1,11,11,2,113,12.4,932,19:25,22,35,325,416,43.9,gagnesa01
36,Kris Letang,25,PIT,D,35,5,33,38,16,8,6.3,4,1,0,1,21,12,0,95,5.3,897,25:38,59,45,0,0,,letankr01
37,Zach Parise,28,MIN,C,48,18,20,38,2,16,4.8,11,7,0,4,14,6,0,182,9.9,992,20:40,41,59,3,6,33.3,parisza01
38,P.K. Subban,23,MTL,D,42,11,27,38,12,57,7.1,4,7,0,0,8,19,0,126,8.7,976,23:15,49,51,0,0,,subbapk01
39,Jiří Tlustý,24,CAR,C,48,23,15,38,15,18,5.9,19,4,0,3,11,4,0,117,19.7,876,18:15,41,53,3,15,16.7,tlustji01
40,Logan Couture,23,SJS,C,48,21,16,37,7,4,5.7,14,7,0,5,10,5,1,151,13.9,869,18:06,51,32,252,237,51.5,coutulo01
41,Jordan Eberle,22,EDM,C,48,16,21,37,-4,16,4.2,13,3,0,3,15,6,0,133,12.0,912,19:00,16,31,8,11,42.1,eberljo01
42,Mikko Koivu,29,MIN,C,48,11,26,37,2,26,3.8,11,0,0,3,13,13,0,127,8.7,1013,21:06,18,47,524,447,54.0,koivumi01
43,Patrik Eliáš,36,NJD,LW,48,14,22,36,5,22,4.8,8,5,1,0,13,9,0,118,11.9,899,18:43,14,20,71,92,43.6,eliaspa01
