,PLAYER,Pos,GP,G,A,PTS,PS,EV,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CAP HIT,exchange cap
0,Evgeni Malkin,C,82,35,78,113,12.6,19,14,2,4,51,27,0,290,12.1,1846,22:31,39,80,283,385,42.4,984200,740899.0
1,Alex Ovechkin,LW,79,56,54,110,14.5,36,19,1,10,27,27,0,528,10.6,1817,23:00,32,243,8,24,25.0,9538462,13187576.0
2,Sidney Crosby,C,77,33,70,103,11.1,26,7,0,3,36,33,1,238,13.9,1690,21:57,42,80,829,786,51.3,8700000,11967592.0
3,Pavel Datsyuk,C,81,32,65,97,11.5,20,11,1,3,39,25,1,248,12.9,1556,19:13,33,75,621,489,55.9,6700000,9057539.0
4,Zach Parise,LW,82,45,49,94,12.8,31,14,0,8,30,16,3,364,12.4,1538,18:45,17,65,54,66,45.0,3125000,3855820.0
5,Ryan Getzlaf,C,81,25,66,91,9.2,16,9,0,2,38,28,0,227,11.0,1631,20:08,43,134,566,562,50.2,5325000,7056878.0
6,Ilya Kovalchuk,LW,79,43,48,91,10.3,31,12,0,6,23,24,1,275,15.6,1723,21:48,15,43,5,9,35.7,6400000,8621031.0
7,Nicklas Bäckström,C,82,22,66,88,9.2,8,14,0,1,38,28,0,174,12.6,1635,19:57,46,52,570,601,48.7,850000,545634.0
8,Marc Savard,C,82,25,63,88,9.8,16,9,0,5,40,21,2,213,11.7,1602,19:32,19,24,635,641,49.8,5000000,6583994.0
9,Joe Thornton,C,82,25,61,86,9.5,14,11,0,3,37,24,0,139,18.0,1596,19:28,24,81,718,577,55.4,7200000,9785052.0
10,Jeff Carter,C,82,46,38,84,11.7,29,13,4,12,27,11,0,342,13.5,1718,20:57,53,54,833,892,48.3,5000000,6583994.0
11,Mike Cammalleri,LW,81,39,43,82,9.8,20,19,0,6,28,15,0,255,15.3,1422,17:33,18,21,217,143,60.3,3350000,4183201.0
12,Mike Richards,C,79,30,50,80,9.4,15,8,7,4,23,25,2,238,12.6,1717,21:44,90,147,813,847,49.0,5750000,7675264.0
