,PLAYER,Pos,GP,G,A,PTS,PS,EV,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CAP HIT,exchange cap
0,Patrick Kane,RW,82,46,60,106,15.0,29,17,0,9,40,20,0,287,16.0,1674,20:25,21,37,11,40,21.6,10500000,11467962.0
1,Jamie Benn,LW,82,41,48,89,12.1,22,17,2,5,32,13,3,247,16.6,1642,20:01,55,156,226,252,47.3,5250000,5401785.0
2,Sidney Crosby,C,80,36,49,85,11.5,26,10,0,9,35,14,0,248,14.5,1638,20:28,35,90,986,921,51.7,8700000,9388130.0
3,Erik Karlsson,D,82,16,66,82,11.7,15,1,0,3,41,25,0,248,6.5,2375,28:58,175,84,0,1,0.0,6500000,6846113.0
5,Joe Thornton,C,82,19,63,82,10.0,11,8,0,6,42,21,0,121,15.7,1506,18:22,30,48,399,353,53.1,6750000,7134978.0
6,Johnny Gaudreau,LW,79,30,48,78,9.2,24,6,0,6,33,15,0,217,13.8,1575,19:56,10,26,2,3,40.0,925000,404411.0
7,Joe Pavelski,C,82,38,40,78,11.5,26,12,0,11,24,16,0,224,17.0,1625,19:49,67,147,516,422,55.0,6000000,6268382.0
8,Blake Wheeler,RW,82,26,52,78,9.4,21,3,2,5,36,14,2,256,10.2,1623,19:47,56,92,10,18,35.7,5600000,5806197.0
9,Evgeny Kuznetsov,C,82,20,57,77,9.6,15,5,0,4,44,13,0,193,10.4,1428,17:25,29,73,543,594,47.8,3000000,2801995.0
10,Artemi Panarin,LW,80,30,47,77,9.8,22,8,0,7,31,16,0,187,16.0,1482,18:31,14,46,0,0,,812500,274422.0
11,Brent Burns,D,82,27,48,75,12.9,19,7,1,4,24,23,1,353,7.6,2121,25:52,145,101,1,0,100.0,5760000,5991071.0
12,Vladimir Tarasenko,RW,80,40,34,74,10.8,28,12,0,7,22,12,0,292,13.7,1491,18:38,28,32,0,1,0.0,7500000,8001575.0
13,Tyler Seguin,C,72,33,40,73,9.6,26,7,0,6,23,17,0,278,11.9,1400,19:27,27,80,470,376,55.6,5750000,5979516.0
14,Alex Ovechkin,LW,79,50,21,71,11.7,31,19,0,8,16,5,0,398,12.6,1604,20:19,34,225,0,0,,9538462,10356941.0
15,Nicklas Bäckström,C,75,20,50,70,8.3,17,3,0,4,23,27,0,129,15.5,1439,19:11,50,51,659,698,48.6,6700000,7077205.0
16,John Tavares,C,78,33,37,70,9.3,26,7,0,5,25,12,0,250,13.2,1560,20:00,29,51,741,629,54.1,5500000,5690651.0
17,Patrice Bergeron,C,80,32,36,68,9.0,19,12,1,6,21,13,2,282,11.3,1587,19:50,56,77,1130,848,57.1,6875000,7279411.0
18,Claude Giroux,C,78,22,45,67,6.9,15,6,1,5,23,21,1,241,9.1,1603,20:33,36,83,1083,798,57.6,8275000,8897058.0
19,Kris Letang,D,71,16,51,67,11.3,11,5,0,2,26,22,3,218,7.3,1913,26:57,122,135,0,0,,7250000,7712710.0
20,Jaromír Jágr,RW,79,27,39,66,9.2,22,5,0,4,33,6,0,143,18.9,1349,17:05,16,31,0,1,0.0,3500000,3379726.0
21,Nikita Kucherov,RW,77,30,36,66,9.2,21,9,0,4,20,16,0,209,14.4,1402,18:13,28,61,0,1,0.0,711667,157913.0
22,Taylor Hall,LW,82,26,39,65,7.6,22,4,0,6,31,8,0,286,9.1,1575,19:12,50,82,14,25,35.9,6000000,6268382.0
23,Filip Forsberg,LW,82,33,31,64,8.5,24,8,1,3,16,15,0,247,13.4,1562,19:03,41,114,2,7,22.2,894167,368785.0
24,Kyle Okposo,RW,79,22,42,64,7.2,15,7,0,4,26,16,0,202,10.9,1438,18:12,39,90,23,40,36.5,2800000,2570903.0
25,Max Pacioretty,LW,82,30,34,64,7.5,21,8,1,6,25,9,0,303,9.9,1519,18:32,37,102,6,7,46.2,4500000,4535189.0
