Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
253,Brendan Morrison,33,TOT,C,81,16,15,31,3,32,2.9,13,3,0,4,11,4,0,111,14.4,1151,14:13,15,33,204,246,45.3,morribr01
254,Richard Park,32,NYI,RW,71,14,17,31,-13,34,2.2,8,4,2,1,12,3,2,138,10.1,1219,17:10,49,31,396,413,48.9,parkri01
255,Ville Peltonen,35,FLA,LW,79,12,19,31,6,31,2.5,12,0,0,1,18,1,0,121,9.9,1205,15:15,30,60,18,46,28.1,peltovi01
256,Ľubomír Višňovský,32,EDM,D,50,8,23,31,6,30,5.3,3,5,0,1,11,12,0,86,9.3,1151,23:01,82,27,0,0,,visnolu01
257,P.J. Axelsson,33,BOS,LW,75,6,24,30,-1,16,1.4,4,2,0,0,15,9,0,87,6.9,1217,16:14,31,55,16,30,34.8,axelspj01
258,Chris Campoli,24,TOT,D,76,11,19,30,-16,55,4.8,8,2,1,4,9,9,1,91,12.1,1485,19:32,86,81,0,0,,campoch01
259,Carlo Colaiacovo,26,TOT,D,73,3,27,30,0,35,5.1,3,0,0,0,7,20,0,87,3.4,1333,18:16,82,64,0,0,,colaica01
260,Marty Reasoner,31,ATL,C,79,14,16,30,11,36,2.6,13,0,1,2,11,0,5,131,10.7,1209,15:19,60,41,603,538,52.8,reasoma01
261,Michal Rozsíval,30,NYR,D,76,8,22,30,-7,52,6.2,5,3,0,2,9,11,2,120,6.7,1711,22:31,113,90,0,0,,rozsimi01
262,Dennis Seidenberg,27,CAR,D,70,5,25,30,-9,37,4.8,3,2,0,1,16,9,0,129,3.9,1563,22:20,160,146,0,0,,seidede01
263,Keith Yandle,22,PHX,D,69,4,26,30,-4,37,4.6,3,1,0,0,14,12,0,118,3.4,1147,16:37,63,46,0,0,,yandlke01
264,Fabian Brunnström,23,DAL,LW,55,17,12,29,-8,8,3.3,13,4,0,5,10,2,0,81,21.0,639,11:37,12,24,0,0,,brunnfa01
265,Jonathan Cheechoo,28,SJS,RW,66,12,17,29,-3,59,2.5,6,5,1,4,13,4,0,152,7.9,1011,15:19,18,107,1,3,25.0,cheecjo01
266,Paul Gaustad,26,BUF,C,62,12,17,29,4,108,2.7,8,3,1,1,12,5,0,122,9.8,999,16:06,39,141,452,406,52.7,gaustpa01
267,John Mitchell,24,TOR,C,76,12,17,29,-16,33,1.5,10,2,0,0,12,4,1,98,12.2,1049,13:48,48,88,326,342,48.8,mitchjo01
268,Robert Nilsson,24,EDM,LW,64,9,20,29,1,26,2.1,5,4,0,1,13,7,0,77,11.7,972,15:11,14,37,4,6,40.0,nilssro01
269,Johnny Oduya,27,NJD,D,82,7,22,29,21,30,6.7,5,1,1,4,18,4,0,108,6.5,1712,20:52,127,50,0,0,,oduyajo01
270,Mikkel Bødker,19,PHX,LW,78,11,17,28,-6,18,1.8,9,2,0,3,17,0,0,116,9.5,1212,15:32,9,76,1,7,12.5,boedkmi01
271,Erik Christensen,25,TOT,C,64,7,21,28,-9,20,1.6,5,2,0,0,16,5,0,122,5.7,873,13:39,6,19,277,220,55.7,chriser01
272,Braydon Coburn,23,PHI,D,80,7,21,28,7,97,5.5,4,3,0,0,11,8,2,130,5.4,1970,24:37,129,146,0,0,,coburbr01
273,Pascal Dupuis,29,PIT,LW,71,12,16,28,1,30,2.3,12,0,0,2,15,0,1,145,8.3,1010,14:13,30,68,3,13,18.8,dupuipa01
274,Maxim Lapierre,23,MTL,C,79,15,13,28,9,76,2.9,12,1,2,2,13,0,0,165,9.1,1169,14:48,52,130,525,462,53.2,lapiema01
275,Alexander Steen,24,TOT,C,81,8,20,28,-10,30,1.2,4,3,1,0,13,7,0,148,5.4,1323,16:20,54,38,102,127,44.5,steenal01
276,Mats Sundin*,37,VAN,C,41,9,19,28,-5,28,2.4,4,5,0,2,10,9,0,84,10.7,691,16:51,14,14,325,264,55.2,sundima01
277,Kyle Brodziak,24,EDM,C,79,11,16,27,4,21,2.2,9,1,1,3,14,1,1,99,11.1,1005,12:43,55,60,489,458,51.6,brodzky01
278,Brent Burns,23,MIN,D,59,8,19,27,-7,45,5.5,4,4,0,2,9,10,0,147,5.4,1323,22:25,62,58,3,2,60.0,burnsbr01
279,Kyle Calder,30,LAK,LW,74,8,19,27,-1,41,2.3,6,2,0,1,17,2,0,93,8.6,974,13:10,7,55,1,2,33.3,caldeky01
280,Mike Comrie,28,TOT,C,63,10,17,27,-15,32,1.7,8,2,0,1,12,4,1,121,8.3,989,15:42,34,39,171,246,41.0,comrimi01
281,Drew Doughty,19,LAK,D,81,6,21,27,-17,56,5.3,3,3,0,1,8,13,0,126,4.8,1930,23:50,114,90,0,0,,doughdr01
282,Claude Giroux,21,PHI,RW,42,9,18,27,10,14,3.1,7,2,0,0,14,4,0,67,13.4,637,15:10,18,41,146,163,47.2,giroucl01
283,Jochen Hecht,31,BUF,C,70,12,15,27,-9,33,1.6,8,3,1,1,11,2,2,173,6.9,1218,17:24,38,29,235,303,43.7,hechtjo01
284,Andy Hilbert,27,NYI,C,67,11,16,27,-3,22,2.1,9,1,1,0,12,3,1,167,6.6,1082,16:09,85,41,71,115,38.2,hilbean01
285,Matt Hunwick,23,BOS,D,53,6,21,27,15,31,5.3,6,0,0,1,13,8,0,58,10.3,900,16:59,50,45,0,0,,hunwima01
286,Jussi Jokinen,25,TOT,LW,71,7,20,27,-10,28,1.2,5,2,0,1,13,7,0,101,6.9,1087,15:19,43,31,361,312,53.6,jokinju01
287,Zbyněk Michálek,26,PHX,D,82,6,21,27,-13,28,4.6,6,0,0,0,20,0,1,106,5.7,1863,22:43,268,67,0,0,,michazb01
