,PLAYER,Pos,GP,G,A,PTS,PS,EV,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CAP HIT,exchange cap
0,Sidney Crosby,C,81,51,58,109,14.7,36,13,2,6,36,21,1,298,17.1,1778,21:57,42.0,62,992.0,781.0,56.0,8700000,11910211.0
1,Alex Ovechkin,LW,72,50,59,109,15.6,37,13,0,7,36,23,0,368,13.6,1569,21:48,20.0,181,10.0,12.0,45.5,9538462,13128047.0
2,Nicklas Bäckström,C,82,33,68,101,12.2,22,11,0,4,42,26,0,222,14.9,1677,20:27,61.0,90,657.0,660.0,49.9,850000,508362.0
3,Steven Stamkos,C,82,51,44,95,12.8,26,24,1,5,27,17,0,297,17.2,1685,20:33,38.0,68,475.0,517.0,47.9,875000,544674.0
4,Brad Richards,C,80,24,67,91,8.9,11,13,0,2,40,27,0,284,8.5,1669,20:52,22.0,16,587.0,553.0,51.5,7800000,10602992.0
5,Joe Thornton,C,79,20,69,89,9.6,15,4,1,2,42,25,2,141,14.2,1569,19:51,29.0,113,662.0,566.0,53.9,7200000,9731514.0
6,Patrick Kane,RW,82,30,58,88,10.3,21,9,0,6,37,20,1,261,11.5,1574,19:12,17.0,17,9.0,13.0,40.9,875000,544674.0
7,Marián Gáborík,RW,76,42,44,86,12.1,27,14,1,4,31,12,1,272,15.4,1615,21:15,31.0,59,2.0,5.0,28.6,7500000,10167253.0
8,Ilya Kovalchuk,LW,76,41,44,85,11.0,29,12,0,4,29,15,0,290,14.1,1675,22:02,20.0,30,7.0,23.0,23.3,6400000,8569542.0
9,Alexander Semin,LW,73,40,44,84,11.7,30,8,2,5,25,19,0,278,14.4,1396,19:07,20.0,30,6.0,10.0,37.5,4600000,5955105.0
10,Patrick Marleau,C,82,44,39,83,11.4,28,12,4,6,26,13,0,274,16.1,1739,21:13,33.0,76,316.0,299.0,51.4,6300000,8424295.0
11,Dany Heatley,RW,82,39,43,82,10.6,20,18,1,9,31,12,0,280,13.9,1659,20:14,35.0,81,14.0,21.0,40.0,7500000,10167253.0
12,Zach Parise,C,81,38,44,82,11.5,28,9,1,5,27,17,0,347,11.0,1602,19:46,34.0,108,18.0,30.0,37.5,3125000,3812720.0
13,Paul Stastny,C,81,20,59,79,7.4,11,9,0,2,43,16,0,199,10.1,1733,21:24,53.0,42,851.0,852.0,50.0,6600000,8860035.0
14,Evgeni Malkin,C,67,28,49,77,8.5,13,13,2,7,33,15,1,268,10.4,1397,20:51,25.0,58,199.0,295.0,40.3,8700000,11910211.0
15,Mike Green,D,75,19,57,76,13.0,9,10,0,4,31,25,1,205,9.3,1911,25:29,105.0,133,0.0,0.0,,5250000,6899207.0
16,Corey Perry,RW,82,27,49,76,8.1,20,6,1,2,31,17,1,270,10.0,1727,21:04,34.0,93,6.0,22.0,21.4,5325000,7008142.0
17,Ryan Kesler,C,82,25,50,75,7.7,12,12,1,5,34,14,2,214,11.7,1609,19:38,73.0,95,772.0,629.0,55.1,1750000,1815580.0
18,Loui Eriksson,LW,82,29,42,71,7.7,21,6,2,4,35,6,1,214,13.6,1620,19:46,48.0,31,4.0,7.0,36.4,1600000,1597711.0
19,Mikko Koivu,C,80,22,49,71,7.4,13,8,1,2,29,20,0,246,8.9,1660,20:45,52.0,50,864.0,654.0,56.9,3250000,3994278.0
20,Pavel Datsyuk,C,80,27,43,70,8.6,18,9,0,3,27,16,0,203,13.3,1628,20:21,33.0,85,589.0,478.0,55.2,6700000,9005281.0
21,Vincent Lecavalier,C,82,24,46,70,6.7,19,5,0,3,26,20,0,295,8.1,1623,19:47,21.0,80,762.0,675.0,53.0,7727272,10497358.0
22,Eric Staal,C,70,29,41,70,8.3,16,13,0,5,31,10,0,277,10.5,1450,20:43,17.0,74,479.0,667.0,41.8,8250000,11256602.0
23,Henrik Zetterberg,C,74,23,47,70,8.2,20,3,0,6,27,19,1,309,7.4,1485,20:04,34.0,44,536.0,543.0,49.7,6083333,8109594.0
24,Ryan Getzlaf,C,66,19,50,69,7.2,11,8,0,5,36,14,0,149,12.8,1430,21:40,49.0,178,533.0,591.0,47.4,5325000,7008142.0
25,Duncan Keith,D,82,14,55,69,12.6,10,3,1,1,38,13,4,213,6.6,2181,26:36,143.0,46,0.0,0.0,,1475000,1416153.0
26,Derek Roy,C,80,26,43,69,7.9,15,10,1,6,28,15,0,215,12.1,1551,19:23,47.0,27,610.0,603.0,50.3,4000000,5083626.0
27,Jonathan Toews,C,76,25,43,68,8.0,15,9,1,3,27,13,3,202,12.4,1520,20:00,33.0,56,801.0,596.0,57.3,850000,508362.0
28,Alexandre Burrows,LW,82,35,32,67,9.5,26,4,5,3,28,2,2,209,16.7,1465,17:52,54.0,97,14.0,20.0,41.2,2000000,2178697.0
29,Rick Nash,LW,76,33,34,67,7.8,21,10,2,6,20,12,2,254,13.0,1591,20:56,25.0,121,11.0,11.0,50.0,5400000,7117077.0
30,Travis Zajac,C,82,25,42,67,8.3,19,6,0,4,26,15,1,210,11.9,1658,20:13,29.0,64,726.0,647.0,52.9,3887500,4920224.0
