,PLAYER,Pos,GP,G,A,PTS,PS,EV,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CAP HIT,exchange cap
0,Nikita Kucherov,RW,82,41,87,128,14.6,26,15,0,8,54,33,0,246,16.7,1637,19:58,31,44,0,3,0.0,4766667,4272012.0
1,Connor McDavid,C,78,41,75,116,13.0,31,9,1,9,50,24,1,240,17.1,1781,22:50,30,39,428,490,46.6,12500000,12297169.0
2,Patrick Kane,RW,81,44,66,110,11.8,35,9,0,7,45,21,0,341,12.9,1822,22:29,18,21,1,4,20.0,10500000,10221698.0
3,Leon Draisaitl,C,82,50,55,105,12.6,31,16,3,5,42,13,0,231,21.6,1852,22:35,26,57,677,663,50.5,8500000,8146226.0
4,Sidney Crosby,C,79,35,65,100,11.4,23,12,0,3,46,17,2,220,15.9,1658,21:00,43,85,1012,814,55.4,8700000,8353773.0
5,Brad Marchand,LW,79,36,64,100,11.7,23,10,3,9,36,24,4,231,15.6,1550,19:37,19,46,45,60,42.9,6125000,5681603.0
6,Johnny Gaudreau,LW,82,36,63,99,10.9,30,6,0,8,42,21,0,245,14.7,1646,20:04,12,12,1,2,33.3,6750000,6330188.0
7,Nathan MacKinnon,C,82,41,58,99,11.8,29,12,0,6,33,25,0,365,11.2,1812,22:05,31,54,518,666,43.8,6300000,5863207.0
8,Steven Stamkos,C,82,45,53,98,11.5,24,19,2,6,32,21,0,234,19.2,1501,18:18,40,72,506,447,53.1,8500000,8146226.0
9,Aleksander Barkov,C,82,35,61,96,10.0,22,13,0,5,42,18,1,206,17.0,1833,22:21,61,28,1041,898,53.7,5900000,5448113.0
10,Jonathan Huberdeau,C,82,30,62,92,9.1,19,11,0,5,39,23,0,226,13.3,1546,18:51,45,57,12,7,63.2,5900000,5448113.0
11,Brayden Point,C,79,41,51,92,11.4,21,20,0,7,36,15,0,191,21.5,1495,18:55,43,31,435,421,50.8,686667,38050.0
12,Blake Wheeler,RW,82,20,71,91,8.2,16,2,2,3,39,31,1,231,8.7,1698,20:43,53,81,31,57,35.2,5600000,5136792.0
13,Alex Ovechkin,LW,81,51,38,89,11.0,33,18,0,5,28,10,0,338,15.1,1695,20:55,41,223,1,4,20.0,9538462,9223875.0
14,John Tavares,C,82,47,41,88,11.3,37,10,0,8,32,9,0,286,16.4,1565,19:05,53,59,833,694,54.6,11000000,10740566.0
15,Artemi Panarin,LW,79,28,59,87,9.7,22,6,0,8,47,12,0,191,14.7,1569,19:51,17,14,1,3,25.0,6000000,5551886.0
16,Mikko Rantanen,RW,74,31,56,87,9.8,15,16,0,4,39,17,0,193,16.1,1542,20:51,41,59,17,29,37.0,894167,253380.0
17,Claude Giroux,LW,82,22,63,85,7.9,19,2,1,4,42,21,0,229,9.6,1759,21:27,19,28,674,489,58.0,8275000,7912735.0
18,Mark Scheifele,C,82,38,46,84,9.4,26,12,0,6,32,11,3,199,19.1,1793,21:52,54,54,802,933,46.2,6125000,5681603.0
19,Sebastian Aho,C,82,30,53,83,9.8,23,3,4,7,31,21,1,243,12.3,1652,20:09,34,65,585,619,48.6,925000,285377.0
21,Brent Burns,D,82,16,67,83,12.0,8,7,1,6,42,21,4,300,5.3,2058,25:06,105,90,0,1,0.0,8000000,7627358.0
22,Jack Eichel,C,77,28,54,82,8.2,20,8,0,2,36,18,0,303,9.2,1574,20:26,51,70,597,673,47.0,10000000,9702830.0
23,Phil Kessel,RW,82,27,55,82,7.7,15,12,0,10,31,24,0,215,12.6,1474,17:59,18,12,4,5,44.4,8000000,7627358.0
24,Sean Monahan,C,78,34,48,82,8.9,22,12,0,5,37,11,0,211,16.1,1486,19:03,24,36,454,434,51.1,6375000,5941037.0
25,Jonathan Toews,C,82,35,46,81,8.3,25,9,1,5,32,14,0,235,14.9,1723,21:00,44,42,1059,821,56.3,10500000,10221698.0
26,Tyler Seguin,C,82,33,47,80,9.7,24,9,0,8,29,18,0,334,9.9,1701,20:45,47,74,676,579,53.9,5750000,5292452.0
27,Patrice Bergeron,C,65,32,47,79,10.1,19,9,4,3,26,18,3,205,15.6,1200,18:28,60,43,786,603,56.6,6875000,6459905.0
28,Elias Lindholm,C,81,27,51,78,8.4,17,9,1,5,31,17,3,182,14.8,1623,20:02,39,82,509,428,54.3,4850000,4358490.0
29,Ryan O'Reilly,C,82,28,49,77,8.8,21,6,1,5,31,16,2,234,12.0,1702,20:46,36,31,1086,824,56.9,7500000,7108490.0
30,Matthew Tkachuk,LW,80,34,43,77,8.8,23,11,0,2,30,13,0,207,16.4,1408,17:36,13,104,6,7,46.2,925000,285377.0
31,Sean Couturier,C,80,33,43,76,7.8,24,8,1,5,34,9,0,223,14.8,1770,22:08,60,40,755,568,57.1,4333333,3822326.0
32,Alex DeBrincat,RW,82,41,35,76,8.8,28,13,0,3,24,11,0,220,18.6,1451,17:42,26,35,16,19,45.7,778333,133175.0
33,Jake Guentzel,C,82,40,36,76,9.4,33,6,1,4,31,5,0,227,17.6,1587,19:21,47,105,10,20,33.3,734167,87343.0
34,Teuvo Teräväinen,LW,82,21,55,76,8.7,12,8,1,1,35,16,4,167,12.6,1469,17:55,23,35,18,25,41.9,2860000,2293396.0
35,Gabriel Landeskog,LW,73,34,41,75,9.0,24,10,0,9,24,17,0,243,14.0,1544,21:09,64,120,360,333,51.9,5571429,5107143.0
36,Nicklas Bäckström,C,80,22,52,74,6.6,15,7,0,5,34,18,0,169,13.0,1596,19:57,30,54,700,739,48.6,6700000,6278301.0
37,Mark Giordano,D,78,17,57,74,12.6,10,3,4,2,37,18,2,221,7.7,1891,24:14,144,58,0,0,,6750000,6330188.0
38,Mika Zibanejad,C,82,30,44,74,7.3,17,11,2,5,32,12,0,236,12.7,1686,20:34,66,134,830,842,49.6,5350000,4877358.0
39,Dylan Larkin,C,76,32,41,73,7.5,23,7,2,4,32,8,1,287,11.1,1660,21:51,38,80,865,722,54.5,6100000,5655660.0
40,Auston Matthews,C,68,37,36,73,8.3,25,12,0,5,28,8,0,251,14.7,1262,18:33,60,28,475,436,52.1,925000,285377.0
41,Mark Stone,RW,77,33,40,73,8.7,26,6,1,4,26,14,0,199,16.6,1531,19:53,71,72,28,34,45.2,7350000,6952830.0
42,Max Domi,LW,82,28,44,72,8.2,24,4,0,2,37,7,0,203,13.8,1425,17:23,39,53,447,549,44.9,3150000,2594339.0
43,Evgeny Kuznetsov,C,76,21,51,72,6.8,13,8,0,3,36,15,0,193,10.9,1428,18:47,20,46,396,627,38.7,7800000,7419811.0
44,Evgeni Malkin,C,68,21,51,72,6.2,12,9,0,5,34,17,0,187,11.2,1279,18:48,33,54,381,452,45.7,9500000,9183962.0
45,Alexander Radulov,RW,70,29,43,72,9.1,22,7,0,7,27,16,0,209,13.9,1385,19:47,83,60,6,10,37.5,6250000,5811320.0
46,Morgan Rielly,D,82,20,52,72,11.7,17,3,0,5,34,18,0,223,9.0,1896,23:07,114,61,0,1,0.0,5000000,4514150.0
47,John Carlson,D,80,13,57,70,10.5,10,3,0,1,27,30,0,185,7.0,2005,25:04,164,54,0,0,,8000000,7627358.0
48,Logan Couture,C,81,27,43,70,6.6,19,6,2,3,31,12,0,204,13.2,1506,18:36,52,65,282,327,46.3,6000000,5551886.0
49,Matt Duchene,C,73,31,39,70,7.7,25,6,0,1,31,8,0,172,18.0,1375,18:50,40,28,676,546,55.3,6000000,5551886.0
50,Mike Hoffman,C,82,36,34,70,7.3,19,17,0,6,16,18,0,253,14.2,1463,17:50,26,42,13,25,34.2,5187500,4708726.0
51,Cam Atkinson,RW,80,41,28,69,8.8,29,8,4,8,22,6,0,295,13.9,1550,19:23,25,27,24,52,31.6,5875000,5422169.0
52,Ryan Nugent-Hopkins,C,82,28,41,69,6.6,19,8,1,3,21,18,2,208,13.5,1648,20:06,40,69,379,461,45.1,6000000,5551886.0
53,Vladimir Tarasenko,RW,76,33,35,68,8.3,21,12,0,5,25,10,0,275,12.0,1398,18:24,40,88,4,2,66.7,7500000,7108490.0
54,Kyle Connor,LW,82,34,32,66,7.0,22,11,1,5,24,8,0,227,15.0,1579,19:15,21,9,8,5,61.5,925000,285377.0
55,Timo Meier,RW,78,30,36,66,7.4,24,6,0,2,31,4,1,250,12.0,1324,16:58,40,99,12,26,31.6,894167,253380.0
56,Elias Pettersson,C,71,28,38,66,7.8,18,10,0,7,26,12,0,144,19.4,1294,18:14,51,42,257,370,41.0,925000,285377.0
57,Sam Reinhart,C,82,22,43,65,6.0,20,2,0,1,30,13,0,180,12.2,1555,18:57,47,38,31,56,35.6,3650000,3113207.0
