,PLAYER,Pos,GP,G,A,PTS,PS,EV,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CAP HIT,exchange cap
0,Evgeni Malkin,C,75,50,59,109,15.7,38,12,0,9,37,22,0,339,14.7,1577,21:01,41.0,29,575.0,635.0,47.5,8700000,10488919.0
1,Steven Stamkos,C,82,60,37,97,14.6,48,12,0,12,24,13,0,303,19.8,1806,22:01,37.0,109,558.0,669.0,45.5,7500000,8949261.0
2,Claude Giroux,RW,77,28,65,93,10.6,22,6,0,5,31,32,2,242,11.6,1659,21:33,44.0,70,828.0,715.0,53.7,3750000,4137830.0
3,Jason Spezza,C,80,34,50,84,10.5,24,10,0,2,36,14,0,232,14.7,1594,19:55,23.0,28,909.0,791.0,53.5,7000000,8307737.0
4,Ilya Kovalchuk,LW,77,37,46,83,10.5,24,10,3,5,25,19,2,310,11.9,1882,24:26,18.0,27,13.0,24.0,35.1,6666666,7880053.0
5,Phil Kessel,RW,82,37,45,82,9.9,27,10,0,6,32,13,0,295,12.5,1645,20:03,21.0,12,9.0,19.0,32.1,5400000,6254860.0
6,James Neal,LW,80,40,41,81,11.0,22,18,0,4,29,12,0,329,12.2,1531,19:08,15.0,108,4.0,11.0,26.7,2875000,3015163.0
7,John Tavares,C,82,31,50,81,9.6,24,7,0,8,32,18,0,286,10.8,1687,20:34,23.0,27,813.0,772.0,51.3,900000,481143.0
8,Erik Karlsson,D,81,19,59,78,13.1,16,3,0,5,34,25,0,261,7.3,2051,25:19,65.0,60,0.0,1.0,0.0,875000,449066.0
9,Joe Thornton,C,82,18,59,77,8.4,14,4,0,2,39,19,1,156,11.5,1678,20:28,26.0,42,557.0,436.0,56.1,7000000,8307737.0
10,Ray Whitney,LW,82,24,53,77,9.7,16,8,0,1,41,12,0,185,13.0,1529,18:39,10.0,28,4.0,11.0,26.7,3000000,3175544.0
11,Jordan Eberle,C,78,34,42,76,10.3,24,10,0,4,32,10,0,180,18.9,1373,17:36,24.0,45,12.0,15.0,44.4,875000,449066.0
