,PLAYER,Pos,GP,G,A,PTS,PS,EV,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CAP HIT,exchange cap
0,Connor McDavid,C,80,44,79,123,14.0,34,10,0,9,44,34,1,314,14.0,1765,22:04,26,75,562,484,53.7,12500000,11894171.0
1,Johnny Gaudreau,LW,82,40,75,115,14.7,34,6,0,9,56,19,0,262,15.3,1523,18:34,9,10,1,0,100.0,6750000,6073619.0
2,Jonathan Huberdeau,LW,80,30,85,115,11.9,22,5,3,7,50,33,2,222,13.5,1554,19:25,28,99,18,36,33.3,5900000,5213190.0
3,Leon Draisaitl,C,80,55,55,110,13.3,30,24,1,11,38,17,0,278,19.8,1788,22:21,25,53,887,774,53.4,8500000,7845092.0
4,Kirill Kaprizov,LW,81,47,61,108,12.8,33,14,0,5,44,17,0,289,16.3,1548,19:06,29,73,5,4,55.6,9000000,8351226.0
5,Auston Matthews,C,73,60,46,106,13.8,44,16,0,10,33,13,0,348,17.2,1504,20:37,62,67,691,538,56.2,11640250,11023872.0
6,Steven Stamkos,C,81,42,64,106,12.5,26,16,0,11,44,20,0,241,17.4,1497,18:29,31,93,545,523,51.0,8500000,7845092.0
7,Matthew Tkachuk,RW,82,42,62,104,13.7,30,12,0,6,45,17,0,253,16.6,1468,17:54,20,93,20,23,46.5,7000000,6326687.0
8,J.T. Miller,C,80,32,67,99,10.6,24,8,0,6,35,30,2,206,15.5,1686,21:05,56,172,667,566,54.1,5250000,4555214.0
9,Roman Josi,D,80,23,73,96,13.9,12,11,0,2,47,26,0,281,8.2,2044,25:33,133,66,0,0,,9059000,8410950.0
10,Artemi Panarin,LW,75,22,74,96,9.9,17,5,0,5,42,32,0,177,12.4,1441,19:13,14,22,1,1,50.0,11642857,11026511.0
11,Kyle Connor,LW,79,47,46,93,10.6,36,8,3,9,26,20,0,317,14.8,1720,21:47,23,32,1,6,14.3,7142857,6471296.0
12,Patrick Kane,RW,78,26,66,92,8.1,17,9,0,2,44,22,0,287,9.1,1702,21:49,26,11,4,4,50.0,10500000,9869631.0
13,Mikko Rantanen,RW,75,36,56,92,10.5,20,16,0,2,37,19,0,254,14.2,1574,20:59,43,58,164,190,46.3,9250000,8604294.0
14,Alex Ovechkin,LW,77,50,40,90,11.4,33,16,1,5,27,13,0,334,15.0,1584,20:34,25,156,4,9,30.8,9500000,8857361.0
15,Aleksander Barkov,C,67,39,49,88,10.6,23,12,4,5,34,14,1,214,18.2,1360,20:18,42,50,713,539,56.9,5900000,5213190.0
16,Nathan MacKinnon,C,65,32,56,88,9.7,25,7,0,5,36,20,0,299,10.7,1369,21:04,39,68,383,461,45.4,6300000,5618098.0
17,Nazem Kadri,C,71,28,59,87,8.9,20,8,0,6,38,21,0,247,11.3,1366,19:14,19,52,585,592,49.7,4500000,3796012.0
18,Matt Duchene,C,78,43,43,86,10.0,27,16,0,6,30,13,0,228,18.9,1483,19:01,28,31,119,101,54.1,8000000,7338957.0
19,Cale Makar,D,77,28,58,86,15.3,19,9,0,6,33,25,0,240,11.7,1976,25:40,110,95,0,0,,9000000,8351226.0
20,Kevin Fiala,LW,82,33,52,85,9.2,27,5,1,7,40,12,0,262,12.6,1447,17:39,21,52,4,11,26.7,5100000,4403374.0
21,Victor Hedman,D,82,20,65,85,13.6,14,6,0,6,33,32,0,219,9.1,2056,25:05,129,93,0,0,,7875000,7212423.0
22,Sidney Crosby,C,69,31,53,84,9.4,23,8,0,9,31,22,0,208,14.9,1378,19:58,37,50,760,690,52.4,8700000,8047546.0
23,Filip Forsberg,C,69,42,42,84,10.3,32,10,0,8,25,17,0,226,18.6,1249,18:06,48,112,1,0,100.0,6000000,5314417.0
24,Jake Guentzel,C,76,40,44,84,9.7,33,7,0,7,29,15,0,264,15.2,1527,20:06,38,72,13,12,52.0,6000000,5314417.0
25,Elias Lindholm,C,82,42,40,82,11.4,31,10,1,9,30,9,1,235,17.9,1635,19:57,52,66,842,750,52.9,4850000,4150306.0
26,Sam Reinhart,C,78,33,49,82,9.0,17,16,0,6,32,15,2,186,17.7,1385,17:46,30,49,174,185,48.5,6500000,5820552.0
27,Vladimir Tarasenko,RW,75,34,48,82,8.9,29,5,0,9,30,17,1,230,14.8,1268,16:55,45,83,4,7,36.4,7500000,6832822.0
28,Sebastian Aho,F,79,37,44,81,9.5,23,13,1,9,27,15,2,221,16.7,1497,18:57,23,76,555,504,52.4,8460250,7804854.0
32,Joe Pavelski,C,82,27,54,81,8.6,15,12,0,2,41,13,0,216,12.5,1515,18:28,69,104,394,357,52.5,7000000,6326687.0
33,Mika Zibanejad,C,81,29,52,81,9.2,13,15,1,3,35,13,4,219,13.2,1591,19:38,47,67,700,638,52.3,5350000,4656441.0
34,Brad Marchand,LW,70,32,48,80,9.3,23,7,2,6,28,20,0,242,13.2,1347,19:15,20,78,14,27,34.1,6125000,5440950.0
35,William Nylander,C,81,34,46,80,7.8,21,13,0,7,28,18,0,256,13.3,1480,18:16,30,19,34,31,52.3,6962366,6288591.0
36,Jason Robertson,LW,74,41,38,79,10.1,28,13,0,11,30,8,0,220,18.6,1340,18:07,24,50,0,0,,795000,45552.0
37,Mats Zuccarello,LW,70,24,55,79,8.0,17,7,0,2,34,21,0,159,15.1,1301,18:35,33,36,21,34,38.2,6000000,5314417.0
38,Alex DeBrincat,RW,82,41,37,78,8.4,27,14,0,6,23,14,0,270,15.2,1710,20:51,35,101,24,40,37.5,6400000,5719325.0
39,Evgeny Kuznetsov,C,79,24,54,78,7.6,13,8,3,4,33,19,2,208,11.5,1602,20:17,25,42,507,659,43.5,7800000,7136503.0
40,Chris Kreider,LW,81,52,25,77,10.8,23,26,3,11,16,9,0,258,20.2,1517,18:44,39,141,67,70,48.9,6500000,5820552.0
