,PLAYER,Pos,GP,G,A,PTS,PS,EV,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CAP HIT,exchange cap
0,Connor McDavid,C,56,33,72,105,13.0,24,9,0,11,44,28,0,200,16.5,1241,22:09,24,61,316,322,49.5,12500000,11944785.0
1,Leon Draisaitl,C,56,31,53,84,10.9,15,15,1,8,36,17,0,168,18.5,1243,22:11,12,37,574,457,55.7,8500000,7895705.0
2,Brad Marchand,LW,53,29,40,69,9.6,21,4,4,5,23,14,3,143,20.3,1002,18:55,11,66,11,24,31.4,6125000,5491564.0
3,Patrick Kane,RW,56,15,51,66,6.1,12,3,0,3,32,19,0,191,7.9,1245,22:14,15,13,2,5,28.6,10500000,9920245.0
4,Auston Matthews,C,52,41,25,66,9.5,31,10,0,12,22,3,0,222,18.5,1121,21:33,47,57,450,417,51.9,11640250,11074486.0
5,Mikko Rantanen,RW,52,30,36,66,9.1,21,9,0,7,21,15,0,177,16.9,1036,19:55,20,26,32,32,50.0,9250000,8654907.0
6,Nathan MacKinnon,C,48,20,45,65,7.7,12,8,0,2,28,17,0,206,9.7,977,20:22,15,38,239,254,48.5,6300000,5668711.0
7,Mark Scheifele,C,56,21,42,63,6.5,17,4,0,4,29,13,0,126,16.7,1174,20:58,38,31,352,355,49.8,6125000,5491564.0
8,Sidney Crosby,C,55,24,38,62,7.0,18,5,1,5,21,17,0,159,15.1,1122,20:24,28,44,676,586,53.6,8700000,8098159.0
9,Jonathan Huberdeau,LW,55,20,41,61,7.1,15,5,0,1,22,19,0,122,16.4,1013,18:25,11,51,17,22,43.6,5900000,5263803.0
10,Mark Stone,RW,55,21,40,61,7.6,14,6,1,8,29,11,0,98,21.4,1048,19:04,33,31,12,18,40.0,9500000,8907975.0
11,Aleksander Barkov,C,50,26,32,58,7.3,18,7,1,6,20,12,0,176,14.8,1047,20:56,37,31,563,463,54.9,5900000,5263803.0
12,Artemi Panarin,LW,42,17,41,58,6.8,12,5,0,1,28,13,0,106,16.0,825,19:39,7,13,0,3,0.0,11642857,11077125.0
13,David Perron,LW,56,19,39,58,6.3,13,6,0,2,24,15,0,151,12.6,1039,18:33,25,45,0,6,0.0,4000000,3340490.0
14,Sebastian Aho,F,56,24,33,57,7.2,14,7,3,7,22,11,0,148,16.2,1090,19:28,25,38,365,327,52.7,8460250,7855467.0
18,Jake Guentzel,C,56,23,34,57,6.3,17,6,0,7,21,12,1,141,16.3,1135,20:16,32,43,3,9,25.0,6000000,5365030.0
19,Alex DeBrincat,RW,52,32,24,56,7.5,22,9,1,7,15,9,0,155,20.6,1068,20:32,22,70,16,24,40.0,6400000,5769938.0
20,Ryan O'Reilly,C,56,24,30,54,6.9,18,4,2,4,22,8,0,129,18.6,1162,20:45,26,24,703,493,58.8,7500000,6883435.0
21,Nicklas Bäckström,C,55,15,38,53,5.3,10,5,0,0,21,17,0,91,16.5,1023,18:36,27,25,353,378,48.3,9200000,8604294.0
22,Gabriel Landeskog,LW,54,20,32,52,5.9,11,9,0,8,26,6,0,155,12.9,1078,19:57,28,81,288,221,56.6,5571429,4931201.0
23,Kirill Kaprizov,LW,55,27,24,51,6.7,19,8,0,3,19,5,0,157,17.2,1006,18:18,18,29,3,21,12.5,925000,227760.0
24,Max Pacioretty,LW,48,24,27,51,7.0,18,6,0,6,21,6,0,174,13.8,861,17:56,29,33,20,23,46.5,7000000,6377300.0
25,Joe Pavelski,C,56,25,26,51,7.0,12,13,0,4,18,8,0,139,18.0,1065,19:01,39,64,362,334,52.0,7000000,6377300.0
26,Kyle Connor,LW,56,26,24,50,5.9,16,10,0,5,21,3,0,166,15.7,1049,18:44,18,18,6,4,60.0,7142857,6521910.0
27,John Tavares,C,56,19,31,50,5.5,13,6,0,2,25,6,0,163,11.7,1019,18:12,28,51,471,381,55.3,11000000,10426380.0
28,Mika Zibanejad,C,56,24,26,50,5.7,12,10,2,7,20,4,2,171,14.0,1126,20:06,44,75,479,555,46.3,5350000,4707055.0
29,Brock Boeser,RW,56,23,26,49,5.9,14,8,1,1,20,6,0,141,16.3,1082,19:19,20,32,8,14,36.4,5875000,5238496.0
30,Johnny Gaudreau,LW,56,19,30,49,5.4,12,7,0,5,18,12,0,112,17.0,1031,18:25,9,8,0,1,0.0,6750000,6124233.0
31,Evander Kane,LW,56,22,27,49,5.6,17,3,2,2,21,4,2,194,11.3,1131,20:12,22,97,23,34,40.4,7000000,6377300.0
32,Ryan Strome,C,56,14,35,49,5.0,11,3,0,1,18,15,2,128,10.9,1023,18:16,18,22,321,422,43.2,4500000,3846625.0
33,Tyson Barrie,D,56,8,40,48,7.3,4,4,0,2,21,19,0,146,5.5,1198,21:24,59,26,0,0,,3750000,3087423.0
34,Patrice Bergeron,C,54,23,25,48,6.9,13,7,3,3,18,6,1,182,12.6,984,18:13,36,49,714,433,62.2,6875000,6250766.0
35,Pavel Buchnevich,LW,54,20,28,48,5.7,16,1,3,2,20,7,1,120,16.7,1012,18:44,29,49,4,14,22.2,3250000,2581288.0
36,Brayden Point,C,56,23,25,48,5.8,17,6,0,6,16,9,0,131,17.6,1032,18:26,18,23,257,263,49.4,6750000,6124233.0
37,Adam Fox,D,55,5,42,47,7.8,2,2,1,1,20,21,1,102,4.9,1359,24:42,102,23,0,1,0.0,925000,227760.0
38,Elias Lindholm,C,56,19,28,47,5.4,13,6,0,4,17,10,1,130,14.6,1114,19:54,34,53,509,482,51.4,4850000,4200920.0
39,Nikolaj Ehlers,LW,47,21,25,46,6.2,15,6,0,5,18,7,0,148,14.2,795,16:55,12,26,1,0,100.0,6000000,5365030.0
40,J.T. Miller,C,53,15,31,46,4.5,11,3,1,4,16,15,0,106,14.2,1111,20:58,24,90,279,247,53.0,5250000,4605828.0
