,PLAYER,Pos,GP,G,A,PTS,PS,EV,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,CAP HIT,exchange cap
0,Sidney Crosby,C,79,36,84,120,13.3,23,13,0,4,36,48,0,250,14.4,1640,20:46,850000,750000
1,Joe Thornton,C,82,22,92,114,12.2,12,10,0,5,48,44,0,213,10.3,1666,20:19,6666666,11656248
2,Vincent Lecavalier,C,82,52,56,108,13.4,31,16,5,7,32,20,4,339,15.3,1854,22:36,6875000,12046875
3,Dany Heatley,RW,82,50,55,105,13.4,30,17,3,10,32,22,1,310,16.1,1725,21:02,4500000,7593750
4,Jaromír Jágr,RW,82,30,66,96,11,23,7,0,5,32,34,0,324,9.3,1784,21:46,7920000,14006250
5,Marc Savard,C,82,22,74,96,8.7,11,10,1,3,35,39,0,221,10,1658,20:13,5000000,8531250
6,Daniel Brière,C,81,32,63,95,10,23,9,0,6,42,21,0,234,13.7,1564,19:19,5000000,8531250
7,Alex Ovechkin,LW,82,46,46,92,10.5,30,16,0,8,25,21,0,392,11.7,1754,21:23,984200,1001625
8,Olli Jokinen,C,82,39,52,91,10.8,29,9,1,8,33,19,0,351,11.1,1684,20:32,5250000,9000000
9,Pavel Datsyuk,C,79,27,60,87,10.5,20,5,2,5,35,24,1,207,13,1577,19:57,3900000,6468750
10,Jason Spezza,C,67,34,53,87,10.4,20,13,1,5,32,20,1,162,21,1292,19:17,4500000,7593750
11,Evgeni Malkin,LW,78,33,52,85,9.4,17,16,0,6,28,24,0,242,13.6,1494,19:10,984200,1001625
12,Thomas Vanek,LW,82,43,41,84,11.6,28,15,0,5,34,7,0,237,18.1,1376,16:47,942400,923250
13,Michael Nylander,C,79,26,57,83,9,12,14,0,4,34,23,0,193,13.5,1610,20:23,2026667,2956250
14,Ray Whitney,LW,81,32,51,83,9,26,6,0,6,27,24,0,215,14.9,1515,18:42,0,-843750
15,Rod Brind'Amour,C,78,26,56,82,8.2,15,9,2,5,32,21,3,181,14.4,1819,23:19,3600000,5906250
16,Alex Tanguay,LW,81,22,59,81,8.2,17,5,0,0,43,16,0,107,20.6,1431,17:40,5250000,9000000
17,Mike Cammalleri,C,81,34,46,80,9.1,18,16,0,5,25,21,0,299,11.4,1462,18:03,1700000,2343750
18,Patrick Marleau,C,77,32,46,78,9.4,18,14,0,9,23,23,0,180,17.8,1429,18:34,4166667,6968750
19,Andy McDonald,C,82,27,51,78,8.9,19,8,0,3,26,25,0,252,10.7,1442,17:35,3333333,5406249
20,Paul Stastny,C,82,28,50,78,8.1,17,11,0,6,29,20,1,185,15.1,1490,18:10,643333,362499
21,Ilya Kovalchuk,LW,82,42,34,76,9,24,18,0,7,20,14,0,336,12.5,1750,21:21,6400000,11156250
22,Alexander Semin,LW,77,38,35,73,8.8,21,17,0,6,14,21,0,243,15.6,1417,18:24,1300000,1593750
23,Patrice Bergeron,C,77,22,48,70,5.8,8,14,0,6,22,24,2,224,9.8,1603,20:49,4750000,8062500
24,Brad Richards,C,82,25,45,70,5.6,12,12,1,3,23,21,1,272,9.2,1946,23:44,7800000,13781250
25,Eric Staal,C,82,30,40,70,7.1,17,12,1,1,26,14,0,288,10.4,1650,20:08,4500000,7593750
26,Jason Blake,LW,82,40,29,69,8.3,26,14,0,7,21,8,0,305,13.1,1488,18:09,0,-843750
27,Jonathan Cheechoo,RW,76,37,32,69,9.2,22,15,0,5,17,15,0,250,14.8,1334,17:34,3000000,4781250
28,Chris Drury,C,77,37,32,69,7.5,17,17,3,9,22,10,0,199,18.6,1446,18:47,2382500,3623437
29,Jason Pominville,RW,82,34,34,68,8.1,30,2,2,5,21,11,2,212,16,1428,17:25,1033333,1093749
30,Ryan Smyth,LW,71,36,32,68,8.4,20,15,1,5,24,7,1,210,17.1,1472,20:44,3500000,5718750
31,Henrik Zetterberg,LW,63,33,35,68,9.2,21,11,1,10,20,13,2,224,14.7,1313,20:50,2650000,4125000
32,Sergei Gonchar,D,82,13,54,67,9.6,2,10,1,3,14,38,2,191,6.8,2178,26:34:00,5000000,8531250
33,Justin Williams,RW,82,33,34,67,6.8,19,12,2,8,19,12,3,258,12.8,1710,20:51,3500000,5718750
34,Brian Rolston,RW,78,31,33,64,7.6,17,13,1,6,11,21,1,305,10.2,1659,21:16,0,-843750
35,Sheldon Souray,D,81,26,38,64,9.5,6,19,1,6,7,29,2,224,11.6,1878,23:11,2318000,3502500
36,Dan Boyle,D,82,20,43,63,10.4,9,10,1,4,16,27,0,203,9.9,2202,26:51:00,3333333,5406249
37,David Legwand,C,78,27,36,63,7.3,23,3,1,7,27,7,2,153,17.6,1432,18:22,1875000,2671875
38,Derek Roy,C,75,21,42,63,6.8,14,6,1,3,33,8,1,130,16.2,1385,18:28,627000,331875
39,Nathan Horton,C,82,31,31,62,7.3,23,7,1,3,25,6,0,217,14.3,1481,18:04,1100000,1218750
