,PLAYER,Pos,GP,G,A,PTS,PS,EV,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,CAP HIT,exchange cap
40,Zach Parise,LW,82,31,31,62,7.2,22,9,0,7,18,13,0,247,12.6,1438,17:32,468667,35000
41,Erik Cole,LW,71,29,32,61,7.1,20,9,0,4,22,9,1,166,17.5,1279,18:01,4000000,6656250
42,Scott Gomez,C,72,13,47,60,5.7,9,4,0,1,28,19,0,248,5.2,1363,18:56,5000000,8531250
43,Chris Kunitz,LW,81,25,35,60,7.2,14,11,0,5,26,9,0,180,13.9,1381,17:03,1056250,1136718
44,Jamie Langenbrunner,RW,82,23,37,60,5.9,11,12,0,7,27,10,0,243,9.5,1522,18:33,2800000,4406250
45,Steve Sullivan,RW,57,22,38,60,6.9,13,6,3,4,20,17,1,122,18,1107,19:25,3200000,5156250
46,Dainius Zubrus,RW,79,24,36,60,5,14,10,0,4,23,13,0,158,15.2,1540,19:29,1850000,2625000
47,Mike Ribeiro,C,81,18,41,59,6.3,12,6,0,3,20,21,0,111,16.2,1210,14:56,1900000,2718750
48,Doug Weight,C,82,16,43,59,5.3,11,5,0,3,28,15,0,123,13,1500,18:17,0,-843750
49,Ryan Whitney,D,81,14,45,59,9.8,5,9,0,2,20,24,1,129,10.9,1939,23:56,900600,844875
50,Ryan Getzlaf,C,82,25,33,58,7,13,11,1,6,13,20,0,203,12.3,1235,15:04,739733,543249
51,Michael Ryder,RW,82,30,28,58,6,11,17,2,3,11,17,0,221,13.6,1335,16:17,2200000,3281250
52,Keith Tkachuk,LW,79,27,31,58,6.6,17,10,0,4,21,9,1,196,13.8,1382,17:29,0,-843750
53,Pierre-Marc Bouchard,C,82,20,37,57,6.6,15,5,0,3,18,19,0,173,11.6,1311,15:59,0,-843750
54,Martin Erat,LW,68,16,41,57,5.5,10,5,1,3,28,13,0,132,12.1,1290,18:59,1675000,2296875
55,Marián Gáborík,RW,48,30,27,57,8.1,17,12,1,7,17,10,0,196,15.3,942,19:38,6333333,11031249
56,Bryan McCabe,D,82,15,42,57,8.6,4,11,0,1,19,23,0,207,7.2,2200,26:50:00,5750000,9937500
57,Rick Nash,LW,75,27,30,57,6,17,9,1,5,15,13,2,228,11.8,1440,19:12,5400000,9281250
58,Bill Guerin,RW,77,36,20,56,7.5,27,9,0,7,13,7,0,225,16,1309,17:00,2400000,3656250
59,Shane Doan,RW,73,27,28,55,5.2,16,11,0,7,16,12,0,209,12.9,1493,20:27,2128000,3146250
60,Brian Rafalski,D,82,8,47,55,10.4,4,3,1,4,20,27,0,148,5.4,2056,25:04:00,0,-843750
61,Kimmo Timonen,D,80,13,42,55,9.9,5,8,0,2,23,18,1,121,10.7,1748,21:51,1687500,2320312
62,Jason Arnott,C,68,27,27,54,6.5,15,12,0,6,19,8,0,190,14.2,1223,17:59,4500000,7593750
63,Mikko Koivu,C,82,20,34,54,5.8,9,9,2,2,23,10,1,162,12.3,1433,17:29,902500,848437
64,Mathieu Schneider,D,68,11,41,52,9.1,8,2,1,2,12,29,0,184,6,1603,23:35,0,-843750
65,Lee Stempniak,RW,82,27,25,52,5.8,19,8,0,4,14,11,0,166,16.3,1207,14:43,517500,126562
66,Shawn Horcoff,C,80,16,35,51,3.6,11,5,0,5,17,18,0,168,9.5,1666,20:50,3600000,5906250
67,Scott Walker,RW,81,21,30,51,4.7,15,6,0,6,24,6,0,183,11.5,1310,16:10,0,-843750
68,Dion Phaneuf,D,79,17,33,50,8.8,4,13,0,4,15,18,0,230,7.4,2011,25:28:00,785333,628749
69,Wojtek Wolski,LW,76,22,28,50,5.2,15,7,0,2,17,10,1,165,13.3,1180,15:31,942800,924000
70,Alexei Yashin,C,58,18,32,50,5.2,13,5,0,3,16,16,0,203,8.9,990,17:04,7415100,13059562
71,Andrei Markov,D,77,6,43,49,8.1,1,5,0,2,13,27,3,128,4.7,1885,24:29:00,2500000,3843750
72,Sean Avery,LW,84,18,30,48,4.2,15,2,1,2,16,13,1,249,7.2,1444,17:11,0,-843750
73,Brian Campbell,D,82,6,42,48,7.6,5,1,0,1,33,8,1,92,6.5,1794,21:53,1500000,1968750
74,Mike Fisher,C,68,22,26,48,5.1,13,7,2,3,19,5,2,193,11.4,1253,18:25,1500000,1968750
75,Michel Ouellet,RW,73,19,29,48,4.9,8,11,0,2,21,8,0,148,12.8,973,13:20,0,-843750
76,Stephen Weiss,C,74,20,28,48,4.5,10,10,0,1,15,11,2,176,11.4,1266,17:07,900000,843750
77,Brad Boyes,C,81,17,29,46,3.6,15,1,1,2,20,8,1,182,9.3,1327,16:23,1500000,1968750
78,Dustin Brown,LW,81,17,29,46,2.8,4,13,0,1,16,12,1,195,8.7,1516,18:43,1175000,1359375
79,Peter Schaefer,LW,77,12,34,46,3.5,7,5,0,2,25,8,1,132,9.1,1288,16:44,2100000,3093750
80,Mike Comrie,C,65,20,25,45,4.7,13,7,0,3,17,8,0,125,16,991,15:15,0,-843750
81,Brian Gionta,RW,62,25,20,45,5.3,14,11,0,4,13,7,0,194,12.9,1167,18:49,4000000,6656250
82,Glen Murray,RW,59,28,17,45,5.3,16,12,0,4,11,6,0,201,13.9,1106,18:45,4150000,6937500
83,Dustin Penner,RW,82,29,16,45,5.5,20,9,0,5,9,7,0,204,14.2,1147,13:59,478500,53437
84,John-Michael Liles,D,71,14,30,44,6.8,6,8,0,3,10,20,0,128,10.9,1261,17:46,1325000,1640625
85,Corey Perry,RW,82,17,27,44,4.9,13,4,0,3,11,16,0,194,8.8,1022,12:28,614333,308124
86,Bryan Smolinski,C,82,18,26,44,4.2,8,6,4,3,19,6,1,163,11,1475,17:59,0,-843750
87,Kevin Bieksa,D,81,12,30,42,8.6,6,6,0,2,17,13,0,203,5.9,1966,24:16:00,525000,140625
88,Jay Bouwmeester,D,82,12,30,42,8.7,9,3,0,3,22,8,0,174,6.9,2128,25:57:00,2175000,3234375
89,Gary Roberts,LW,69,20,22,42,4.1,14,6,0,4,13,9,0,125,16,1154,16:43,0,-843750
90,Jordan Staal,C,81,29,13,42,5.6,18,4,7,4,9,2,2,131,22.1,1210,14:56,850000,750000
91,Kyle Wellwood,C,48,12,30,42,4,5,7,0,2,16,14,0,99,12.1,798,16:38,875000,796875
92,Travis Zajac,C,80,17,25,42,4.2,11,6,0,2,19,6,0,134,12.7,1283,16:03,984200,1001625
93,Matt Cullen,C,80,16,25,41,3.5,11,2,3,2,18,5,2,217,7.4,1373,17:10,2875000,4546875
94,Radim Vrbata,RW,77,14,27,41,3.3,9,5,0,2,20,6,1,215,6.5,1300,16:53,1225000,1453125
95,Daniel Cleary,RW,71,20,20,40,4.5,12,6,2,5,17,2,1,135,14.8,1098,15:28,662500,398437
96,Randy Robitaille,C,78,11,29,40,2.9,8,3,0,1,23,6,0,120,9.2,1103,14:08,0,-843750
97,Michal Rozsíval,D,80,10,30,40,8.3,3,7,0,3,15,13,2,104,9.6,1902,23:46,2100000,3093750
98,Shea Weber,D,79,17,23,40,8.1,11,6,0,2,14,8,1,152,11.2,1532,19:23,610333,300624
99,Scott Hartnell,RW,64,22,17,39,5,12,10,0,2,15,1,1,150,14.7,1006,15:43,1750000,2437500
100,Mark Parrish,RW,76,19,20,39,4.8,14,5,0,4,14,6,0,141,13.5,1089,14:20,2650000,4125000
101,Matt Stajan,C,82,10,29,39,2.4,8,1,1,1,23,6,0,132,7.6,1324,16:09,875000,796875
102,Jarret Stoll,C,51,13,26,39,4.1,6,6,1,2,14,11,1,115,11.3,928,18:12,2200000,3281250
103,Antoine Vermette,C,77,19,20,39,3.3,14,2,3,2,16,3,1,151,12.6,1210,15:42,1000000,1031250
104,Yanic Perreault,C,66,21,17,38,4.1,14,7,0,5,12,5,0,125,16.8,1026,15:33,0,-843750
105,Tom Preissing,D,80,7,31,38,8.1,4,3,0,0,16,15,0,94,7.4,1220,15:15,0,-843750
106,Tuomo Ruutu,C,71,17,21,38,3.8,16,1,0,1,14,7,0,115,14.8,1232,17:21,1875000,2671875
107,Alexei Zhitnik,D,79,7,31,38,6.4,4,3,0,2,19,11,1,132,5.3,1904,24:06:00,3503750,5725781
108,Jeff Carter,C,62,14,23,37,2.6,9,3,2,1,18,4,1,215,6.5,1178,19:00,942400,923250
109,Craig Conroy,C,80,13,24,37,2.6,8,4,1,2,18,5,1,112,11.6,1253,15:40,1795500,2522812
110,Joe Corvo,D,76,8,29,37,5.6,5,3,0,2,17,12,0,160,5,1373,18:04,2625000,4078125
111,Filip Kuba,D,81,15,22,37,6.3,9,5,1,2,8,13,1,106,14.2,1637,20:12,3000000,4781250
112,Alexander Radulov,RW,64,18,19,37,4.9,13,5,0,4,13,6,0,96,18.8,745,11:38,885766,817061
113,Sami Salo,D,67,14,23,37,9.1,9,5,0,6,10,13,0,143,9.8,1437,21:27,1500000,1968750
114,Jason Chimera,LW,82,15,21,36,3.3,11,2,2,2,19,2,0,151,9.9,1260,15:22,875000,796875
115,Jay McClement,C,81,8,28,36,2.5,8,0,0,0,25,1,2,104,7.7,1125,13:53,675000,421875
116,Wade Redden,D,64,7,29,36,4.8,3,4,0,3,14,15,0,122,5.7,1466,22:54,6500000,11343750
117,Oleg Saprykin,LW,71,15,21,36,3.8,13,2,0,2,19,2,0,150,10,885,12:28,0,-843750
118,Mark Streit,D,76,10,26,36,5.7,7,2,1,1,14,12,0,102,9.8,1065,14:01,600000,281250
119,Chris Gratton,C,81,13,22,35,3,12,1,0,1,21,1,0,131,9.9,980,12:06,0,-843750
120,Patrick Sharp,RW,80,20,15,35,2.8,12,5,3,1,14,0,1,160,12.5,1366,17:04,775000,609375
121,Alexander Steen,C,82,15,20,35,2.7,11,4,0,5,16,3,1,192,7.8,1287,15:42,770200,600375
122,Ryane Clowe,LW,58,16,18,34,4.1,12,4,0,3,15,3,0,93,17.2,765,13:11,541667,171875
123,Ron Hainsey,D,80,9,25,34,5.5,2,7,0,0,9,16,0,136,6.6,1831,22:53,737500,539062
124,Mikael Samuelsson,RW,53,14,20,34,3.6,8,6,0,2,12,8,0,189,7.4,803,15:09,1200000,1406250
125,Raffi Torres,LW,82,15,19,34,3.1,14,1,0,0,19,0,0,154,9.7,1175,14:19,875000,796875
126,Christian Ehrhoff,D,82,10,23,33,7.3,4,6,0,2,11,12,0,164,6.1,1523,18:34,850000,750000
127,Glen Metropolit,C,77,14,19,33,3.5,9,5,0,2,16,3,0,123,11.4,931,12:05,0,-843750
128,Patrick Eaves,RW,73,14,18,32,2.8,10,3,1,1,15,3,0,130,10.8,892,12:13,942133,922749
129,John Madden,C,74,12,20,32,2.2,12,0,0,1,15,3,2,153,7.8,1397,18:53,2938500,4665937
130,Matt Pettinger,LW,64,16,16,32,2.5,9,4,3,2,8,6,2,111,14.4,1081,16:53,1000000,1031250
131,Mike Richards,C,59,10,22,32,2,5,1,4,3,17,5,0,130,7.7,1052,17:50,942400,923250
132,Ruslan Salei,D,82,6,26,32,4,4,2,0,0,8,18,0,148,4.1,1913,23:20,3025000,4828125
133,Jason Williams,C,78,15,17,32,2.8,9,5,1,2,14,3,0,149,10.1,1203,15:26,1600000,2156250
134,Nikolai Zherdev,RW,71,10,22,32,1.7,7,3,0,2,13,9,0,164,6.1,1152,16:13,2500000,3843750
135,Steve Bernier,RW,62,15,16,31,3.6,9,6,0,4,8,8,0,104,14.4,842,13:35,850000,750000
136,Duncan Keith,D,82,2,29,31,5.6,2,0,0,0,23,4,2,122,1.6,1935,23:36,1475000,1921875
137,Ryan Malone,LW,64,16,15,31,3,14,1,1,0,10,4,1,125,12.8,1040,16:15,0,-843750
138,Brenden Morrow,LW,40,16,15,31,3.7,8,8,0,3,11,4,0,101,15.8,731,18:16,2050000,3000000
139,Tony Amonte,RW,81,10,20,30,1.7,8,1,1,1,17,2,1,139,7.2,1146,14:09,0,-843750
140,Matt Cooke,LW,81,10,20,30,2.1,9,1,0,3,15,3,2,133,7.5,1264,15:37,1508333,1984374
141,Rostislav Olesz,C,75,11,19,30,2,9,2,0,2,17,1,1,164,6.7,1163,15:30,0,-843750
142,Eric Brewer,D,82,6,23,29,4.4,4,2,0,1,16,6,1,111,5.4,2011,24:32:00,2014000,2932500
143,Mike Commodore,D,82,7,22,29,5.3,5,0,2,1,18,1,3,136,5.1,1631,19:54,1250000,1500000
144,Boyd Gordon,RW,71,7,22,29,2,5,0,2,0,18,0,4,104,6.7,1127,15:53,650000,375000
145,Niklas Hagman,LW,82,17,12,29,3.2,14,2,1,2,9,3,0,152,11.2,1183,14:26,0,-843750
146,Ed Jovanovski,D,54,11,18,29,4.9,5,6,0,1,9,8,1,135,8.1,1250,23:09,6500000,11343750
147,Phil Kessel,RW,70,11,18,29,2,10,1,0,0,14,4,0,170,6.5,984,14:04,850000,750000
148,Guillaume Latendresse,RW,80,16,13,29,2.2,11,5,0,3,8,5,0,121,13.2,1008,12:36,850000,750000
149,Geoff Sanderson,LW,58,11,18,29,2.1,8,3,0,2,13,4,1,143,7.7,811,13:59,0,-843750
150,Anson Carter,RW,64,11,17,28,2.4,7,4,0,1,13,4,0,70,15.7,901,14:05,0,-843750
151,Andy Hilbert,C,81,8,20,28,2.2,8,0,0,1,19,0,1,164,4.9,931,11:30,0,-843750
152,Chad Kilger,LW,82,14,14,28,1.6,13,0,1,2,14,0,0,141,9.9,1189,14:30,0,-843750
153,Joffrey Lupul,RW,81,16,12,28,1.5,11,5,0,1,9,3,0,172,9.3,1263,15:36,2311667,3490625
154,Chris Neil,RW,82,12,16,28,2,9,3,0,3,14,2,0,139,8.6,1076,13:08,1100000,1218750
155,Joe Pavelski,C,46,14,14,28,3.4,9,5,0,3,8,6,0,111,12.6,691,15:02,780000,618750
156,Brian Pothier,D,72,3,25,28,3.5,1,2,0,0,12,13,0,118,2.5,1727,23:59,2500000,3843750
157,Paul Ranger,D,72,4,24,28,5.1,4,0,0,2,18,5,1,90,4.4,1463,20:19,0,-843750
158,Jeremy Roenick,C,70,11,17,28,1.5,7,4,0,1,13,4,0,89,12.4,973,13:54,0,-843750
159,Brent Sopel,D,64,5,23,28,5.1,3,2,0,2,16,6,1,131,3.8,1297,20:16,0,-843750
160,R.J. Umberger,C,81,16,12,28,1.2,12,2,2,1,8,1,3,134,11.9,1178,14:32,1150000,1312500
161,Keith Ballard,D,69,5,22,27,4.2,3,2,0,0,12,9,1,79,6.3,1518,22:00,600400,282000
162,Dan Fritsche,C,59,12,15,27,2.8,6,5,1,4,12,3,0,81,14.8,828,14:02,0,-843750
163,Barret Jackman,D,70,3,24,27,5.8,2,1,0,1,22,1,1,86,3.5,1505,21:30,912000,866250
164,Jay Pandolfo,LW,82,13,14,27,1.7,12,0,1,1,13,0,1,109,11.9,1526,18:37,836000,723750
165,Chris Simon,LW,67,10,17,27,3,8,2,0,0,15,2,0,82,12.2,737,11:00,0,-843750
166,Drew Stafford,RW,41,13,14,27,3,10,3,0,3,13,1,0,67,19.4,539,13:08,984200,1001625
167,Vernon Fiddler,C,72,11,15,26,2.3,10,0,1,1,15,0,0,90,12.2,981,13:38,450000,0
168,Paul Martin,D,82,3,23,26,6,2,1,0,0,18,5,0,84,3.6,2068,25:13:00,2000000,2906250
169,Marc-Édouard Vlasic,D,81,3,23,26,6.6,1,2,0,0,12,10,1,66,4.5,1798,22:12,735000,534375
170,Ian White,D,76,3,23,26,4.2,2,1,0,1,18,5,0,138,2.2,1408,18:32,0,-843750
171,Brent Burns,D,77,7,18,25,6.6,4,3,0,3,13,4,1,108,6.5,1216,15:48,825000,703125
172,Jeff Halpern,C,76,8,17,25,1.3,7,1,0,4,14,3,0,106,7.5,1277,16:48,2000000,2906250
173,Sami Kapanen,RW,77,11,14,25,0.6,8,1,2,1,11,1,2,129,8.5,1307,16:58,0,-843750
174,Manny Malhotra,C,82,9,16,25,1.2,7,2,0,3,16,0,0,109,8.3,1214,14:48,1200000,1406250
175,Antti Miettinen,RW,74,11,14,25,2,5,6,0,1,12,2,0,141,7.8,1060,14:20,0,-843750
176,Derek Morris,D,82,6,19,25,3.4,4,2,0,1,9,10,0,129,4.7,1680,20:29,3916667,6500000
177,Christoph Schubert,D,80,8,17,25,6,7,1,0,1,16,1,0,97,8.2,898,11:13,0,-843750
178,Dennis Wideman,D,75,6,19,25,3.7,2,4,0,1,8,11,0,122,4.9,1458,19:26,472800,42750
179,Scott Hannan,D,79,4,20,24,5.6,3,0,1,1,15,5,0,79,5.1,1803,22:49,1437667,1851875
180,Jamie Heward,D,71,6,18,24,4.2,3,3,0,1,10,7,1,75,8,1226,17:16,0,-843750
181,Martin Lapointe,RW,82,13,11,24,1.3,7,5,1,2,10,1,0,102,12.7,1147,13:59,0,-843750
182,Georges Laraque,RW,73,5,19,24,1.9,4,1,0,0,17,2,0,44,11.4,705,9:39,0,-843750
183,Brent Seabrook,D,81,4,20,24,4.3,4,0,0,0,14,4,2,144,2.8,1683,20:46,942400,923250
184,Ryan Suter,D,82,8,16,24,5.4,7,1,0,0,6,8,2,87,9.2,1652,20:09,785333,628749
185,Maxime Talbot,C,75,13,11,24,1.7,9,0,4,4,10,1,0,88,14.8,1042,13:54,357000,-174375
186,David Backes,C,49,10,13,23,2.4,8,2,0,2,12,1,0,89,11.2,657,13:25,765000,590625
187,Paul Mara,D,78,5,18,23,3.6,4,1,0,0,5,13,0,100,5,1726,22:08,0,-843750
188,Paul Gaustad,C,54,9,13,22,1.9,6,3,0,0,7,5,1,75,12,719,13:19,712500,492187
189,Rostislav Klesla,D,75,9,13,22,4.6,7,2,0,0,10,3,0,159,5.7,1718,22:54,1600000,2156250
190,Tom Kostopoulos,RW,76,7,15,22,1.3,7,0,0,0,14,0,1,90,7.8,879,11:34,0,-843750
191,Niklas Kronwall,D,68,1,21,22,3.8,0,1,0,0,16,5,0,104,1,1404,20:39,990000,1012500
192,Jamal Mayers,RW,80,8,14,22,0.1,6,0,2,0,14,0,0,129,6.2,1170,14:37,0,-843750
193,Wayne Primeau,C,78,10,12,22,0.8,6,2,2,3,11,1,0,107,9.3,1056,13:33,0,-843750
194,Brad Richardson,RW,73,14,8,22,2,11,0,3,3,8,0,0,129,10.9,961,13:10,558333,203124
195,Brad Stuart,D,75,7,15,22,3.8,6,1,0,2,13,1,1,109,6.4,1716,22:53,2150000,3187500
196,Mark Bell,LW,71,11,10,21,1.5,8,3,0,2,6,4,0,116,9.5,920,12:57,0,-843750
197,Niclas Hävelid,D,77,3,18,21,3.7,2,1,0,1,10,7,1,82,3.7,1946,25:16:00,2700000,4218750
198,Pavel Kubina,D,61,7,14,21,4,3,4,0,1,10,4,0,97,7.2,1300,21:19,5000000,8531250
199,Andrew Ladd,LW,65,11,10,21,2.1,9,2,0,3,9,1,0,109,10.1,728,11:12,984200,1001625
200,Robyn Regehr,D,78,2,19,21,5.4,2,0,0,0,12,5,2,66,3,1709,21:55,1374800,1734000
201,Darryl Sydor,D,74,5,16,21,5,3,2,0,1,12,4,0,75,6.7,1491,20:09,0,-843750
202,Mike York,LW,66,10,11,21,0.9,8,2,0,2,10,1,0,87,11.5,825,12:30,0,-843750
203,Ben Clymer,D,66,7,13,20,2.1,7,0,0,0,6,7,0,78,9,920,13:57,866667,781250
204,Hal Gill,D,82,6,14,20,4.2,6,0,0,1,13,0,1,79,7.6,1549,18:53,2075000,3046875
205,Dan Hamhuis,D,81,6,14,20,4.7,6,0,0,1,14,0,0,84,7.1,1728,21:20,2000000,2906250
206,Pascal Dupuis,LW,71,14,5,19,1,10,2,2,1,3,1,1,156,9,1103,15:32,798000,652500
207,Loui Eriksson,LW,59,6,13,19,1.3,4,2,0,0,10,3,0,78,7.7,778,13:11,641667,359375
208,Mike Komisarek,D,82,4,15,19,4.8,2,0,2,1,13,0,2,78,5.1,1580,19:16,0,-843750
209,Toni Lydman,D,67,2,17,19,2.8,2,0,0,1,14,2,1,44,4.5,1380,20:36,2875000,4546875
210,Anton Volchenkov,D,78,1,18,19,5.4,1,0,0,0,13,1,4,85,1.2,1660,21:17,1300000,1593750
211,Jason Ward,RW,70,8,11,19,0.7,7,0,1,1,9,1,1,108,7.4,883,12:37,0,-843750
212,Marcel Hossa,LW,64,10,8,18,1.4,7,3,0,2,6,1,1,83,12,797,12:27,0,-843750
213,Brooks Laich,C,73,8,10,18,0.7,3,2,3,0,8,1,1,119,6.7,993,13:36,606100,292687
214,Chad Larose,C,80,6,12,18,1,4,0,2,0,10,0,2,94,6.4,817,10:13,0,-843750
215,Brett Lebda,D,74,5,13,18,4.8,4,1,0,2,13,0,0,107,4.7,1103,14:54,650000,375000
216,Rene Bourque,LW,44,7,10,17,1.1,4,2,1,1,8,2,0,82,8.5,705,16:01,825000,703125
217,Steve Eminger,D,68,1,16,17,1.6,1,0,0,0,13,0,3,27,3.7,1288,18:56,0,-843750
218,Valtteri Filppula,C,73,10,7,17,1.6,10,0,0,1,7,0,0,76,13.2,822,11:16,733333,531249
219,Dominic Moore,C,69,8,9,17,1.1,8,0,0,1,9,0,0,111,7.2,873,12:39,700000,468750
220,Tony Salmelainen,LW,57,6,11,17,1.3,6,0,0,1,10,1,0,54,11.1,563,9:52,750000,562500
221,Brian Sutherby,C,69,7,10,17,0.3,6,1,0,0,10,0,0,87,8,945,13:41,0,-843750
222,David Tanabe,D,60,5,12,17,3.7,3,2,0,0,8,4,0,83,6,1068,17:48,0,-843750
223,Ryan Kesler,C,48,6,10,16,1.1,6,0,0,0,10,0,0,88,6.8,789,16:26,1900000,2718750
224,Steve McCarthy,D,46,4,12,16,2.9,1,3,0,0,4,8,0,51,7.8,703,15:17,0,-843750
225,Andy Sutton,D,55,2,14,16,3.1,1,0,1,0,13,1,0,51,3.9,1070,19:28,0,-843750
226,Aaron Ward,D,80,4,12,16,3.2,4,0,0,0,12,0,0,62,6.5,1614,20:11,0,-843750
227,Andrew Ference,D,80,3,12,15,3.5,2,1,0,0,6,4,2,80,3.8,1580,19:45,750000,562500
228,Craig Adams,RW,82,7,7,14,0.4,6,0,1,1,6,0,1,71,9.9,826,10:04,600000,281250
229,Anton Babchuk,D,52,2,12,14,2,2,0,0,2,8,3,1,63,3.2,906,17:26,0,-843750
230,Peter Bondra,RW,37,5,9,14,1.3,3,2,0,3,8,1,0,46,10.9,445,12:01,0,-843750
231,Francis Bouillon,D,62,3,11,14,2.3,2,1,0,1,9,1,1,56,5.4,1135,18:19,1875000,2671875
232,Todd Fedoruk,LW,58,3,11,14,0.5,3,0,0,0,11,0,0,30,10,509,8:47,450000,0
233,Fedor Tyutin,D,66,2,12,14,2.7,0,1,1,0,10,1,1,75,2.7,1322,20:02,987500,1007812
234,Brendan Witt,D,81,1,13,14,3.7,1,0,0,0,13,0,0,75,1.3,1753,21:39,2766667,4343750
235,Matt Bradley,RW,57,4,9,13,0.3,4,0,0,0,8,0,1,77,5.2,679,11:55,700000,468750
236,Donald Brashear,LW,77,4,9,13,0.6,4,0,0,0,8,1,0,47,8.5,614,7:58,0,-843750
