,PLAYER,Pos,GP,G,A,PTS,PS,EV,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,CAP HIT,exchange cap
230,Ryane Clowe,RW,18,0,2,2,-0.2,0,0,0,0,2,0,0,14,0.0,174,9:40,541667,193910.0
231,Mark Stuart,D,17,1,1,2,0.5,1,0,0,0,1,0,0,9,11.1,302,17:46,942400,1041615.0
232,Jeff Woywitka,D,26,0,2,2,-0.3,0,0,0,0,2,0,0,23,0.0,277,10:38,0,-951923.0
233,Greg Zanon,D,4,0,2,2,0.3,0,0,0,0,1,0,1,3,0.0,69,17:19,450000,0.0
234,Michal Barinka,D,25,0,1,1,-0.1,0,0,0,0,1,0,0,19,0.0,366,14:38,0,-951923.0
235,Mike Brown,LW,2,0,1,1,0.1,0,0,0,0,1,0,0,1,0.0,12,5:52,500000,105769.0
236,Braydon Coburn,D,9,0,1,1,0.0,0,0,0,0,0,1,0,4,0.0,69,7:43,746100,626365.0
237,Valtteri Filppula,C,4,0,1,1,0.1,0,0,0,0,1,0,0,1,0.0,29,7:19,733333,599358.0
238,Boyd Gordon,RW,25,0,1,1,-0.6,0,0,0,0,1,0,0,12,0.0,292,11:40,0,-951923.0
239,Branislav Mezei,D,16,0,1,1,0.5,0,0,0,0,1,0,0,13,0.0,308,19:17,0,-951923.0
240,Douglas Murray,D,34,0,1,1,0.8,0,0,0,0,1,0,0,21,0.0,472,13:53,0,-951923.0
241,Scott Parker,LW,10,1,0,1,0.2,1,0,0,0,0,0,0,6,16.7,56,5:39,0,-951923.0
242,Danny Richmond,D,20,0,1,1,-0.2,0,0,0,0,1,0,0,13,0.0,226,11:18,0,-951923.0
243,Cam Barker,D,1,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,11,11:02,984200,1130038.0
244,Eric Fehr,RW,11,0,0,0,-0.1,0,0,0,0,0,0,0,10,0.0,63,5:45,894933,941204.0
245,Cam Janssen,RW,47,0,0,0,-0.5,0,0,0,0,0,0,0,10,0.0,222,4:44,450000,0.0
246,Kevin Klein,D,2,0,0,0,0.0,0,0,0,0,0,0,0,0,,27,13:40,441333,-18334.0
247,Maxim Lapierre,C,1,0,0,0,0.0,0,0,0,0,0,0,0,0,,3,3:04,583333,282050.0
248,Kyle Quincey,D,1,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,12,11:37,520000,148076.0
249,Ole-Kristian Tollefsen,D,5,0,0,0,-0.1,0,0,0,0,0,0,0,3,0.0,82,16:18,511800,130730.0
