,PLAYER,Pos,GP,G,A,PTS,PS,EV,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CAP HIT,exchange cap
0,Corey Perry,RW,82,50,48,98,13.3,32,14,4,11,30,17,1,290,17.2,1830,22:19,41,64,9,13,40.9,5325000,6701388.0
1,Steven Stamkos,C,82,45,46,91,12.2,28,17,0,8,27,19,0,272,16.5,1656,20:12,37,84,431,496,46.5,875000,520833.0
2,Alex Ovechkin,LW,79,32,53,85,11.1,25,7,0,11,36,17,0,367,8.7,1688,21:22,23,239,6,12,33.3,9538462,12553419.0
3,Henrik Zetterberg,C,80,24,56,80,8.2,14,10,0,3,35,20,1,306,7.8,1567,19:35,19,38,516,468,52.4,6083333,7754629.0
4,Brad Richards,C,72,28,49,77,9.0,21,7,0,3,27,22,0,272,10.3,1564,21:43,22,20,501,489,50.6,7800000,10138888.0
5,Ryan Getzlaf,C,67,19,57,76,8.4,12,7,0,4,37,20,0,117,16.2,1464,21:51,57,189,542,641,45.8,5325000,6701388.0
6,Claude Giroux,RW,82,25,51,76,8.8,14,8,3,5,36,11,4,169,14.8,1591,19:24,44,117,548,547,50.0,821667,446759.0
7,Eric Staal,C,81,33,43,76,8.4,18,12,3,8,26,17,0,296,11.1,1777,21:56,31,80,827,901,47.9,8250000,10763888.0
8,Jonathan Toews,C,80,32,44,76,9.8,21,10,1,8,28,15,1,233,13.7,1661,20:46,28,74,937,716,56.7,6300000,8055555.0
9,Loui Eriksson,LW,79,27,46,73,8.8,16,10,1,6,29,15,2,179,15.1,1625,20:34,46,26,1,3,25.0,4250000,5208333.0
10,Patrick Kane,RW,73,27,46,73,8.6,22,5,0,2,27,19,0,216,12.5,1408,19:17,17,17,2,12,14.3,6300000,8055555.0
11,Ryan Kesler,C,82,41,32,73,10.4,23,15,3,7,16,15,1,260,15.8,1681,20:30,80,124,859,637,57.4,5000000,6250000.0
12,Patrick Marleau,C,82,37,36,73,8.8,24,11,2,9,20,15,1,279,13.3,1705,20:47,31,86,288,261,52.5,6900000,8888888.0
13,Thomas Vanek,LW,80,32,41,73,9.1,21,11,0,5,24,17,0,238,13.4,1388,17:21,12,30,8,18,30.8,7142857,9226190.0
14,Mike Ribeiro,C,82,19,52,71,7.0,12,7,0,4,36,16,0,161,11.8,1637,19:58,33,95,565,648,46.6,5000000,6250000.0
15,Bobby Ryan,RW,82,34,37,71,9.2,28,5,1,5,32,5,0,270,12.6,1655,20:11,34,156,87,132,39.7,5100000,6388888.0
16,Patrick Sharp,C,74,34,37,71,8.8,20,12,2,6,22,14,1,268,12.7,1437,19:25,26,76,244,264,48.0,3900000,4722222.0
17,Joe Thornton,C,80,21,49,70,7.2,10,9,2,3,25,24,0,149,14.1,1590,19:52,35,56,675,565,54.4,7200000,9305555.0
18,Alex Tanguay,LW,79,22,47,69,7.1,19,3,0,2,30,17,0,120,18.3,1561,19:46,38,31,42,65,39.3,1700000,1666666.0
19,Daniel Brière,C,77,34,34,68,9.3,28,6,0,6,25,9,0,246,13.8,1410,18:19,17,36,395,425,48.2,6500000,8333333.0
20,Matt Duchene,C,80,27,40,67,7.1,24,3,0,2,28,12,0,202,13.4,1516,18:57,48,57,628,618,50.4,900000,555555.0
21,John Tavares,C,79,29,38,67,7.4,20,9,0,4,23,15,0,243,11.9,1521,19:15,23,21,681,616,52.5,900000,555555.0
22,Jeff Carter,C,80,36,30,66,9.5,28,8,0,7,21,9,0,335,10.7,1460,18:15,41,65,331,274,54.7,5000000,6250000.0
23,Sidney Crosby,C,41,32,34,66,10.1,21,10,1,3,25,9,0,161,19.9,899,21:55,23,31,546,435,55.7,8700000,11388888.0
24,Rick Nash,LW,75,32,34,66,8.1,26,6,0,7,26,8,0,305,10.5,1420,18:56,19,91,7,17,29.2,7800000,10138888.0
25,Joe Pavelski,C,74,20,46,66,7.2,8,11,1,5,27,17,2,282,7.1,1454,19:39,67,61,554,466,54.3,4000000,4861111.0
26,Mike Richards,C,81,23,43,66,7.2,15,5,3,4,24,16,3,184,12.5,1529,18:53,73,104,606,610,49.8,5750000,7291666.0
27,Nicklas Bäckström,C,77,18,47,65,7.5,13,4,1,2,29,18,0,202,8.9,1586,20:36,62,68,679,619,52.3,6700000,8611111.0
28,Dany Heatley,RW,80,26,38,64,7.3,14,11,1,5,18,19,1,217,12.0,1572,19:39,29,104,9,11,45.0,7500000,9722222.0
29,Phil Kessel,RW,82,32,32,64,6.9,19,12,1,6,21,11,0,325,9.8,1611,19:39,22,11,24,35,40.7,5400000,6805555.0
30,Jeff Skinner,RW,82,31,32,63,8.1,25,6,0,2,20,12,0,215,14.4,1372,16:44,28,70,58,97,37.4,900000,555555.0
31,David Backes,RW,82,31,31,62,8.8,26,5,0,2,20,10,1,211,14.7,1616,19:42,40,213,506,632,44.5,2500000,2777777.0
32,Ryane Clowe,LW,75,24,38,62,7.5,19,5,0,2,30,8,0,185,13.0,1347,17:58,22,153,17,24,41.5,3625000,4340277.0
33,Mikko Koivu,C,71,17,45,62,6.6,9,7,1,3,30,15,0,191,8.9,1384,19:29,29,63,683,609,52.9,3250000,3819444.0
34,Milan Lucic,LW,79,30,32,62,8.8,25,5,0,7,23,9,0,173,17.3,1310,16:35,22,167,21,33,38.9,4083333,4976851.0
35,Clarke MacArthur,LW,82,21,41,62,6.6,15,6,0,3,28,13,0,154,13.6,1403,17:07,20,115,9,7,56.3,1100000,833333.0
36,Shane Doan,RW,72,20,40,60,6.3,9,11,0,6,30,10,0,221,9.0,1389,19:17,28,172,73,86,45.9,4550000,5625000.0
