Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
1,Alex Ovechkin,22,WSH,LW,82,65,47,112,28,40,17.2,43,22,0,11,32,15,0,446,14.6,1879,22:55,44,220,7,11,38.9,ovechal01
2,Evgeni Malkin,21,PIT,C,82,47,59,106,16,78,13.9,30,17,0,5,36,23,0,272,17.3,1748,21:19,40,49,350,540,39.3,malkiev01
3,Jarome Iginla*,30,CGY,RW,82,50,48,98,27,83,14.2,35,15,0,9,30,18,0,338,14.8,1758,21:26,10,98,245,200,55.1,iginlja01
4,Pavel Datsyuk,29,DET,C,82,31,66,97,41,20,12.6,20,10,1,6,36,30,0,264,11.7,1753,21:23,42,40,452,380,54.3,datsypa01
5,Joe Thornton,28,SJS,C,82,29,67,96,18,59,11.9,18,11,0,5,41,26,0,178,16.3,1739,21:12,31,60,784,700,52.8,thornjo01
6,Vincent Lecavalier,27,TBL,C,81,40,52,92,-17,89,10.7,29,10,1,7,30,19,3,318,12.6,1859,22:57,21,108,810,848,48.9,lecavvi01
7,Jason Spezza,24,OTT,C,76,34,58,92,26,66,11.6,23,11,0,6,36,22,0,210,16.2,1571,20:40,18,18,727,713,50.5,spezzja01
8,Henrik Zetterberg,27,DET,LW,75,43,49,92,30,34,13.0,26,16,1,7,29,20,0,358,12.0,1655,22:04,16,31,666,543,55.1,zettehe01
9,Daniel Alfredsson*,35,OTT,RW,70,40,49,89,15,34,11.5,24,9,7,5,31,16,2,217,18.4,1560,22:17,30,55,21,18,53.8,alfreda01
10,Ilya Kovalchuk,24,ATL,LW,79,52,35,87,-12,52,12.0,34,16,2,4,21,14,0,283,18.4,1699,21:30,25,39,13,16,44.8,kovalil01
11,Alex Kovalev,34,MTL,RW,82,35,49,84,18,70,10.8,18,17,0,5,17,30,2,230,15.2,1603,19:33,39,88,32,26,55.2,kovalal01
12,Marián Gáborík,25,MIN,RW,77,42,41,83,17,63,11.6,30,11,1,8,28,13,0,278,15.1,1509,19:36,18,59,6,15,28.6,gaborma01
13,Mike Ribeiro,27,DAL,C,76,27,56,83,21,46,10.5,20,7,0,5,32,24,0,107,25.2,1400,18:26,23,53,396,488,44.8,ribeimi01
14,Martin St. Louis*,32,TBL,RW,82,25,58,83,-23,26,7.6,13,10,2,5,38,19,1,241,10.4,1991,24:17,45,34,3,9,25.0,stlouma01
15,Ryan Getzlaf,22,ANA,C,77,24,58,82,32,94,10.5,19,4,1,2,26,32,0,185,13.0,1513,19:39,46,126,545,607,47.3,getzlry01
16,Dany Heatley,27,OTT,LW,71,41,41,82,33,76,11.6,28,13,0,8,29,12,0,224,18.3,1543,21:44,31,58,15,11,57.7,heatlda01
17,Eric Staal,23,CAR,C,82,38,44,82,-2,50,9.4,24,14,0,7,23,21,0,310,12.3,1774,21:38,33,99,767,941,44.9,staaler01
18,Derek Roy,24,BUF,C,78,32,49,81,13,46,9.5,23,6,3,4,30,17,2,218,14.7,1636,20:58,48,35,700,673,51.0,royde01
19,Jason Pominville,25,BUF,RW,82,27,53,80,16,20,8.9,24,2,1,1,26,25,2,232,11.6,1637,19:58,37,30,24,42,36.4,pominja01
20,Shane Doan,31,PHX,RW,80,28,50,78,4,59,9.0,17,9,2,5,25,18,7,243,11.5,1661,20:46,17,158,77,110,41.2,doansh01
21,Marc Savard,30,BOS,C,74,15,63,78,3,66,7.6,11,4,0,2,34,27,2,196,7.7,1519,20:31,11,38,802,753,51.6,savarma01
22,Mats Sundin*,36,TOR,C,74,32,46,78,17,76,9.8,21,10,1,4,27,19,0,259,12.4,1485,20:04,34,33,945,768,55.2,sundima01
23,Anže Kopitar,20,LAK,C,82,32,45,77,-15,22,8.3,18,12,2,3,21,22,2,201,15.9,1696,20:41,40,47,566,584,49.2,kopitan01
24,Henrik Sedin*,27,VAN,C,82,15,61,76,6,56,7.6,10,4,1,2,36,25,0,141,10.6,1600,19:31,15,19,643,726,47.0,sedinhe01
25,Mike Richards,22,PHI,C,73,28,47,75,14,76,9.2,15,8,5,6,23,23,1,212,13.2,1570,21:31,46,110,698,682,50.6,richami02
26,Brenden Morrow,29,DAL,LW,82,32,42,74,23,105,9.8,18,12,2,7,26,16,0,207,15.5,1639,20:00,29,260,16,25,39.0,morrobr01
27,Daniel Sedin*,27,VAN,LW,82,29,45,74,6,50,9.0,17,12,0,7,25,20,0,247,11.7,1562,19:03,14,11,17,21,44.7,sedinda01
28,Jason Arnott,33,NSH,C,79,28,44,72,19,54,8.8,15,13,0,3,35,9,0,248,11.3,1500,18:59,23,42,614,646,48.7,arnotja01
29,Daniel Brière,30,PHI,C,79,31,41,72,-22,68,7.9,17,14,0,3,17,23,1,182,17.0,1490,18:52,17,29,631,619,50.5,brierda01
30,Sidney Crosby,20,PIT,C,53,24,48,72,18,39,9.0,18,6,0,4,26,21,1,173,13.9,1105,20:51,40,50,567,536,51.4,crosbsi01
31,J.P. Dumont,29,NSH,RW,80,29,43,72,5,34,8.4,22,7,0,8,34,9,0,192,15.1,1480,18:30,11,44,3,10,23.1,dumonjp01
32,Patrick Kane,19,CHI,RW,82,21,51,72,-5,52,7.2,14,7,0,4,30,21,0,191,11.0,1506,18:22,7,16,16,10,61.5,kanepa01
33,Aleš Hemský,24,EDM,RW,74,20,51,71,-9,34,7.2,12,8,0,2,29,22,0,184,10.9,1375,18:35,29,24,1,4,20.0,hemskal01
34,Jaromír Jágr,35,NYR,RW,82,25,46,71,8,58,8.0,18,7,0,5,24,22,0,249,10.0,1678,20:28,16,27,1,2,33.3,jagrja01
35,Olli Jokinen,29,FLA,C,82,34,37,71,-19,67,7.9,16,18,0,5,22,15,0,341,10.0,1632,19:54,25,78,404,534,43.1,jokinol01
36,Vinny Prospal,32,TOT,LW,80,33,38,71,0,45,8.8,23,10,0,5,38,0,0,215,15.3,1550,19:22,37,73,141,115,55.1,prospva01
37,Paul Stastny,22,COL,C,66,24,47,71,22,24,8.5,21,3,0,4,28,18,1,138,17.4,1391,21:05,31,16,561,540,51.0,stastpa01
38,Scott Gomez,28,NYR,C,81,16,54,70,3,36,6.8,9,7,0,3,31,22,1,242,6.6,1611,19:54,24,48,612,553,52.5,gomezsc01
39,Nicklas Lidström*,37,DET,D,76,10,60,70,40,40,14.4,5,5,0,4,30,29,1,188,5.3,1997,26:16,70,23,0,0,,lidstni01
40,Nicklas Bäckström,20,WSH,C,82,14,55,69,13,24,6.8,11,3,0,4,33,22,0,153,9.2,1557,19:00,34,34,405,469,46.3,backsni02
41,Rick Nash,23,CBJ,LW,80,38,31,69,2,95,9.4,24,10,4,6,19,12,0,329,11.6,1639,20:29,30,67,14,30,31.8,nashri01
42,Tomáš Plekanec,25,MTL,C,81,29,40,69,15,42,8.6,15,12,2,6,26,13,1,186,15.6,1464,18:05,28,32,683,698,49.5,plekato01
43,Alex Frolov,25,LAK,LW,71,23,44,67,1,22,7.5,18,5,0,7,31,13,0,160,14.4,1335,18:48,18,22,2,9,18.2,froloal01
44,Marián Hossa*,29,TOT,RW,72,29,37,66,-14,36,7.2,19,8,2,4,16,21,0,264,11.0,1538,21:22,19,63,4,11,26.7,hossama01
45,Kristian Huselius,29,CGY,LW,81,25,41,66,10,40,7.8,19,6,0,5,22,19,0,202,12.4,1433,17:42,11,9,1,3,25.0,huselkr01
46,Brad Boyes,25,STL,RW,82,43,22,65,1,20,9.3,32,11,0,9,14,8,0,207,20.8,1471,17:57,20,55,105,131,44.5,boyesbr01
47,Sergei Gonchar,33,PIT,D,78,12,53,65,13,66,11.1,4,8,0,2,15,38,0,173,6.9,2005,25:42,126,56,0,0,,gonchse01
48,Paul Kariya*,33,STL,LW,82,16,49,65,-10,50,5.8,11,5,0,1,33,16,0,223,7.2,1536,18:44,21,18,0,6,0.0,kariypa01
49,Daymond Langkow,31,CGY,C,80,30,35,65,16,19,8.4,15,14,1,4,25,9,1,201,14.9,1506,18:50,37,75,357,460,43.7,langkda01
50,Zach Parise,23,NJD,LW,81,32,33,65,13,25,8.9,21,10,1,8,20,13,0,266,12.0,1463,18:04,30,76,50,54,48.1,parisza01
51,Cory Stillman,34,TOT,LW,79,24,41,65,-15,24,6.0,13,11,0,6,23,18,0,166,14.5,1500,18:59,22,69,7,10,41.2,stillco01
52,Thomas Vanek,24,BUF,LW,82,36,28,64,-5,64,7.8,17,19,0,9,23,5,0,240,15.0,1382,16:51,24,45,6,7,46.2,vanekth01
53,Pierre-Marc Bouchard,23,MIN,RW,81,13,50,63,11,34,6.3,7,6,0,4,31,19,0,129,10.1,1364,16:51,15,10,4,6,40.0,bouchpi02
54,Petr Sýkora,31,PIT,RW,81,28,35,63,1,41,7.3,13,15,0,4,23,12,0,201,13.9,1365,16:51,19,26,9,6,60.0,sykorpe01
55,Brian Campbell,28,TOT,D,83,8,54,62,8,20,10.0,3,5,0,0,26,28,0,142,5.6,2084,25:06,96,61,0,0,,campbbr02
56,Nathan Horton,22,FLA,RW,82,27,35,62,15,85,7.7,18,9,0,3,25,10,0,212,12.7,1537,18:44,24,81,29,44,39.7,hortona01
57,Brad Richards,27,TOT,C,74,20,42,62,-27,15,5.0,9,9,2,4,22,19,1,249,8.0,1736,23:28,22,12,514,539,48.8,richabr01
58,Patrick Sharp,26,CHI,LW,80,36,26,62,23,55,8.9,20,9,7,7,19,5,2,209,17.2,1502,18:47,27,50,305,289,51.3,sharppa01
59,Mark Streit,30,MTL,D,81,13,49,62,-6,28,8.9,6,7,0,3,22,27,0,165,7.9,1419,17:31,62,59,0,1,0.0,streima01
60,Ray Whitney,35,CAR,LW,66,25,36,61,-6,30,6.6,19,6,0,4,12,24,0,204,12.3,1250,18:56,23,13,3,2,60.0,whitnra01
61,Nikolai Zherdev,23,CBJ,RW,82,26,35,61,-9,34,6.8,19,7,0,3,19,15,1,254,10.2,1589,19:22,18,37,12,17,41.4,zherdni01
62,Dustin Brown,23,LAK,RW,78,33,27,60,-13,55,6.8,19,12,2,4,15,10,2,219,15.1,1583,20:18,23,311,20,20,50.0,browndu01
63,Dion Phaneuf,22,CGY,D,82,17,43,60,12,182,11.2,6,10,1,4,20,23,0,263,6.5,2149,26:12,88,194,0,0,,phanedi01
64,Andrew Brunette,34,COL,LW,82,19,40,59,5,14,6.2,12,7,0,2,31,9,0,125,15.2,1275,15:33,21,14,3,5,37.5,brunean01
65,Brian Rolston,34,MIN,LW,81,31,28,59,-1,53,6.9,19,11,1,8,11,17,0,289,10.7,1626,20:04,24,59,67,98,40.6,rolstbr01
66,Chris Drury,31,NYR,C,82,25,33,58,-3,45,6.2,13,12,0,7,14,17,2,220,11.4,1623,19:48,76,46,745,613,54.9,drurych01
67,Andrei Markov,29,MTL,D,82,16,42,58,1,63,9.9,5,10,1,2,18,22,2,145,11.0,2048,24:58,127,59,0,0,,markoan01
68,Alexander Radulov,21,NSH,RW,81,26,32,58,7,44,6.9,22,4,0,2,30,2,0,183,14.2,1328,16:24,36,17,0,1,0.0,radulal01
69,Alex Tanguay,28,CGY,LW,78,18,40,58,11,48,6.1,13,3,2,3,27,12,1,121,14.9,1463,18:46,24,42,7,13,35.0,tangual01
70,Keith Tkachuk,35,STL,C,79,27,31,58,-2,69,6.9,14,12,1,1,24,7,0,177,15.3,1331,16:51,17,92,552,566,49.4,tkachke01
71,Martin Erat,26,NSH,RW,76,23,34,57,-3,40,5.9,19,4,0,6,23,11,0,163,14.1,1418,18:39,16,49,15,26,36.6,eratma01
72,Mike Modano*,37,DAL,C,82,21,36,57,-11,48,5.4,15,5,1,4,17,18,1,200,10.5,1578,19:14,28,10,563,582,49.2,modanmi01
73,Nik Antropov,27,TOR,C,72,26,30,56,10,92,6.5,14,12,0,5,25,4,1,165,15.8,1448,20:07,51,102,114,157,42.1,antroni01
74,Mike Green,22,WSH,D,82,18,38,56,6,62,10.0,10,8,0,4,23,15,0,234,7.7,1922,23:27,68,94,0,1,0.0,greenmi03
75,Saku Koivu,33,MTL,C,77,16,40,56,-4,93,5.1,8,8,0,3,19,19,2,150,10.7,1395,18:07,29,41,701,640,52.3,koivusa01
76,Marco Sturm,29,BOS,LW,80,27,29,56,11,40,6.9,16,10,1,5,16,13,0,229,11.8,1440,18:00,25,50,7,24,22.6,sturmma01
77,Radim Vrbata,26,PHX,RW,76,27,29,56,6,14,7.0,17,7,3,5,18,9,2,246,11.0,1383,18:12,19,13,7,12,36.8,vrbatra01
78,Patrik Eliáš,31,NJD,LW,74,20,35,55,10,38,6.5,13,7,0,8,21,12,2,263,7.6,1367,18:28,20,51,354,422,45.6,eliaspa01
79,Mike Knuble,35,PHI,RW,82,29,26,55,-3,72,6.4,13,15,1,3,11,15,0,177,16.4,1551,18:55,47,58,10,15,40.0,knublmi01
80,Milan Michálek,23,SJS,LW,79,24,31,55,19,47,7.4,18,5,1,8,20,11,0,233,10.3,1428,18:05,31,70,6,4,60.0,michami01
81,Markus Näslund,34,VAN,LW,82,25,30,55,-7,46,6.1,16,9,0,2,17,13,0,237,10.5,1425,17:23,24,13,0,1,0.0,nasluma02
82,Brian Rafalski,34,DET,D,73,13,42,55,27,34,11.7,3,10,0,1,21,21,0,175,7.4,1757,24:04,70,38,0,0,,rafalbr01
83,Pavol Demitra,33,MIN,LW,68,15,39,54,9,24,5.5,13,2,0,1,27,11,1,126,11.9,1340,19:42,48,17,403,487,45.3,demitpa01
84,Milan Hejduk,31,COL,RW,77,29,25,54,8,36,6.5,20,8,1,4,18,7,0,205,14.1,1490,19:21,10,17,54,82,39.7,hejdumi01
