,PLAYER,Pos,GP,G,A,PTS,PS,EV,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CAP HIT,exchange cap
0,Alex Ovechkin,LW,82,65,47,112,17.2,43,22,0,11,32,15,0,446,14.6,1879,22:55,44.0,220,7.0,11.0,38.9,984200,835168.0
1,Evgeni Malkin,C,82,47,59,106,13.9,30,17,0,5,36,23,0,272,17.3,1748,21:19,40.0,49,350.0,540.0,39.3,984200,835168.0
2,Pavel Datsyuk,C,82,31,66,97,12.6,20,10,1,6,36,30,0,264,11.7,1753,21:23,42.0,40,452.0,380.0,54.3,6700000,10209990.0
3,Joe Thornton,C,82,29,67,96,11.9,18,11,0,5,41,26,0,178,16.3,1739,21:12,31.0,60,784.0,700.0,52.8,6666666,10155316.0
4,Vincent Lecavalier,C,81,40,52,92,10.7,29,10,1,7,30,19,3,318,12.6,1859,22:57,21.0,108,810.0,848.0,48.9,6875000,10497017.0
5,Jason Spezza,C,76,34,58,92,11.6,23,11,0,6,36,22,0,210,16.2,1571,20:40,18.0,18,727.0,713.0,50.5,4500000,6601640.0
6,Henrik Zetterberg,LW,75,43,49,92,13.0,26,16,1,7,29,20,0,358,12.0,1655,22:04,16.0,31,666.0,543.0,55.1,2650000,3567345.0
7,Ilya Kovalchuk,LW,79,52,35,87,12.0,34,16,2,4,21,14,0,283,18.4,1699,21:30,25.0,39,13.0,16.0,44.8,6400000,9717942.0
8,Marián Gáborík,RW,77,42,41,83,11.6,30,11,1,8,28,13,0,278,15.1,1509,19:36,18.0,59,6.0,15.0,28.6,6333333,9608597.0
9,Mike Ribeiro,C,76,27,56,83,10.5,20,7,0,5,32,24,0,107,25.2,1400,18:26,23.0,53,396.0,488.0,44.8,2800000,3813369.0
10,Ryan Getzlaf,C,77,24,58,82,10.5,19,4,1,2,26,32,0,185,13.0,1513,19:39,46.0,126,545.0,607.0,47.3,739733,434204.0
11,Dany Heatley,LW,71,41,41,82,11.6,28,13,0,8,29,12,0,224,18.3,1543,21:44,31.0,58,15.0,11.0,57.7,4500000,6601640.0
12,Eric Staal,C,82,38,44,82,9.4,24,14,0,7,23,21,0,310,12.3,1774,21:38,33.0,99,767.0,941.0,44.9,4500000,6601640.0
13,Derek Roy,C,78,32,49,81,9.5,23,6,3,4,30,17,2,218,14.7,1636,20:58,48.0,35,700.0,673.0,51.0,4000000,5781560.0
14,Jason Pominville,RW,82,27,53,80,8.9,24,2,1,1,26,25,2,232,11.6,1637,19:58,37.0,30,24.0,42.0,36.4,1033333,915754.0
15,Shane Doan,RW,80,28,50,78,9.0,17,9,2,5,25,18,7,243,11.5,1661,20:46,17.0,158,77.0,110.0,41.2,4550000,6683648.0
16,Marc Savard,C,74,15,63,78,7.6,11,4,0,2,34,27,2,196,7.7,1519,20:31,11.0,38,802.0,753.0,51.6,5000000,7421719.0
17,Mike Richards,C,73,28,47,75,9.2,15,8,5,6,23,23,1,212,13.2,1570,21:31,46.0,110,698.0,682.0,50.6,942400,766610.0
18,Brenden Morrow,LW,82,32,42,74,9.8,18,12,2,7,26,16,0,207,15.5,1639,20:00,29.0,260,16.0,25.0,39.0,4100000,5945576.0
19,Jason Arnott,C,79,28,44,72,8.8,15,13,0,3,35,9,0,248,11.3,1500,18:59,23.0,42,614.0,646.0,48.7,4500000,6601640.0
20,Daniel Brière,C,79,31,41,72,7.9,17,14,0,3,17,23,1,182,17.0,1490,18:52,17.0,29,631.0,619.0,50.5,6500000,9881958.0
21,Sidney Crosby,C,53,24,48,72,9.0,18,6,0,4,26,21,1,173,13.9,1105,20:51,40.0,50,567.0,536.0,51.4,850000,615059.0
22,Patrick Kane,RW,82,21,51,72,7.2,14,7,0,4,30,21,0,191,11.0,1506,18:22,7.0,16,16.0,10.0,61.5,875000,656063.0
23,Jaromír Jágr,RW,82,25,46,71,8.0,18,7,0,5,24,22,0,249,10.0,1678,20:28,16.0,27,1.0,2.0,33.3,7920000,12210984.0
24,Olli Jokinen,C,82,34,37,71,7.9,16,18,0,5,22,15,0,341,10.0,1632,19:54,25.0,78,404.0,534.0,43.1,5250000,7831759.0
25,Paul Stastny,C,66,24,47,71,8.5,21,3,0,4,28,18,1,138,17.4,1391,21:05,31.0,16,561.0,540.0,51.0,643333,276092.0
26,Scott Gomez,C,81,16,54,70,6.8,9,7,0,3,31,22,1,242,6.6,1611,19:54,24.0,48,612.0,553.0,52.5,7357143,11287809.0
27,Nicklas Bäckström,C,82,14,55,69,6.8,11,3,0,4,33,22,0,153,9.2,1557,19:00,34.0,34,405.0,469.0,46.3,850000,615059.0
