Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
1,Evgeni Malkin,25,PIT,C,75,50,59,109,18,70,15.7,38,12,0,9,37,22,0,339,14.7,1577,21:01,41,29,575,635,47.5,malkiev01
2,Steven Stamkos,21,TBL,C,82,60,37,97,7,66,14.6,48,12,0,12,24,13,0,303,19.8,1806,22:01,37,109,558,669,45.5,stamkst01
3,Claude Giroux,24,PHI,RW,77,28,65,93,6,29,10.6,22,6,0,5,31,32,2,242,11.6,1659,21:33,44,70,828,715,53.7,giroucl01
4,Jason Spezza,28,OTT,C,80,34,50,84,11,36,10.5,24,10,0,2,36,14,0,232,14.7,1594,19:55,23,28,909,791,53.5,spezzja01
5,Ilya Kovalchuk,28,NJD,LW,77,37,46,83,-9,33,10.5,24,10,3,5,25,19,2,310,11.9,1882,24:26,18,27,13,24,35.1,kovalil01
6,Phil Kessel,24,TOR,RW,82,37,45,82,-10,20,9.9,27,10,0,6,32,13,0,295,12.5,1645,20:03,21,12,9,19,32.1,kesseph01
7,James Neal,24,PIT,LW,80,40,41,81,6,87,11.0,22,18,0,4,29,12,0,329,12.2,1531,19:08,15,108,4,11,26.7,nealja01
8,Henrik Sedin*,31,VAN,C,82,14,67,81,23,52,8.7,6,8,0,6,48,19,0,113,12.4,1565,19:05,17,32,652,650,50.1,sedinhe01
9,John Tavares,21,NYI,C,82,31,50,81,-6,26,9.6,24,7,0,8,32,18,0,286,10.8,1687,20:34,23,27,813,772,51.3,tavarjo01
10,Patrik Eliáš,35,NJD,LW,81,26,52,78,-8,16,9.1,16,8,2,3,29,21,2,164,15.9,1608,19:51,26,61,604,765,44.1,eliaspa01
11,Erik Karlsson,21,OTT,D,81,19,59,78,16,42,13.1,16,3,0,5,34,25,0,261,7.3,2051,25:19,65,60,0,1,0.0,karlser01
12,Marián Hossa*,33,CHI,RW,81,29,48,77,18,20,9.4,18,9,2,4,36,11,1,248,11.7,1617,19:58,40,73,3,6,33.3,hossama01
13,Joe Thornton,32,SJS,C,82,18,59,77,17,31,8.4,14,4,0,2,39,19,1,156,11.5,1678,20:28,26,42,557,436,56.1,thornjo01
14,Ray Whitney,39,PHX,LW,82,24,53,77,26,28,9.7,16,8,0,1,41,12,0,185,13.0,1529,18:39,10,28,4,11,26.7,whitnra01
15,Jordan Eberle,21,EDM,C,78,34,42,76,4,10,10.3,24,10,0,4,32,10,0,180,18.9,1373,17:36,24,45,12,15,44.4,eberljo01
16,Marián Gáborík,29,NYR,RW,82,41,35,76,15,34,11.2,31,10,0,7,24,11,0,276,14.9,1600,19:31,40,63,0,2,0.0,gaborma01
17,Anže Kopitar,24,LAK,C,82,25,51,76,12,20,9.5,15,8,2,2,31,18,2,230,10.9,1750,21:20,53,72,754,646,53.9,kopitan01
18,Martin St. Louis*,36,TBL,RW,77,25,49,74,-3,16,7.7,21,4,0,3,37,12,0,185,13.5,1743,22:38,39,17,18,23,43.9,stlouma01
19,Jason Pominville,29,BUF,RW,82,30,43,73,-7,12,8.4,20,8,2,5,24,18,1,235,12.8,1614,19:41,52,30,179,196,47.7,pominja01
20,Loui Eriksson,26,DAL,LW,82,26,45,71,18,12,8.6,19,5,2,3,37,7,1,187,13.9,1620,19:46,40,20,7,9,43.8,erikslo01
21,Eric Staal,27,CAR,C,82,24,46,70,-20,48,7.1,14,7,3,3,28,16,2,262,9.2,1767,21:33,35,48,882,799,52.5,staaler01
22,Matt Moulson,28,NYI,LW,82,36,33,69,1,6,9.3,22,14,0,5,23,10,0,219,16.4,1583,19:18,40,33,2,2,50.0,moulsma01
23,Zach Parise,27,NJD,C,82,31,38,69,-5,32,8.6,21,7,3,3,27,7,4,293,10.6,1762,21:29,39,65,30,33,47.6,parisza01
24,Patrick Sharp,30,CHI,C,74,33,36,69,28,38,9.7,25,7,1,8,26,10,0,282,11.7,1473,19:54,18,80,139,152,47.8,sharppa01
25,Henrik Zetterberg,31,DET,C,82,22,47,69,14,47,7.6,19,3,0,4,34,11,2,267,8.2,1627,19:50,26,45,548,567,49.1,zettehe01
26,Pavel Datsyuk,33,DET,C,70,19,48,67,21,14,7.9,15,4,0,5,29,19,0,164,11.6,1370,19:34,31,76,702,547,56.2,datsypa01
27,Scott Hartnell,29,PHI,RW,82,37,30,67,19,136,9.6,21,16,0,6,23,7,0,232,15.9,1458,17:47,37,188,20,43,31.7,hartnsc01
28,Jarome Iginla*,34,CGY,RW,82,32,35,67,-10,43,8.3,24,8,0,5,24,11,0,251,12.7,1690,20:36,43,124,214,212,50.2,iginlja01
29,Joffrey Lupul,28,TOR,C,66,25,42,67,1,48,8.1,17,8,0,3,29,13,0,191,13.1,1228,18:37,25,110,21,37,36.2,lupuljo01
30,P.A. Parenteau,28,NYI,LW,80,18,49,67,-8,89,6.8,12,6,0,2,36,13,0,167,10.8,1492,18:39,23,99,10,16,38.5,parenpi01
31,Daniel Sedin*,31,VAN,LW,72,30,37,67,14,40,8.9,20,10,0,6,22,15,0,229,13.1,1355,18:49,15,21,6,13,31.6,sedinda01
32,Tyler Seguin,20,BOS,C,81,29,38,67,34,30,9.7,24,5,0,7,28,10,0,242,12.0,1372,16:56,17,26,46,60,43.4,seguity01
33,Valtteri Filppula,27,DET,C,81,23,43,66,18,14,7.9,19,3,1,1,35,8,0,144,16.0,1479,18:16,23,42,193,180,51.7,filppva01
34,Patrick Kane,23,CHI,RW,82,23,43,66,7,40,6.9,19,4,0,5,35,8,0,253,9.1,1656,20:12,27,19,240,329,42.2,kanepa01
35,Brad Richards,31,NYR,C,82,25,41,66,-1,22,7.5,18,7,0,9,24,17,0,229,10.9,1662,20:16,49,51,682,634,51.8,richabr01
36,Teemu Selänne*,41,ANA,RW,82,26,40,66,-1,50,8.0,14,12,0,4,24,16,0,210,12.4,1466,17:53,20,23,144,153,48.5,selante01
37,Logan Couture,22,SJS,C,80,31,34,65,2,16,8.2,18,11,2,5,19,15,0,245,12.7,1485,18:34,76,42,468,442,51.4,coutulo01
38,Alex Ovechkin,26,WSH,LW,78,38,27,65,-8,26,8.7,25,13,0,3,17,10,0,303,12.5,1544,19:48,42,215,6,9,40.0,ovechal01
39,Max Pacioretty,23,MTL,LW,79,33,32,65,2,56,9.0,29,4,0,5,23,9,0,286,11.5,1443,18:16,39,104,1,4,20.0,pacioma01
40,Teddy Purcell,26,TBL,RW,81,24,41,65,9,16,7.9,16,8,0,3,30,11,0,152,15.8,1307,16:08,11,17,3,14,17.6,purcete01
41,Patrice Bergeron,26,BOS,C,81,22,42,64,36,20,8.3,15,5,2,3,32,9,1,191,11.5,1505,18:35,67,73,973,668,59.3,bergepa01
42,Patrick Marleau,32,SJS,C,82,30,34,64,10,26,8.0,20,10,0,8,19,15,0,251,12.0,1679,20:29,33,84,243,224,52.0,marlepa01
43,Blake Wheeler,25,WPG,RW,80,17,47,64,3,55,6.4,11,6,0,3,38,9,0,208,8.2,1526,19:05,46,113,4,6,40.0,wheelbl01
44,Jamie Benn,22,DAL,LW,71,26,37,63,15,55,8.2,23,2,1,7,29,8,0,203,12.8,1283,18:04,52,136,347,404,46.2,bennja01
45,Mike Ribeiro,31,DAL,C,74,18,45,63,5,66,6.5,16,2,0,5,32,13,0,142,12.7,1484,20:03,46,113,341,467,42.2,ribeimi01
46,David Krejčí,25,BOS,C,79,23,39,62,-5,36,6.6,21,2,0,2,30,9,0,145,15.9,1455,18:25,46,69,544,501,52.1,krejcda01
47,Michael Ryder,31,DAL,RW,82,35,27,62,17,46,8.9,28,7,0,6,24,3,0,211,16.6,1425,17:23,50,86,34,37,47.9,rydermi01
48,Radim Vrbata,30,PHX,RW,77,35,27,62,24,24,9.3,25,9,1,12,19,8,0,232,15.1,1435,18:39,16,57,27,40,40.3,vrbatra01
49,Erik Cole,33,MTL,LW,82,35,26,61,11,48,9.0,24,11,0,6,23,3,0,241,14.5,1519,18:32,30,186,24,32,42.9,coleer01
50,Tomáš Fleischmann,27,FLA,LW,82,27,34,61,-7,26,7.1,21,6,0,4,18,16,0,217,12.4,1566,19:06,33,32,14,13,51.9,fleisto01
51,Olli Jokinen,33,CGY,C,82,23,38,61,-12,54,6.7,14,9,0,5,23,15,0,223,10.3,1555,18:58,31,53,620,713,46.5,jokinol01
52,Chris Kunitz,32,PIT,LW,82,26,35,61,16,49,7.6,20,6,0,3,23,12,0,230,11.3,1502,18:19,28,180,20,18,52.6,kunitch01
53,Milan Lucic,23,BOS,LW,81,26,35,61,7,135,7.5,19,7,0,1,31,4,0,149,17.4,1379,17:02,26,201,14,16,46.7,lucicmi01
54,Joe Pavelski,27,SJS,C,82,31,30,61,18,31,8.1,22,8,1,2,20,10,0,269,11.5,1690,20:37,84,50,507,357,58.7,paveljo01
55,Thomas Vanek,28,BUF,LW,78,26,35,61,-6,52,7.2,16,10,0,5,21,14,0,204,12.7,1321,16:56,22,34,3,3,50.0,vanekth01
56,David Desharnais,25,MTL,C,81,16,44,60,10,24,6.7,13,3,0,2,27,17,0,98,16.3,1490,18:24,48,33,678,693,49.5,deshada01
57,Milan Michálek,27,OTT,RW,77,35,25,60,4,32,7.8,24,10,1,3,19,5,1,212,16.5,1506,19:33,46,36,1,5,16.7,michami01
58,Corey Perry,26,ANA,RW,80,37,23,60,-7,127,7.9,22,14,1,6,13,9,1,277,13.4,1710,21:23,45,65,19,29,39.6,perryco01
59,Daniel Alfredsson*,39,OTT,RW,75,27,32,59,16,18,7.5,17,7,3,4,24,7,1,191,14.1,1421,18:57,31,52,20,26,43.5,alfreda01
60,Pascal Dupuis,32,PIT,LW,82,25,34,59,18,34,7.6,22,0,3,8,33,1,0,214,11.7,1388,16:56,44,111,51,64,44.3,dupuipa01
61,Rick Nash,27,CBJ,LW,82,30,29,59,-19,40,6.6,22,6,2,2,16,13,0,306,9.8,1565,19:05,21,104,6,13,31.6,nashri01
62,Justin Williams,30,LAK,RW,82,22,37,59,10,44,7.6,13,9,0,2,27,10,0,241,9.1,1406,17:09,37,36,11,12,47.8,williju01
63,Martin Erat,30,NSH,LW,71,19,39,58,12,30,6.8,13,5,1,3,26,13,0,107,17.8,1312,18:29,37,52,60,66,47.6,eratma01
64,Ryan Getzlaf,26,ANA,C,82,11,46,57,-11,75,4.3,7,4,0,4,26,19,1,185,5.9,1771,21:36,72,177,628,709,47.0,getzlry01
65,Evander Kane,20,WPG,C,74,30,27,57,11,53,7.8,24,6,0,4,24,3,0,287,10.5,1296,17:31,31,173,15,29,34.1,kaneev01
